L2_orth,L2_ipa,L2_gloss,L2_etym
abbai,,"attic (space, often unfinished and with sloped walls, directly below the roof)",
bbarat,,wind (movement of air),
gondila,,window (opening for light and air),
llangguk,,(anatomy) Uvula (appendage that hangs from the palate),
pallampag,,floor (lower part of a room),
rasam,,rain (condensed water from a cloud),
rinantai,,floor (lower part of a room),
rongobbon,,door (portal of entry into a building or room),
ta'ap,,roof (the cover at the top of a building),
tongkovizau,,(anatomy) liver (organ of the body),
vavazaan,,door (portal of entry into a building or room),
