L2_orth,L2_ipa,L2_gloss,L2_etym
ကဆီ,,elephant,
ကနဲ,,"a kind of bee, Apis dorsata",
ကပီၤ,,light,
ကယၤ,,(any) hundred.,
ကလုၢ်ဒၢ,,microphone,
ကလံၤ,,wind.,
ကလ့ၢ်,,kidney.,
ကသံၣ်သူ,,opium,
ကသ့ၣ်,,horse.,
ကသ့ၣ်ဖါ,,stallion.,
ကသ့ၣ်မိၢ်,,mare.,
ကိာ်,,neck,
ကီ,,difficult,
ကီး,,island,
ကီၢ်စံၣ်,,China (a country in Asia; capital: Beijing),
ကီၢ်ပဒိၣ်,,government,
ကီၢ်ပယီၤ,,Burma (a country in Asia),
ကုၢ်,,slave.,
ကုၢ်,,to bake.,
ကုၢ်,,to bake.,
ကံၣ်,,(ထိၣ်~) parrot,
ကျီၢ်,,ox,
ကျဲ,,way; road; street.,
ကျံ,,flea,
ကွဲ,,"a kind of bee, Apis cerana",
ကွဲၢ်မိၢ်ဘီ,,dragonfly,
ကွဲၢ်လဲၢ်ဘီ,,dragonfly,
ကွဲၤဟူဖျါ,,television,
ကွံ,,pool,
ကၠံ,,a Karen name,
ခိၣ်,,head,
ခိၣ်ဆါ,,headache,
ခီၣ်,,"foot., leg.",
ခီၣ်ဖၠူထၢၣ်,,computer,computer
ခူၣ်,,to dig,
ခံ,/kʰí/,two.,
ခံဆံ,,twenty,
ခံပူၤ,,(anatomy) anus,
ချံး,,"turtle, tortoise",
ခွါ,,"male, masculine (applied to human beings)",
ခွံ,/kʰwí/,nine,
ခွံၣ်,,"chameleon, lizard",
ခၣ်,,"chin., (lower) jaw.",
ခၣ်,,bitter.,
ခၣ်,,bitter.,
ဂီၤ,,red.,
ဂုၢ်,,snake.,
ဂ့ၤ,,good,
ဃိး,/kʰo̰/,eight.,
ဃု,/kʰú/,six.,
ဃံ,,bone.,
ဃ့ၢ်,,to run.,
ဃၢ်,,"louse, insect",
စီးကပ့ၤ,,butterfly.,
စီၤ,,Used to precede men's names.,
စီၤကပ့ၤ,,butterfly,
စီၤပၤ,,king.,
စု,,hand.,
စုပှီၢ်လီၤအလီၢ်,,keyboard,
စဲး,,machine.,
စ့,,"silver, money",
ဆါ,,pain,
ဆါ,,sour,
ဆါ,,to sell,
ဆီ,,chicken.,
ဆံ,,ten (used as digit modifier),
ဆံၣ်,,sour,
ဆံၣ်,,acid,
ဆွဲၣ်,,crab.,
ညီ,,easy.,
ညၣ်,,flesh; meat,
ညၣ်,,fish,
ညၣ်,,fish,
တ,,one,
တကယၤ,,one hundred.,
တဆံ,/ta̰sʰí/,ten,
တဆံခံ,,twelve,
တဆံခွံ,,nineteen,
တဆံဃိး,,eighteen,
တဆံဃု,,sixteen,
တဆံတၢ,,eleven,
တဆံနွံ,,seventeen,
တဆံယဲၢ်,,fifteen,
တဆံလွံၢ်,,fourteen,
တဆံသၢ,,thirteen,
တနၢ်,,Karen harp.,
တလံၤ,,(southern dialect) water leech,
တိၤ,,bridge (structure).,
တၢ,/tɛ́j/,one (used at ending position),
တၢ်,,thing; object.,
တၢ်,,Used to precede verbs and adjectives to form abstract,
တၢ်ဒိးတၢ်လၣ်,,vegetable.,
တၢ်ပၢၢ်ဆၢ,,revolution,
တၢ်မျၢ်ပလဲ,,diamond,
တၢ်ဟံးဆူၣ်ကီၢ်တၢ်စိကမီၤ,,coup d'état,
တၢ်အိၣ်မူ,,life.,
တၢ်အီၣ်,,food.,
တၢ်အဲၣ်,,love.,
တၢ်အဲၣ်တၢ်ကွံ,,love.,
တၢၢ်,,ant,
ထိး,,pig.,
ထိး,,to touch.,
ထိး,,to touch.,
ထိၣ်,,bird,
ထီပး,,butter,
ထီၣ်,,"to ascend; to go up; to climb, to float",
ထီၣ်,,up,
ထူ,,gold,
ထံ,,water,
ထံကျိ,,river,
ထံတမၢၢ်,,dam,
ထး,,iron.,
ထွံၣ်,,dog.,
ဒီ,,knife.,
ဒု,,Used with quadrupeds.,
ဒံၣ်,,egg,
ဒံၣ်မိၣ်ခြ့ၣ်စံၣ်,,democracy,democracy
ဒ့,,"navel, umbilicus",
ဒ့ပူၤ,,"navel, umbilicus",
ဒ့ပျံၤ,,placenta,
ဒ့ၣ်,,frog,
ဒွဲၣ်,,grasshopper,
န,,"you (singular)., your (singular).",
နါဒ့,,nose; bridge (of nose).,
နီၢ်,,Used to precede women's names.,
နီၣ်ဆီၣ်ခံ,,"key (on computer, piano, etc.)",
နံၣ်,,year,
နံၤ,,day.,
နွံ,/nwí/,seven,
နၢ်,,ear.,
နၤ,,you (singular).,
ပဒဲ,,rabbit,
ပနၢ်,,buffalo,
ပိာ်ခွါ,,man,
ပိာ်ခွါ,,"male, masculine (applied to human beings)",
ပိာ်မုၣ်,,woman,
ပိာ်မုၣ်,,"female, feminine (applied to human beings)",
ပျ့ၤ,,tongue,
ပျၢ်,,arrow,
ပှာ်,,(ထိၣ်~) peacock,
ပှၤ,,person,
ပှၤပလံးဖိ,,police,
ပှၤဟီၣ်ခိၣ်ဖိ,,human being,
ပၢ်,,father,
ပၢၤ,,pot.,
ဖါ,,"male, masculine (applied to animals).",
ဖိ,,child (son or daughter).,
ဖိခွါ,,son.,
ဖိမုၣ်,,daughter.,
ဖိသၣ်,,baby; child (young person).,
ဖိသၣ်ပိာ်ခွါ,,boy.,
ဖိသၣ်ပိာ်မုၣ်,,girl.,
ဖီ,,flower.,
ဖျၢ,,"wasp, hornet",
ဘီ,,yellow.,
ဘီၣ်,,bamboo shoot,
ဘု,,"paddy, rice",
ဘျါ,,bat (animal),
ဘျ့,,slippery,
ဘှိး,,to vomit,
ဘှ့ၣ်,,fog,
ဘၣ်,,a Karen name,
မါ,,wife,
မိၢ်,,mother,
မိၢ်,,"female, feminine (applied to animals)",
မုၢ်,/mɨ¹¹/,sun,
မုၣ်,,"female, feminine (applied to human beings)",
မူခိၣ်ဖီ,,snow,
မဲ,,tooth,
မဲာ်,,"eye., face., knot (in the wood).",
မဲး,,sand,
မဲၢ်,,tail.,
မံ,,to sleep.,
မ့ၣ်,,fire.,
ယုၢ်,,"mouse, rat",
ယူၢ်,,Used with songs and poems.,
ယဲၢ်,/jɛ̀/,five,
လါ,/la³³/,"moon, month",
လါကပီၤ,,moonlight,
လီၢ်,,Used with places.,
လီၤ,,"to descend; to go down, to flow",
လီၤ,,down,
လဲၤ,,to go,
လံာ်,,hawk.,
လံာ်,,book.,
လံာ်,,book.,
လံၤ,,grandchild,
လ့ၣ်,,"to lick., to lap.",
လွံၢ်,/lwì/,four,
လွံၢ်,/lwì/,(ထိၣ်~) dove,
လွံၢ်,/lwì/,(ထိၣ်~) dove,
လွး,,saw (tool),
လၢၢ်,,stone; rock,
လၢၢ်လါဟ့,,emerald,
လၢၣ်,,maggot,
လၣ်,,leaf.,
ဝါ,,white,
ဝံၤ,,(ယုၢ်~) mole (animal),
ဝ့ၤ,,land leech,
ဝၣ်,,bamboo,
ဝၤ,,husband,
သကံၤ,,cricket (insect),
သကွံ,,banana.,
သပၢၤ,,pot.,
သမၣ်,,crocodile,
သလံၤ,,(northern dialect) water leech,
သိ,,sheep.,
သိ,,fat; oil.,
သိ,,fat; oil.,
သိဖါ,,ram.,
သိမိၢ်,,ewe.,
သုးပၢတၢ်ကရူၢ်,,junta,
သုးဖိ,/θṵpʰó/,soldier,
သုးမီၤစိရိၤ,,junta,
သူ,,black.,
သူ,,"to use., to spend.",
သူ,,to scull.,
သူ,,"to use., to spend.",
သူ,,to scull.,
သူ,,to scull.,
သူး,,land leech,
သူၣ်,,head louse,
သူၣ်,,liver,
သူၣ်,,liver,
သံ,,caterpillar.,
သံ,,to die.,
သံ,,to die.,
သ့ၣ်,,tree.,
သ့ၣ်ညါ,,to know.,
သ့ၣ်လၣ်,,leaf.,
သွံၣ်,,blood.,
သၢ,/θɛ́j/,three,
ဟီ,,salty.,
ဟု,,rice,
ဟံၣ်,,house,
အသီ,,new,
အီၣ်,,to eat,
အူ,,to blow,
အူ,,a Karen name,
အဲၣ်,,to love.,
အဲၣ်တၢ်ကွံတၢ်,,to love.,
အံသၣ်,,salt,
အ့ၡၢၣ်,,Asia (a continent),Asia
အ့ၣ်,,dung; excrement,
