L2_orth,L2_ipa,L2_gloss,L2_etym
กะตา,,round basket,
กะแถะ,,cart,
กั๊บ,,frog,
กู̂,,nine,
กู̄ก,,tiger.,
เกฺา,,rice,
โค,,tree,
งั๊ว,,snake,
จอ,,"to put on., to put in.",
จะโก๋ย,,lizard,
จะเถร๊อ,,lemongrass,
จื๋อ,,heart,
แจ๊ด,,seven,
ซัว,,evil,
ซาง,,elephant,
ซ๊าว,,twenty,
ซิ̄บ,,ten,
ซี,,four,
ญุ๊ง,,mosquito,
แญ๊น,,"silver, money",
แด,,to beg; to request.,
แด๊ก,,child (young person),
ตร๊อง,,eye,
เต๋อ,,"gizzard., kidney.",
เต๊ะ,,to kick,
เถร̂า,,"head, headhair (in some context)",
ไถ่,,plow,
ไถ่,,to plow,
ทุ๊ง,,flag,
น็อก,,bird,
นัม,,water,
บ๊อ,,cow; ox,
เบ้ย,,mother,
เบรี๋ยน,,"moon., month.",
ปร๋า,,fish,
ป̂า,,elder sister of one's parent,
ป̄าก,,mouth,
ปิ๊ด,,duck,
ปุ๋น,,"(body) hair, feather",
เป̄ด,,eight,
เป๋า,,crab,
ผรั่ม,,headhair,
เผี้ย,,shirt,
พรั๊ก,,vegetable,
เพ๊,,(bamboo) raft,
โฟ๊ม,,foam.,โฟม
ไฟ๊ฟ̂า,,electricity.,
ม๊วม,,lip,
ม̂อ,,pot,
มื๊อ,,hand.,
ไม,,tree; wood; stick,
รอ,,to know,
ร๊อก,,six,
รอย,,hundred,
รั๋ว,,boat; ship,
ลั๊บ,,dark,
ลิ๊ง,,monkey,
ว๊าย,,water buffalo,
วี๊,,fire,
ส่อง,,two,
ส่อย,,necklace,
ส่าม,,three,
หนึ้ง,,one,
หนู่,,rat; mouse,
หม่า,,dog,
หมู่,,pig,
หรัว,,boat; ship,
หรี่น,,rock; stone.,
หลุ้ง,,banana,
หว่าน,,sweet.,
หว่าน,,to cut into pieces; to slice.,
หว่าน,,to cut into pieces; to slice.,
หุ่ง,,papaya.,
ไห,,beautiful,
อ้อ,,aunt (younger sister of one's father).,
อ̂อย,,sugar cane (Saccharum officinarum),
อูน,,"young, soft",
แอ๊ด,,one (used at the last position),
ฮั̂ง,,fence,
ฮ̂า,,five,
