L2_orth,L2_ipa,L2_gloss,L2_etym
bakbak,,to bark.,bark
bami,,umbrella,
bilinat,,betel nut,betel nut
bresprut,,breadfruit,breadfruit
gokabaut,,To walk.,go
han,,"arm, hand",hand
kakaruk,,chicken,
kuskus,,to write,
laim,,lime,lime
lek,,"leg, foot (of a human), limb (of an animal)",leg
lotu,,church,
manua,,warship,man-o'-war
matmat,,cemetery,
muruk,,cassowary,
puamo,,egg,
pukpuk,,crocodile,
saksak,,breasts,
singsing,,prison; jail,
taberan,,Ghost; spirit.,
toi,,axe,
tri,,three,three
tri,,tree,tree
tri,,tree,tree
