L2_orth,L2_ipa,L2_gloss,L2_etym
baat,,skunk,
bal,,fire,
balgui,,star,
bay,,rebozo,
bduaa,,banana,
bdzɨz,,squirrel,
bdzɨ́ny,,deer,
bech,,buzzard,
bedund,,hummingbird,
bee,,ant,
beecu,,dog,
begu,,"turtle, tortoise",
beguidy,,butterfly,
beld,,fish,
betsiia,,louse,
betspau,,woodpecker,
bitiaaz,,nest,
buu,,"moon, month",
bzayáa,,green bean,
bziny,,mouse,
béeld,,snake,
bégu,,coyote,
bɨdyladx,,turkey hen,
cucharmadiy,,armadillo,
cuneju,,rabbit,
dam,,owl,
dub,,agave,
duub,,feather,
dzɨly,,comal (griddle),
dzɨt,,bone,
dzɨtbɨdy,,egg,
dzɨɨny,,work,
gubidx,,sun,
gueeu,,river,
guel,,milpa,
gues,,"pot, jar",
guub,,broom,
guíits,,metate,
iz,,year,
lazdoo,,heart,
llacu,,cockroach,
lliby,,knee,
llii,,nose,
llit,,cat,
llitguiix,,bobcat (Lynx rufus),
llub,,maize,
manyduuz,,spider,
ngulbez,,opossum,
nis,,water,
nisguia,,rain,
niz,,corncob,
ruu,,mouth,
siaab,,atole,
xqueet,,vermilion flycatcher (Pyrocephalus obscurus),
yaan,,corncob,
yag,,tree,
yatsin,,bat,
yaxy,,avocado,
yudoo,,church,
yuu,,house,
zee,,a fresh ear of corn,
