L2_orth,L2_ipa,L2_gloss,L2_etym
jaH,,cleared up,
jenM,,passed,
jiH,,spent money,
jiH,,missed an activity,
jlyaLH,,farted,
jlyoMH,,died,
jnyiqM,,borrowed,
jwiLM,,got something,
kwaHL,,sat,
kwaLM,,swept,
kwaML,,counted,
kwanH,,blessed him,
kwiE,,parrot,
kwiH,,hung it,
loML,,took out,
lqaLM,,blew into,
lyaHL,,peeled off,
naqHL,,washed hands,
nchaH,,broke,
nchaqLH,,dampened,
nchinH,,knotted,
nchuH,,"tore up, hit, popped up",
nchuqL,,pooped,
ndaLM,,gave,
ndenLH,,carried,
ndiyanMH,,came away,
ndlyuH,,fell down from a low place,
ndlyuLH,,turned around,
ndonLH,,stood,
nduqLH,,coughed,
ndyaLM,,returned a borrowed object,
ndyiL,,finished,
ndyuM,,fell from above,
ndywanM,,jumped,
ndywiqLM,,turned it off,
neHL,,confessed,
neLH,,sounded,
ngeLH,,endured,
ngonM,,shot,
ngwaM,,was,
ngyaLH,,went back home,
ngylaLM,,melted,
nkeqLM,,cooked,
nkinM,,burnt,
nkjwiLH,,died,
nkonqLH,,pecked at,
nkqiH,,got roasted,
nkqwaH,,drowned,
nkqwaLH,,got cold,
nkwaLM,,strained,
nkwiH,,boiled,
nkwiH,,flew,
nkyaLH,,came home,
nlyuH,,fell down ( while standing or walking ),
nnaH,,looked for,
nsuqLM,,was aging,
ntenLM,,entered,
ntiH,,softened up,
ntiqiH,,moaned,
ntjaH,,sneezed,
ntjaH,,sneezed,
ntkonqLM,,"closed, covered",
ntonLH,,grew,
ntonLM,,reproduced oneself,
ntqanH,,smeared,
ntqenH,,married,
ntqoH,,left,
ntsaML,,divided up,
ntsaqLH,,got wet,
ntsenLH,,got scared,
ntsiqLM,,buried,
ntsonHL,,warmed up,
ntsuLH,,blossomed,
ntyinqLM,,closed eyes,
ntyjaM,,found,
ntyjanqL,,infected,
ntyjyuqH,,got stuck in mud,
ntykaM,,healed,
ntykanqLM,,was tied,
ntykaqH,,leapt,
ntykonqLH,,shrank,
ntykwaL,,reached,
ntykwanHL,,trembled,
ntykwanM,,picked up,
ntykwenLM,,climbed,
ntyqoH,,resembled,
ntyqyaH,,brought down,
ntyqyaH,,lowered down,
nxiM,,turned,
nxinLH,,reproduced,
nyaHL,,built,
nyaHL,,trembled,
nyiHL,,dug a hole,
nyiHL,,confessed,
qaML,,broke,
qanL,,sat,
qanL,,went around,
qeLH,,licked,
qenL,,existed,
qneH,,got whipped,
qneLH,,did,
qnyiH,,whipped him,
qnyiH,,hit,
quHL,,showed,
qyaLH,,came down,
qyaLM,,bought or carried,
saqM,,tore up,
senH,,squeezed it,
senH,,spread around,
skanqLM,,tied up,
skonqLM,,closed,
skwaLM,,lay elevated,
skwanH,,plucked,
skwanM,,threw,
skwaqH,,took out corn kernels from cob,
skwenH,,shook,
slaH,,opened,
slaqH,,said good bye for a last time,
sluHL,,spilled,
slyaML,,agreed,
snaLM,,ran away,
sneHL,,sprinkled,
sneLM,,spread around,
snyaqH,,pinched,
sonLM,,fought,
sqanH,,filled,
sqiM,,bought,
sqnaH,,caused to swing,
sqwaHL,,put in,
sqweHL,,divided up,
sqweML,,scraped,
sqyaH,,screamed,
sqyuH,,cut up,
staH,,crushed,
stanHL,,peeled off,
stiL,,laid on the ground,
stonLH,,plucked,
styiH,,laughed,
swenqLM,,burned,
swiMS,,cleaned,
swiqHL,,turned off,
xinLH,,got poison (e.g poison oak),
xinM,,wrapped oneself with cloth or blanket,
xkaML,,yanked off,
xkiH,,bent,
xkonqLH,,dressed or covered someone,
xkuMS,,fed,
xkwanHL,,sewed,
xkwenHL,,answered,
xlaLM,,melted,
xlyuLH,,turned around,
xneHL,,confessed,
xqanH,,changed,
xtaH,,choked,
xtiH,,smoothed out,
xtyaMS,,placed,
xtyiqHS,,untied,
xyaqM,,mixed,
yaLH,,went away,
yjaqLM,,slept,
yjwiLH,,hit someone,
yjwiqM,,sold,
ykuL,,ate,
ykuqM,,wore it on,
ykwanqH,,slapped,
ykwaqL,,dripped,
ykwenM,,vomited,
ykwenqH,,swallowed,
ykwiqL,,spoke,
ylaH,,was born,
ylaLM,,sang,
ylaqL,,touched,
yluH,,dug,
ynaLH,,heard,
ynaLM,,cried,
ynaqH,,got lost,
ynoH,,stayed behind,
yoM,,ground,
yqanLH,,washed,
yqoM,,drank,
yquM,,grew or survived,
yqweM,,(male register) had sex,
yqwiL,,existed,
ytaL,,planted,
ytaL,,waited,
ytiqL,,sucked,
ytsaqLM,,told,
ytsenLH,,got scared,
