L2_orth,L2_ipa,L2_gloss,L2_etym
aba,,grandmother,
aba,,wing,
aba,,wing,
abasia,/abaˈsia/,"(Limba Sarda Comuna, medicine) abasia (inability to",
abauditu,,hearsay,
abba,/ˈabba/,"water, (by extension) rain, Synonym: proja",
abbaccada,,calm,
abbaccadore,,a thing that placates,
abbaccadura,,calm,
abbaccamentu,,the act of calming,
abbaccare,,to calm,
abbaccàbile,,placable,
abbàbbile,,irrigatable,
abe,/ˈabe/,"bee, S'abe faghet su mele. ― The bee makes honey.",
abi,,(Campidanese) bee,
abialzu,,apiary,
abialzu,,"beekeeper, apiarist",
abialzu,,"beekeeper, apiarist",
acchendere,/akˈkendere/,"(transitive) to light, set alight, ignite, kindle,",
achedda,/aˈkeɖɖa/,"bird, Synonyms: pizone, ae",
achedu,/aˈkedu/,(Nuorese) vinegar,
acherbu,/aˈkerbu/,"acerbic, sour, bitter",
achetu,/aˈketu/,(Nuorese) vinegar,
achetumine,/akeˈtumine/,A vinegary taste,
achina,/ˈakina/,"(Nuorese) grape, (collective noun) grapes (fruit),",
addichere,/adˈdikere/,"(transitive) to dedicate, Synonym: dedicare",
addighere,/adˈdiɡere/,"(transitive) to dedicate, Synonym: dedicare",
adecuamentu,/adekwaˈmentu/,"adjustment, adaptation",
adecuare,/adeˈkware/,(transitive) to adjust (to),
adecuàbile,/adeˈkwabile/,"(Limba Sarda Comuna) adaptable, adjustable",
adeguamentu,,Alternative form of adecuamentu,
adeguàbile,,(Limba Sarda Comuna) Alternative form of adecuàbile,
ae,/ˈae/,"(Logudorese) bird (in general), especially eagles or",
aghedu,/aˈɡedu/,(Logudorese) vinegar,
aghedumine,/aɡeˈdumine/,A vinegary taste,
aghina,/ˈaɡina/,"(Logudorese) grape, (collective noun) grapes (fruit),",
agnoni,/aɲˈɲoni/,"lamb (young sheep), lamb (meat), Synonym: (Gallurese)",
agustu,,August,
aici,,(Campidanese) so,
albu,/ˈalbu/,"white (bright and colourless), Synonym: brancu",
albu,/ˈalbu/,"white (color), Synonym: brancu",
allenu,,(Campidanese) foreign,
ambos,/ˈambos/,"both, Synonym: sos duos, sas duas",
ambos,/ˈambos/,both,
ambos,/ˈambos/,both,
ampulla,/amˈpulla/,"(Limba Sarda Comuna) bottle, Hypernym: istèrgiu",
amu,,"hook (for fishing), fishhook",
ananas,/ananas/,pineapple,
anchidda,/anˈkiɖɖa/,maid,
anchilla,/anˈkilla/,maid,
andare,/anˈdare/,"(Logudorese, Nuorese, Limba Sarda Comuna, intransitive)",
anghelu,/ˈanɡelu/,angel,
angioni,/anˈd͡ʒoni/,"lamb (young sheep), Hyponym: saccaju, lamb (meat),",
annu,,year,
anzenu,,"(Logudorese, Nuorese) foreign",
anzone,/anˈd͡zone/,"lamb (young sheep), Hyponym: saccaju, lamb (meat),",
aranza,/aˈrand͡za/,orange (fruit),
-are,,"Attached to a stem, forms the present infinitive of",
arena,,sand,
Arghentina,/arɡenˈtina/,Argentina (country in South America),
arghentu,/arˈɡentu/,silver,
arredughere,/arreˈduɡere/,"(transitive) to reduce, (transitive) to cut or pare",
arremattu,/arreˈmattu/,"(Logudorese) disheartenment, depression, Synonyms:",
arti,,"(Campidanese) art, (Campidanese) profession",
artu,,high,
aràngiu,/aˈrand͡ʒu/,"orange (fruit), Hypernym: frutu, (botany) orange (tree),",
atonnu,,autumn,
attu,,act,
atzàrgiu,/aˈt͡sard͡ʒu/,(Limba Sarda Comuna) steel,
aurri,/ˈaurri/,(botany) hornbeam (Carpinus betulus),
austu,,August,
ave,/ˈabe/,"(Nuorese) Alternative form of ae
Synonyms: achedda, puzone",
azenu,,"(Logudorese, Nuorese) foreign",
babbu,/ˈbabbu/,father,
bacca,/ˈbakka/,cow,
ballare,,"(Logudorese, Nuorese, Limba Sarda Comuna, transitive,",
banana,/banana/,banana (fruit),
baranta,/baˈranta/,forty (40),
basare,,(transitive) to kiss,
basu,,(Logudorese) vessel,
basu,,(Logudorese) kiss,
basu,,(Logudorese) kiss,
bator,/ˈbattor/,four,
batòrdighi,/batˈtordiɡi/,fourteen (14),
beddu,/ˈbeɖɖu/,"beautiful, nice, good-looking, handsome",
bellu,/ˈbellu/,"beautiful, nice, good-looking, handsome",
bene,,well,
bene,,well,
benedichere,/beneˈdikere/,"(transitive) to bless, (transitive) to consecrate,",
benedighere,/beneˈdiɡere/,"(transitive) to bless, (transitive) to consecrate,",
beni,,(Campidanese) well,
bentana,,a window,
bentosu,/benˈtosu/,windy,
bentu,/ˈbentu/,wind,
benuju,,(Logudorese) knee,
beranu,,spring,
berbeche,/berˈbeke/,(Nuorese) sheep,
berbeghe,/berˈbeɡe/,sheep,
beru,/ˈberu/,true,
bi,,"there (at a place), there, thither (to there), Synonym:",
biancu,/ˈbjanku/,"white, Synonym: albu",
biancu,/ˈbjanku/,"white (color), Synonym: albu",
bibere,/ˈbibere/,"to drink, Synonym: podare, bufare",
bicchiriola,,(Logudorese) penis,
bichinu,/biˈkinu/,"beside, next to, neighboring",
bichinu,/biˈkinu/,"neighbour, neighbor",
bidda,/ˈbiɖɖa/,"village, town, hamlet",
biga,,(Campidanese) beam,
bighinu,/biˈɡinu/,"beside, next to, neighboring",
