L2_orth,L2_ipa,L2_gloss,L2_etym
aini,,"iron (tool for ironing clothes), Synonym: simbi",iron
amburera,,"umbrella, Synonym: (especially Manyika) sumburera",umbrella
ani,,(interrogative) who,
ba,,to steal,
baba,,"father, (Christianity) father (priest), Synonym: fata",
bakayau,,dried fish,
bara,,bullet,
bata,,"hold, grasp, touch",
batya,,twin,
bhachi,,jacket,
bhadhara,,"pay, Antonym: -tenga",
bhaiskopu,,"film, movie, Synonym: firimu",bioscope
bhandi,,"belt, strap",
bhatye,,Alternative form of bhachi,
bhaudhi,,bolt (metal fastener),
bhazi,,bus,bus
bheka,,bakery,baker
bhikiri,,mug,
bhiza,,"horse, Synonym: (less common) hachi",
bhodhoro,,Alternative form of bhotoro,
bhodyera,,Alternative form of bhotoro,
bhokisi,,"box, coffin",box
bhotoro,,"bottle, Synonym: (especially Manyika) garafa",bottle
bhucha,,"slaughterhouse, butcher's shop, Synonym: siraha",butcher
bhuku,,book,book
Bhunu,,Afrikaner,
bhurugwa,,Alternative form of bhurukwa,
bhurukwa,,"pants, trousers",
bhurukwe,,Alternative form of bhurukwa,
Bhuruwayo,,Bulawayo (a city in Zimbabwe),
bika,,to cook,
bundo,,(Karanga) growing grass; grassland,
bundu,,lump,
buno,,"tomato, Synonym: domasi",
bvupa,,"bone, Synonym: (Karanga, Manyika) godo",
bwato,,"canoe, Synonym: igwa",
bwe,,Karanga form of ibwe,
chaira,,Alternative form of -tyaira,
chamboko,,sjambok,
chanza,,palm of hand,
chechi,,"church, Synonym: kirike",church
chena,,white,
chepfu,,poison,
chi-,,Class 7 noun prefix.,
chibhokisi,,smallpox,pox
chiBhunu,,Afrikaans,
chidhakwa,,"drunk, drunkard",
chidhina,,brick,
chigaro,,"seat, chair",
chigwagwagwa,,machine gun,
chikei,,yoke-pin,
chikepe,,boat,
chikope,,eyelid,
chikoro,,school,
chikwereti,,"debt, loan",
chimurenga,,"rebellion, revolution; (in particular) a war fought",
China,,Thursday,
chinanazi,,Synonym of nanazi: pineapple,
chiNgezi,,English (language),
chingwa,,bread,
chinhu,,thing,
chipa,,"be cheap, be inexpensive, Antonym: -dhura",-tshipa
chipanji,,Alternative form of chiponji,
chipfuva,,chest (body part),
chipikiri,,nail (metal spike),
Chipiri,,Tuesday,
chipoko,,ghost,
chiponji,,"sponge (animal or cleaning tool), Synonym: (Korekore,",isiponji
chiPutukezi,,Portuguese language,
chiRungu,,"a European language; (in particular) English, Synonym:",
chizi,,cheese,cheese
churu,,Alternative form of chiuru,
dana,,"(Karanga, Zezuru) call, summon, Synonym: -daidza",
dapiri,,"potato, Synonym: mbatatisi",
dhirezi,,"dress, Synonym: rokwe",dress
dhongana,,donkey foal,
dhonza,,pull,
dhorobha,,"town, Synonym: taundi",
dhuku,/ˈd̤ú.ku/,head tie,
dhura,,"be expensive, Antonym: -chipa",
diki,,"small, little",
doko,,Karanga and Manyika form of -diki,
domasi,,"tomato, Synonym: buno",
duku,,Karanga and Manyika form of -diki,
dumbu,,"belly, (in the plural) intestines, Synonym: ura",
dumbu,,"crowd, Synonym: mhomho",
dumbu,,"crowd, Synonym: mhomho",
dya,,to eat,
dziva,,"pond, pool",
fa,,to die,
fafitera,,"window, Synonym: windo",
famba,,to walk,
famu,,"farm, Synonym: purazi",farm
firimu,,"film, movie, Synonym: bhaiskopu, film (for a camera)",film
fodya,,tobacco,
fofo,,"(especially Manyika) match (device to make fire), Synonym:",
foshoro,,"shovel, spade",ifosholo
funda,,"study, learn, Synonym: -dzidza",
fupa,,Karanga form of bvupa,
gamera,,Alternative form of ngamera,
gara,,"sit, be seated, stay, live (somewhere), stay away from",
gara,,"(Manyika) ember, Synonym: (Standard Shona) vhunze",
gara,,"(Manyika) ember, Synonym: (Standard Shona) vhunze",
garafa,,"(especially Manyika) bottle, Synonym: bhotoro, piece",
garikuni,,"turkey, Synonym: toki",
garo,,"(formal) buttock, Synonym: dako",
garwe,,"(Zezuru) crocodile
Synonyms: (Karanga, Korekore, Manyika) ngwena, (Manyika) goko",
Gatoma,,Kadoma (a town in Zimbabwe),
gazi,,"blood, Synonym: ropa",
gejo,,plough,
girazi,,"glass (material), glass (drinking vessel), (in the",glass
godo,,"(Karanga, Manyika) bone, Synonyms: (Standard Shona)",
goko,,"(Manyika) crocodile, Synonyms: (Zezuru) garwe, (Karanga,",
gomo,,"mountain, hill",
gore,,year,
gore,,cloud,
gore,,cloud,
goridhe,,gold,igolide
gorosi,,"barley, wheat, Synonym: koroni",
gumi,,ten,
guyu,,"fig
Synonym: onde",
gwa,,Karanga form of igwa,
gwai,,Karanga and Manyika form of hwai,
gwaimani,,trek ox (ox used for hauling),
gwanza,,"(Manyika) path
Synonym: (Standard Shona) nzira",
gwavha,,guava,guava
Gweru,,Gweru (a city in Zimbabwe),
gweta,,lawyer,
hachi,,"horse, Synonym: (more common) bhiza",
handa,,"(Manyika) puppy
Synonyms: (Zezuru) imbwanana, (Karanga) mbwanana",
hanga,,helmeted guineafowl,
hanzi,,goose,
hapwa,,armpit,
Harare,,Harare (the capital city of Zimbabwe),
hembe,,shirt,
hope,,sleep,
hosipitari,,"hospital, Synonym: chipatara",hospital
hozhwa,,slug or snail,
huku,,chicken,
hukwana,,young chicken; chick,
hure,,"prostitute, whore",
hwai,,sheep,
hwana,,Karanga form of twana,
ibwe,,stone,
igwa,,"canoe, Synonym: bwato, boat",
imba,,house,
imbwa,,"(Manyika, Zezuru) dog",
imbwanana,,"(Zezuru) puppy, Synonym: (Manyika) handa",
ingwa,,Korekore form of imbwa,
ingwe,,"(Korekore, Manyika, Zezuru) leopard, Synonyms: (Korekore)",
ishwa,,termite,
itsvo,,"(Manyika, Zezuru) kidney",
jasi,,"overcoat, greatcoat",
jazi,,Alternative form of jasi,
joki,,yoke,
jon'osi,,"ox, (especially) a young or untrained one",
kama,,to milk,
kamba,,(Manyika) Synonym of ingwe: leopard,
kamu,,comb,
kanduru,,"candle, Synonym: kandyera",candle
kandyera,,"candle, Synonym: kanduru",
kanga,,fry,
kepisi,,cap (kind of hat),ikepisi
kirike,,"(especially Karanga) church, Synonym: chechi",
kobvu,,"thick
Antonym: -tete",
konobho,,"button, Synonyms: ngopero, bhatanisi",
kopa,,copper (metal),copper
koroni,,"wheat, Synonym: gorosi",
kuru,,"big, large, great, adult",
kuuzuru,,"above, high up, upward",
Kwekwe,,Kwekwe (a city in Zimbabwe),
kwenya,,to scratch,
kwereta,,borrow,
ma-,,Class 6 noun prefix.,
machisi,,"matches (devices to make fire), Synonym: fofo",matches
mafuta,,"fat, oil, grease",
magetsi,,electricity,ugesi
marasha,,"coal, Synonym: masimbe",
marata,,corrugated iron,
mari,,money,
Marondera,,Marondera (a city in Zimbabwe),
mate,,saliva (liquid secreted into the mouth),
mbada,,(Korekore) Synonym of ingwe: leopard,
mbatatisi,,"potato, Synonym: dapiri",
mbeu,,seed,
mbira,,rock hyrax,
mbira,,thumb piano; mbira,
mbiya,,a kind of round dish used for relish,
mboro,,penis,
mbudzana,,kid (young goat),
mbudzi,,goat,
mbwa,,Karanga form of imbwa,
mbwanana,,Karanga form of imbwanana,
mhara,,impala,
mhata,,"(vulgar) anus, asshole
Synonyms: (Karanga, Manyika) horo, (formal) mupedzadzviyo",
mhene,,steenbok,
mhino,,Karanga and Manyika form of mhuno,
mhou,,cow (female cattle),
mhowani,,"(Manyika) ostrich
Synonym: (Standard Shona) mhou",
mhumhi,,African hunting dog (Lycaon pictus),
mhuno,,"(Korekore, Zezuru) nose",
mimba,,"uterus, pregnancy, Synonym: nhumbu",
mombe,,cattle,
motokari,,"car, vehicle",motorcar
Moyo,,A  surname​.,
mu-,,Class 1 noun prefix.,
mu-,,Class 3 noun prefix.,
mu-,,Class 3 noun prefix.,
mubiki,,cook,
muboora,,cooked pumpkin leaves (a dish similar to collard greens),
muchairi,,Alternative form of mutyairi,
mufarinya,,"(Manyika, Zezuru) cassava, manioc",
mufundi,,"student, disciple, learner, Synonym: mudzidzi",
mugodhi,,mine,
Mugovera,,"Saturday, Synonym: (Zezuru) Chitanhatu",
muhacha,,mobola plum (tree),
muhedheni,,(Christianity) heathen,
mukadzi,,"woman, wife",
mukaka,,milk,
mukanwa,,inside of the mouth,
mukomana,,"boy
Antonym: musikana",
mukuyu,,"fig tree, Synonym: muonde",
muManyika,,A member of the Manyika people,
mundimu,,lemon tree,
munhu,,"person, human",
munwe,,"(Manyika, Zezuru) finger",
muoko,,Manyika form of ruoko,
muonde,,"fig tree
Synonym: mukuyu",
mupunga,,rice (grain and plant),
muPutukezi,,Portuguese person,
murimi,,farmer,
muromo,,"mouth, beak, plowshare",
murota,,"(Zezuru) soap
Synonym: (Standard Shona) sipo",
muRozvi,,"A member of the Rozvi tribe, the ruling class of the Rozvi Empire.",
muRungu,,white person,
musasa,,msasa tree,
musasa,,a temporary shelter made of branches,
musikana,,"girl
Antonym: mukomana",
Mutare,,Mutare (a city in Zimbabwe),
muti,,"tree, medicine, Synonym: mushonga",
mutobvu,,lead (metal),
mutumba,,(music) a type of very large drum,
mutyairi,,"driver, Synonym: dhiraivha",
Muvhuro,,Monday,
muviri,,body,
muZezuru,,A member of the Zezuru people,
mvura,,"water, rain",
mvuu,,"hippopotamus, Synonym: hwindi",
mwa,,Karanga and Manyika form of -nwa,
mwaka,,"(Manyika, Zezuru) season",
mwana,,child,
mwe,,"one, (placed before a noun) other, another",
mwedzi,,"moon, month",
mwoyo,,heart,
n'anga,,"witch doctor, medicine man",
n'ombe,,Karanga and Manyika form of mombe,
n'wa,,Korekore form of -nwa,
na,,four,
nachisi,,"tangerine, mandarin, naartjie",
nanazi,,pineapple,
ndarama,,"precious metal, (especially) gold",
ndebvu,,beard,
ndege,,"airplane, aircraft",
ndimu,,"lemon, Synonym: remoni",
ndoto,,"dream, fantasy",
ngamera,,camel,
ngani,,"(interrogative) how much, how many",
ngano,,"folklore, fable, fantasy",
ngarava,,ship,
ngoma,,drum (musical instrument),
nguruve,,pig,
ngurwana,,piglet,
nguva,,"time
Synonym: (Karanga) nhambo",
ngwe,,Karanga form of ingwe,
ngwena,,"(Karanga, Korekore, Manyika) crocodile, Synonyms: (Zezuru)",
nhambo,,"(Karanga) time
Synonym: (Standard Shona) nguva",
nhanga,,pumpkin,
nhauro,,"subject, topic, story, news",
nhondo,,Alternative form of nondo,
nhoro,,kudu,
njanji,,railway,
nomwe,,seven,
nondo,,"tsessebe (an antelope, Damaliscus lunatus)",
nwa,,(Zezuru) to drink,
Nyadire,,Nyadiri (a town in Zimbabwe),
nyama,,meat,
nyambo,,"story, tales, jokes",
nyanza,,"lake, (Manyika, Zezuru) ocean, sea, Synonym: (Standard",
nyarara,,"be quiet, be silent",
nyati,,buffalo (Old World savannah-dwelling bovid),
nyaya,,"story, conversation, news",
nyenga,,"woo, court",
nyenyedzi,,"(Manyika, Zezuru) star",
nyeredzi,,Karanga and Manyika form of nyenyedzi,
nyoka,,snake,
nyuchi,,bee,
nyundo,,hammer,
nzara,,"hunger, famine",
nzeve,,ear,
nzira,,"path, Synonym: (Manyika) gwanza",
nzou,,elephant,
nzungu,,groundnut / peanut,
ona,,to see,
onde,,"fig
Synonym: guyu",
pa,,to give,
pamhi,,"broad
Antonym: -tete",
pasi,,"on the ground, below, down",
pauzuru,,"above, high up",
pfumbamwe,,nine,
pfupi,,"short, Antonym: -refu",
pfuti,,gun,
pungwe,,pungwe (all-night political vigil or rally),
purazi,,"farm, Synonym: famu",
rara,,to sleep,
refu,,"long, tall, Antonym: -pfupi",
