L2_orth,L2_ipa,L2_gloss,L2_etym
aabbâs,,primer (textbook),
aacciǩ,,grasshopper,
Aagni,/ˈɑːɡni/,A female given name,
aalmi,,people,
Aanarjäuʹrr,,Inari (lake),
akkli,,shark,
autt,,car,
â,/ɐ/,"The second letter of the Skolt Sami alphabet, written in the Latin script.",
Â,/ɐ/,"The second letter of the Skolt Sami alphabet, written in the Latin script.",
ââlmted,,to report,
ââʹǩǩ,,age,
ââʹss,,skin-side of a hide,
âskkeed,,to hug,
âʹbrr,,rain,
âʹlǧǧ,,boy,
âʹlmm,,sky,
âʹsǩǩ,,lap (upper legs),
âʹvveed,,to be leaky,
Âʹvvel,,Ivalo,
aʹddjed,,to understand,
aʹŋǧǧel,,angel,
b,/b/,"The third letter of the Skolt Sami alphabet, written in the Latin script.",
B,/b/,"The third letter of the Skolt Sami alphabet, written in the Latin script.",
bieʹss,,devil,
bukva,,letter (symbol of an alphabet),
buss,,bus,
Bååʹres,,A male given name from Russian,
c,/t͡s/,"The fourth letter of the Skolt Sami alphabet, written in the Latin script.",
C,/t͡s/,"The fourth letter of the Skolt Sami alphabet, written in the Latin script.",
caarr,,"czar, king",
carstva,,"empire, tsardom",
cââǥǥan,/t͡sɐːɣːɑn/,oystercatcher,
câʹǧǧ,,This term needs a translation to English. Please help,
ceerkav,/ˈt͡seːrkɑv/,church,
ceeʒʒaž,/ˈt͡seːd͡zːɑʒ/,"chickadee, tit",
ceäggad,,to erect,
ceäʹǩǩ,,terrace,
cieʹvv,,snow that is dense enough to carry a reindeer,
cueʹǩǩ,,shallow (of water),
Č,/t͡ʃ/,"The fifth letter of the Skolt Sami alphabet, written in the Latin script.",
č,/t͡ʃ/,"The fifth letter of the Skolt Sami alphabet, written in the Latin script.",
čââʹđ,,heart,
čâʹlmm,,eye,
čee,,tea,
čeuʹll,,wart,
čeuʹǯǯ,,"hock (joint, of reindeer or other animal)",
čeäʹšnn,,woodpecker,
čeʹbb,,thigh,
Čeʹvetjäuʹrr,,Sevettijärvi,
čiâhss,,omasum (third part of ruminant's stomach),
čiččâm,,seven,
čieʹcc,,father's younger brother,
čiõlggeed,,"to make clear, to clarify, to investigate",
čiõlliǩ,/t͡ʃiɘlːic͡ç/,"black guillemot, tystie",
čiõrsted,,to slide down a slope,
čõhčč,,autumn,
čõhččmään,,September,
čõrmm,/t͡ʃɘrmː/,wolf,
čõʹǩǩeed,,"to flee, to escape",
čueʹll,,intestine,
čuõjjiǩ,,index finger,
čuõškkvuâppai,,dragonfly,
čuõvted,,"to clarify, to enlighten",
čuõvvâd,,"to shine, to illuminate",
čuuʹđđ,,persecutor,
čuäcc,,rotten tree,
čuäʹdǧǧ,,goldeneye (duck species),
čuäʹlmm,,strait,
čuäʹrvv,,horn,
čäccai,,watery,
čäŋŋõõtti,/ˈt͡ʃaŋːɘːtːi/,intruder,
čääʹcc,,water,
čåuddjed,,to be loosened,
čåuʹdded,,"to open, to loosen, to untie, to let go of",
čåuʹjj,,stomach,
d,/d/,"The eighth letter of the Skolt Sami alphabet, written in the Latin script.",
D,/d/,"The eighth letter of the Skolt Sami alphabet, written in the Latin script.",
da,,and,
đ,/ð/,"The ninth letter of the Skolt Sami alphabet, written in the Latin script.",
Đ,/ð/,"The ninth letter of the Skolt Sami alphabet, written in the Latin script.",
dååma,,at home,
