L2_orth,L2_ipa,L2_gloss,L2_etym
آه,/ʔaː/,"yes, Synonyms: أيوه‎ (ʔaywa), (formal) نعم‎ (naʔam),",
أب,,"father, Synonym: (formal) والد‎ (wāled)",
أبدا,/ʔa.ba.dan/,"never, Synonyms: بالمرة‎ (bil-marra), ولا مرة‎ (wala",
أبيض,,white,
أتر,/ʔat.tar/,"Alternative form of أثّر‎ (ʔaṯṯar, “to affect, to influence”)",
أتلج,/ˈʔat.lad͡ʒ/,"to snow
Synonym: تلّج‎ (tallaj)",
أثر,/ʔaθ.θar/,"to affect, to influence (+ في‎), ‏الدوا مش مأثّر فيه.‎‎id-dawa",
أجا,,Alternative form of إجا‎ (ʔija),
أجل,/ʔaʒ.ʒal/,"to postpone, to put off, ‏كان لازم يأجّلو العرس.‎‎kān",
أحسن,,"elative degree of منيح‎ (mnīḥ): better, best, elative",
أحمر,,"red, ‏الصليب الأحمر‎‎ ― iṣ-ṣalib il-ʔaḥmar ― the Red",
أخ,,brother,
أخت,,sister,
أخد,/ʔa.xad/,"to take, ‏برافو حبيبتي، أخدتي القرار الصحّ.‎‎brāvo",
أخضر,,"green, ‏الخطّ الأخضر‎ ― il-ḵaṭṭ il-ʔaḵḍar ― the Green",
أربع,/ʔar.baʔ/,construct state of أربعة‎ (ʔarbaʔa),
أربعة,/ʔar.ba.ʕa/,four,
أربعتعش,/ʔar.baʕ.taʃ/,fourteen,
أرجل,/ʔar.ɡal/,"to smoke argileh, Synonyms: شيّش‎ (šayyaš), شرب أرجيلة‎",
أرض,,"land, ground, terrain, Earth, floor (of a room)",
أرنب,,rabbit,
أزرق,,blue,
أسبوع,/ʔus.buːʕ/,"week, Synonym: جمعة‎ (jumʕa)",
أستاذ,,"teacher, Synonym: معلم‎ (mʕallem), professor, lecturer",
أسد,,lion,
أسس,/ʔas.sas/,"to establish, to found, to set up",
أسود,,black,
أشتى,/ˈʔaʃ.ta/,"(regional) to rain
Synonym: شتّى‎ (šatta)",
أشر,/ʔaʃ.ʃar/,"to signal, ‏إجى الباص وأشّرتله.‎‎ʔija l-bāṣ w ʔaššart-illo.The",
أصبع,,"finger, key (computer, piano etc.), tube",
أصفر,,yellow,
أضفر,,nail (of finger or toe),
