L2_orth,L2_ipa,L2_gloss,L2_etym
јааш,,rain,
јай,,summer,
јарым,,half,
јас,/cɐs/,spring,
јастык,,pillow,
јаҥмыр,,rain,
јаҥыс,/ˈɟɑŋɯs/,"lone, lonely, only",
јеен,,sleeve,
јеерен,,red,
јел,,wind,
јер,/cer/,"land, earth",
јес,,copper,
јетен,,seventy,
јети,/ce.ti/,seven,
јетинчи,,seventh,
јеҥ,,sleeve,
јиир,/ciːr/,"to eat, јип салар ― ǰip salar ― to eat, perfectively",
јодро,,bird cherry (Prunus padus) (tree and fruit),
јол,,"way, road.",
јон,/con/,"people, ethnic group",
јыл,,year,
јылан,,snake,
јылдыс,,(astronomy) star,
јымыртка,,egg,
јӱрек,,heart,
агас,,ermine,
адалгы,,oar,
адалгыш,,(linguistics) noun,
адару,,bee,
ай,,moon,
айу,,bear,
айыл,,yurt,
албаты,,"(historical) subject, people, Synonyms: калык (kalïk),",
Алтай,/altaj/,"Altay, Altai (a mountain range in Central Asia); see Altai Mountains",
алты,,six,
алтынчы,,sixth,
амаду,,goal,
аракы,,vodka,
аракызак,,drunkard,
ачар,,"to open, ачып ийер ― ačïp iyer ― to open, perfectively",
ачкыч,,key,
байыыр,,(intransitive) to grow rich,
бармак,,finger,
батша,,"king, tsar, Synonym: бача (bača)",
баштапкы,,first,
бежен,/be.ʒen/,fifty,
бежинчи,,fifth,
беш,,five,
биле,,family,
бир,,one,
биринчи,,first,
бис,,ablative of биз (biz),
бистиҥ,,thee (second-person plural familiar personal pronoun),
бичик,[biˈtʃik],book,
бозу,,calf,
болор,,to be; to become,
болот,,steel,
боскос,,gudgeon,
бош,,empty,
бу,,this,
булут,,cloud,
буу,,steam,
буу,,cord,
буу,,cord,
бычак,,knife,
бӧрӱ,,wolf,
ийне,,needle,
ичер,,"to drink, ичип ийер ― ičip iyer ― to drink, perfectively",
-й,/j/,"Agglutinated after a verb stem which ends in a vowel, forming an imperfective converb",
Кадын,/qɐ.dɨn/,"Katun (tributary of the Ob), Кадын суу ― Kadïn suu",
кай,,overtone singing,
кайда,,(interrogative) where?,
кайдаҥ,,"whence, from where",
калык,,people,
кан,,blood,
кан,,"khan, khanate, country, Кан-Алтай ― Kan-Altay ― The",
кан,,"khan, khanate, country, Кан-Алтай ― Kan-Altay ― The",
канјыл,,dagger,
кар,,snow,
качан,,when,
кебедел,,coat of arms,
кем,,who,
кижи,,"person, human",
кожоҥ,,song,
койон,,hare,
корон,,poison,
кудай,,God,
куйрук,,tail,
кум,,sand,
кумак,,sand,
кумдус,,beaver,
Кыдат,,"China, a unisex given name from Oirat, meaning ""Chinese""",
кызыл,,red,
кыймык,,movement,
кылыш,,sword,
кыш,,winter,
кӧбӧлӧк,,butterfly,
кӧзнӧк,[køzˈnøk],window,
кӧл,,lake,
кӧс,,eye,
кӱмӱш,,silver,
кӱнчыгыш,,east,
кӱс,,"autumn, fall (season)",
кӱскӱ,,mirror,
кӱчӱк,,puppy,
мааны,,"wild cat, manul",
май,,May,
май,,"butter, fat",
май,,"butter, fat",
малта,,axe,
межик,,coffin,
мен,,I,
мечет,,mosque,
мешке,,mushroom,
момон,,mole,
Моол,,Mongolia (a country in inner Asia),
моркоп,,carrot,
мус,,ice (Teleut),
мында,,here,
мындый,,like this,
мӧндӱр,,hail,
мӧндӱрлеер,,"to hail, Тайгаларда канчанчы кӱн мӧндӱрлеп јат.Taygalarda",
мӧҥӱн,,"silver, Synonym: кӱмӱш (kümüš)",
мӱӱс,/myːs/,horn,
ол,,"he, she, it (third-person singular subject pronoun)",
онынчы,,tenth,
оору,,"pain, sick ,ill, illness, sickness",
оос,,mouth,
ором,,street,
от,,fire,
от,,grass,
от,,grass,
оток,,a tribal subdivision,
оҥ,,"right (opposite of left), Antonym: сол (sol)",
пахта,,cotton,
сабар,,finger,
салкын,,wind,
самын,,soap,
сарлык,,yak,
сарын,,song,
сегизинчи,,eighth,
сегис,,eight,
сезим,,feeling,
согыш,,war,
сол,,"left, Antonym: оҥ (oŋ)",
солун,,news,
суу,,water,
сыйыр,,cow,
сӧзлик,,dictionary,
сӧӧк,,"bone, clan",
сӱт,,milk,
сӱттӱ,,milky,
талай,,sea,
тамчы,,drop,
тарых,,"(Qanas, dialectal) history",
теҥери,,"sky, heaven",
теҥис,,"ocean, sea",
тизе,,knee,
тийиҥ,,squirrel,
тил,,tongue,
тогузынчы,,ninth,
тогус,,nine,
тоомјы,,prestige,
тура,/tuˈrɑ/,house,
туу,,(geography) mountain,
туу,,"second-person singular imperative of туур (tuur, “to",
туу,,"second-person singular imperative of туур (tuur, “to",
туулу,/tuː.lu/,mountainous,
тӧрт,,four,
тӧртинчи,,fourth,
тӧӧ,,camel,
тӱдӱн,,"smoke, Synonym: ыш (ïš)",
тӱлкӱ,,fox,
тӱндӱк,,north,
тӱштӱк,,south,
тӱҥӱр,,"a tüŋür, an Altaian instrument similar to buben for",
Тӱҥӱр,,a village in the Altai Republic.,
тӱӱки,,history (aggregate of past events),
уй,,cow,
ундыыр,,"to forget, ундып салар ― undïp salar ― to forget, perfectively",
уу,,net,
уул,,son,
хымыс,,koumiss,
чай,,river,
чалкан,,turnip,
чатыр,,tent,
чечек,,flower,
чикир,,sugar,
чочко,,"pig, swine",
шајын,,religion,
шикир,,(Teleut) sugar,
ыш,,smoke,
эки,,two,
экинчи,,second,
эл,,land,
эне,,mother,
эрчим,/erˈtʃim/,activity,
эс,,memory,
эски,,old,
эчки,,goat,
ээ,,owner,
ээр,,saddle,
ӧй,/øj/,"time, Synonyms: туш (tuš), вакт (vakt), саат (saat)",
ӧй,/øj/,step-,
ӧй,/øj/,step-,
ӧлӱм,,death,
ӧргӧӧ,,palace,
ӧштӱ,/øʃˈty/,"enemy, opponent",
ӱчинчи,,third,
