L2_orth,L2_ipa,L2_gloss,L2_etym
ꠀ,/a/,"The letter ""a""",
ꠀꠀꠠ,/áɽ/,Third month of the Bengali calendar.,
ꠀꠁꠌ꠆ꠍꠣ,/ait͡ʃːá/,"okay, OK",
ꠀꠁꠌꠍꠣ,/aɪtɕ.tɕá/,"okay, OK",
ꠀꠁꠎ,/aiz/,today,
ꠀꠁꠎꠇꠣꠁꠟ,/aizxail/,nowadays,
ꠀꠄꠚꠟ,/ae̯fɔ́l/,apple,apple
ꠀꠅꠞ,/áɔɾ/,haor,
ꠀꠇꠔꠣ,/axt̪a/,suddenly,
ꠀꠇꠞꠣ,/axɾa/,painter,
ꠀꠉꠘ,/aɡɔn/,Eighth month of the Bengali calendar.,
ꠀꠉꠥꠁꠘ,,fire,
ꠀꠋꠉꠥꠁꠟ,,finger,
ꠀꠋꠉꠥꠞ,/aŋɡuɾ/,grape,
ꠀꠋꠉꠦꠎ,/aŋɡez/,patience,
ꠀꠋꠑꠤ,/aŋʈí/,ring,
ꠀꠍꠦ,/asé/,"there is, there are",
ꠀꠐ,/aʈ/,eight,
ꠀꠑꠥ,/aʈú/,"knee, ꠀꠝꠣꠞ ꠀꠑꠥ ꠈꠣꠟꠣꠁ ꠉꠦꠍꠦ।amar aṭú xálai gesé।My knee",
ꠀꠗꠤ,/ad̪í/,"shital pati, mat",
ꠀꠘ꠆ꠗꠣꠁꠞ,,"dark, dismal",
ꠀꠘ꠆ꠗꠣꠁꠞ,,"darkness, ꠀꠘ꠆ꠖꠣꠁꠞꠧ ꠛꠣꠁꠞꠦ ꠛꠣꠞ ꠅꠁꠅ ꠘꠣ꠪andairo baire bar",
ꠀꠘꠗꠣꠁꠞ,/an.d̪áɪɾ/,"dark, dismal",
ꠀꠘꠗꠣꠁꠞ,/an.d̪áɪɾ/,"darkness, ꠀꠘꠖꠣꠁꠞꠧ ꠛꠣꠀ’ꠞ ꠅ‌’ꠁꠅ ꠘꠣ꠪andáiro baár óio na.Don't",
ꠀꠙꠘꠣꠞ,,"genitive of ꠀꠙꠘꠦ (afone): your (polite), ꠀꠙꠘꠣꠞ ꠘꠣꠝ",
ꠀꠙꠘꠦ,/aɸne/,formal you (singular),
ꠀꠝ,/am/,mango,
ꠀꠝꠌꠂꠟ,/ámsɔil/,"noise, outcry, hue and cry",
ꠀꠝꠤ,/ami/,I (singular),
ꠀꠡꠤꠘ,/aʃin/,Sixth month of the Bengali calendar.,
ꠁ,/i/,"The letter ""i""",
ꠁꠌ꠆ꠍꠣ,/it͡ʃ.t͡ʃa/,"desire, wish, will",
ꠁꠐ,/iʈ/,brick,
ꠁꠐꠣꠘꠤ,/iʈani/,to stone,
ꠁꠟꠤꠡꠣ,/iliʃa/,hilsa,
ꠃ,/u/,"The letter ""u""",
ꠃꠇꠂꠘ,/ukɔin/,"louse, head louse, Synonyms: ꠛꠤꠠꠣ (biṛa), ꠙꠥꠎꠣꠁꠟ (fuzail)",
ꠃꠐ,/uʈ/,camel,
ꠃꠘ꠆ꠖꠥꠞ,/und̪uɾ/,"rat, mouse",
ꠃꠘ꠆ꠗꠣꠟ,/und̪ál/,stove,
ꠃꠘ꠆ꠗꠣꠟꠙꠥꠟꠤ,/und̪álɸuli/,kitchen,
ꠃꠘ꠆ꠘꠤꠡ,/unːiʃ/,nineteen,
ꠃꠘꠖꠥꠞ,/und̪uɾ/,"rat, mouse",
ꠃꠜꠣꠘꠤ,/úbáni/,"to stand, ꠌꠇꠤꠖꠣꠞ ꠉꠦꠁꠐꠞ ꠇꠣꠘ꠆ꠗꠣꠔ ꠃꠜꠣꠁ ꠞꠁꠍꠦ।sokidar geiṭor",
ꠃꠞꠤ,/uɾi/,lablab,
ꠄ,/ɛ/,"The letter ""e""",
ꠄꠃꠟꠣ,,gooseberry,
ꠄꠇ,/ex/,one,
ꠄꠇꠂꠡ,/exɔiʃ/,twenty-one,
ꠄꠇꠟꠣ,/exla/,alone,
ꠄꠘ꠆ꠒꠣ,,"egg, Synonyms: ꠛꠂꠖꠣ (boida), ꠒꠤꠝ (ḍim)",
ꠅ,/ɔ/,"The letter ""o""",
ꠅꠄ,/ɔ́e̯/,"yes, Antonym: ꠘꠣ (na)",
ꠅꠟꠂꠖ,/ɔ́lɔid̪/,turmeric,
ꠇ,,The 6th letter in Sylheti Nagri abugida.,
ꠇ,,sap,
ꠇ,,sap,
ꠇꠂ,/xɔi/,where,
ꠇꠌꠥ,,taro,
ꠇꠌꠥꠀ,/xɔsua/,green,
ꠇꠚꠟ,,papaya,
ꠇꠟꠣ,/xɔla/,banana,
ꠇꠣꠁꠟ,/xail/,"yesterday, tomorrow",
ꠇꠣꠇꠂ,/xaxɔi/,"comb, Synonym: ꠌꠤꠞꠂꠘ (siroino)",
ꠇꠣꠑꠟ,/xaʈɔ́l/,jackfruit,
ꠇꠣꠔꠤ,/xat̪i/,Seventh month of the Bengali calendar.,
ꠇꠣꠞ,,genitive of ꠇꠦ (xe): whose,
ꠇꠣꠟꠤ,/xali/,ink,
ꠇꠤꠀꠘꠧ,/kianɔ/,where,
ꠇꠤꠔꠣ,/kit̪a/,what?,
ꠇꠥꠀꠁ,/kuai/,where,
ꠇꠥꠁꠀꠞ,/kuíaɾ/,sugarcane,
ꠇꠥꠔ꠆ꠔꠣ,/kut̪ːa/,dog,
ꠇꠥꠘꠈꠣꠘꠧ,/kunxánɔ/,where,
ꠇꠥꠘꠣꠘꠧ,/kunanɔ/,where,
ꠇꠥꠞꠦꠡꠤꠀ,,Croatia,
