L2_orth,L2_ipa,L2_gloss,L2_etym
abbiš,,(Anatomy) breast,
aber,,"(anatomy) eyelash, Synonym: abriw",
aberkan,,black,
aberḍaḍ,,middle finger,
abrid,/æbrɪð/,"road, path, way",
admar,,"(anatomy) chest, (anatomy) breast, Synonym: abbiš",
adrar,/æðrar/,mountain,
ajellid,/æ.ʒəl.lɪd/,king,
ajeğğid,/æ.ʒəd.d͡ʒɪd/,Alternative form of ajellid,
aman,/æmæn/,water,
amaziɣ,/æ.mæ.zɪɣ/,Berber male,
ameggiz,,cheek,
ameẓẓuɣ,,ear,
amummu,,(anatomy) pupil,
anyar,,forehead,
aqehwi,,brown,
aqemmum,,mouth,
aqesmir,,chin,
aqiyyuɛ,,"head, Synonyms: azellif, ixef",
arif,,Rif mountains,
arifi,,Riffian,
arriš,,"feather, hair, fur",
aryaz,/ærjæz/,"man, husband",
awar,,word,
awraɣ,,yellow,
axenšuš,,"(anatomy) face, Synonym: udem",
axxam,,"room, Synonym: rbit",
ayenfif,,Alternative form of ayenfir,
ayenfir,,lip,
ayenšiš,,Alternative form of ayenfir,
azegwaɣ,,red,
azegzaw,,"green, blue, Synonym: aḥmaymi, unripe",
azellif,,"(anatomy) head, Synonyms: aqiyyuɛ, ixef",
azewwaɣ,,red,
azeǧǧif,,Alternative form of azellif,
ašemrar,,white,
ašewwaf,,Alternative form of ašuwwaf,
ašuwwaf,,"hair, Synonyms: arriš, šɛar, ašenkuk, anzaḍ, ẓuṭṭu,",
aššar,,(anatomy) Alternative form of iššar,
aɣemmar,,"angle, elbow",
aɣesmir,,"jaw, jawbone, chin, Synonym: aqesmir",
aɣṛum,,"bread, Synonyms: angur, tašnift, taxebbast, tamqiyest,",
aḏrā,,Alternative form of adrar,
aṛṛuẓ,,rice,
butxutam,,ring finger,
ifef,,"(anatomy) nipple, Synonym: tabbišt",
ikmez,,thumb,
ires,,"tongue, language, Synonyms: tutlayt, awar, dialect",
iri,,neck,
iššar,,fingernail,
kisu,,"cheese, Synonyms: taklilt, ajebben, furmaj",
netta,,he (third person masculine singular pronoun),
nešš,,I (first person singular pronoun),
nnwaṛ,,plant,
tabbišt,,(anatomy) nipple,
taddart,,"house, Synonym: axxam",
taklilt,,"curd, curd cheese, cheese, Synonyms: ajebben, furmaj,",
tamart,,"beard, Synonym: aɛesmir",
tamaziɣt,,Berber female,
tamaziɣt,,Berber language family,
tamdint,,city,
tameṭṭut,,"woman
Synonym: tamɣart",
tamɣart,/tɑmɣart/,"woman, Synonym: tameṭṭut, wife",
taqesmart,,Alternative form of aqesmir,
tarifešt,,Riffian,
tarifešt,,"Riffian language, Riffian female",
Tarifit,,Riffian female.,
Tarifit,,Riffian language.,
taɣmart,,"angle, elbow",
taɣrudt,,"shoulder, shoulder blade",
timmi,,(anatomy) eyebrow,
tinzar,,(anatomy) nose,
tireṭṭaḍt,,pinkie,
tiɣmest,,tooth,
tiṭ,,"eye, spring (water source)",
tmijja,,(anatomy) throat,
udem,,"(anatomy) face, Synonym: axenšuš",
ššahed,,(anatomy) index finger,
ššejret,,tree,
ššejāṯ,,Alternative form of ššejret,
ššraɣem,,moustache,
ɣir,,(anatomy) arm,
ḍaḍ,,finger,
ḍḍšā,,village,
ṯanewwašt,,flower,
ṯendint,,Alternative form of tamdint,
ⴰⵔⵉⴼ,,Tifinagh spelling of arif (“the Rif mountains”),
