L2_orth,L2_ipa,L2_gloss,L2_etym
ajastli,,wing,
ajkolli,,shoulder,
akxoyatl,,fir,
alotl,,Macaw.,
askatl,,ant,
atl,/aːtɬ/,water,
auakatl,,Avocado.,
aueuetl,,Montezuma cypress ,
axolotl,,axolotl,
ayotochtli,/a.jo.ˈtot͡ʃ.tɬi/,armadillo,
chiatletl,,diesel,
ejekatl,,Wind.,
eluayotl,,soul,
epasotl,,epazote,
epatl,,skunk.,
itskuintli,,dog.,
kalli,,house,
Kolombia,,Colombia (a country in South America),
kouitl,,Tree.,
koyotl,,coyote (Canis latrans),
kuaujtli,,Eagle.,
lalaxtli,/lalaːʃtɬi/,Orange.,
masatl,[ˈma.saːtɬ],deer.,
mexikatl,,"Mexican, Nahuan people.",
mistli,,"puma, lion.",
miston,,cat.,
moyotl,,mosquito,
okuili,,bug,
payo,,rebozo,
pipitski,,fan,
pitsotl,/pitsotɬ/,pig,
teksistli,,egg,
tlaxkalli,,tortilla,
toktli,,plant,
tsapotl,,zapote.,
uxu,,bear.,
xochitl,/ʃoːtʃitɬ/,Flower.,
xuku,/ʃuːku/,sour,
