L2_orth,L2_ipa,L2_gloss,L2_etym
achoot,,achiote,
ayöök,,Mixe people.,
joꞌc,,owl,
kaa,,bull,
kiix,,"girl, female child",
kääm,,pig.,
këp,,tree.,
miistu,,cat,
mook,,"cob, corn.",
nük,,paper.,
nüü,,water.,
piip,,"chapulin, grasshopper.",
po̱o̱,,opossum,
po̱tya̱ꞌa̱v,,frog,
tocu̱nágu̱c,,toad,
tsaa,,stone,
tsapco̱m,,coconut palm (Cocos nucifera),
tsi'iv,,pumpkin.,
tsooꞌc,,black sapote (Diospyros nigra),
tsuuꞌc,,Baird's tapir (Tapirus bairdii),
tu̱u̱x,,bat (animal),
tó̱tu̱c,,"butterfly, moth",
töö',,"pad, way.",
vaajy,,heir.,
vaax,,gray fox (Urocyon cinereoargenteus),
waj,,cow,
ëv,,song.,
ök,,dog.,
üts,,I.,
