L2_orth,L2_ipa,L2_gloss,L2_etym
А,,"The first letter of the Tsez alphabet, written in the Cyrillic script.",
боцӏи,/ˈbot͡sʼi/,"(Kidero, Sagada) wolf",
бухъ,/ˈbuq/,"(Kidero, Sagada) sun",
гъод,/ˈʁod/,"(Kidero, Sagada) linden, lime tree (tree, wood)",
ди,/ˈdi/,"(Kidero), (Sagada) I",
иси,/ˈisi/,"(Kidero, Sagada) snow",
лъи,/ˈɬi/,"(Kidero, Sagada) water",
мец,/ˈmɛt͡s/,"(Kidero, Sagada) salt, (Kidero, Sagada) speech, language",
мо,/ˈmo/,(Kidero) tear,
мов,/ˈmo/,(Asakh) tear,
ноца,/ˈnot͡si/,(Mokok) louse,
ноци,/ˈnot͡si/,"(Kidero, Sagada) louse",
ноцу,/ˈnot͡su/,"(Kidero, Sagada) saliva",
ноӏлӏу,/ˈnoˤt͡ɬu/,"(Kidero, Sagada) ash, ashes",
рокӏви,/ˈɾokʼʷi/,(Kidero) heart,
рокӏу,/ˈɾokʼu/,"(Kidero, Sagada) heart",
цийо,/ˈt͡sijo/,"(Kidero, Sagada) salt",
