L2_orth,L2_ipa,L2_gloss,L2_etym
ܐܒܪܐ,,son,
ܐܕܡܐ,,blood,
ܐܕܢܐ,,ear,
ܐܚܘܢܐ,,brother,
ܐܚܢܐ,,we,
ܐܝܕܐ,,(anatomy) hand,
ܐܢܐ,,I,
ܐܪܒܥܐ,/arbʕo/,four,
ܐܫܬܐ,/əʃto/,six,
ܐܬܬܐ,,wife,
ܒܒܐ,,father,
ܒܪܟܐ,,(anatomy) knee,
ܒܪܬܐ,,daughter,
ܓܘܐ,,(anatomy) belly,
ܓܘܪܐ,/ɡawro/,"man, husband",
ܓܘܫܡܐ,,(anatomy) body,
ܓܠܕܐ,,(anatomy) skin,
ܕܪܘܥܐ,,"(anatomy) upper arm, arm",
ܗܝܝܐ,,he,
ܗܝܝܐ,,she,
ܗܝܝܐ,,she,
ܗܢܢܐ,,they,
ܗܬ,,you (singular subject pronoun),
ܗܬܘ,,you  (plural subject pronoun),
ܚܐ,/ħa/,one,
ܚܕܐ,/ħðo/,feminine of ܚܰܐ‎ (ḥa),
ܚܘܠܬܐ,,maternal aunt,
ܚܠܐ,,maternal uncle,
ܚܡܫܐ,/ħamʃo/,five,
ܚܬܐ,,sister,
ܟܬܦܐ,,(anatomy) shoulder,
ܠܝܫܢܐ,,"(anatomy) tongue, language",
ܡܘܚܐ,,(anatomy) brain,
ܢܚܝܪܐ,,(anatomy) nose,
ܣܥܪܐ,,(anatomy) hair,
ܥܛܡܐ,,"(anatomy) bone, thigh",
ܥܝܢܐ,,(anatomy) eye,
ܥܟܣܘܢܐ,,(anatomy) elbow,
ܥܡܡܐ,,paternal uncle,
ܥܡܬܐ,,paternal aunt,
ܥܣܪܐ,/ʕasˤro/,ten,
ܥܪܩܘܘܐ,,(anatomy) heel,
ܦܡܐ,,(anatomy) mouth,
ܦܬܐ,,(anatomy) face,
ܨܕܪܐ,,(anatomy) chest,
ܨܘܥܐ,,(anatomy) finger,
ܩܕܠܐ,,(anatomy) neck,
ܩܡܣܬܐ,/qməstɒ/,"shirt, robe., Bible (ABT), Mark 16:5:, ‏ܘܥܰܒܺܝܪܺܝ ܠܽܗ̄ܘ",
ܪܓܠܐ,,(anatomy) foot,
ܪܝܫܐ,,(anatomy) head,
ܫܘܥܐ,/ʃawʕo/,seven,
ܫܠܡܐ,,A greeting; equivalent to hello.,
ܫܠܡܐ,,peace,
ܫܩܐ,,(anatomy) leg,
ܬܠܬܐ,/tloθo/,three,
ܬܡܢܝܐ,/tmanjo/,eight,
ܬܪܐ,/tre/,two,
ܬܫܥܐ,/təʃʕo/,nine,
