L2_orth,L2_ipa,L2_gloss,L2_etym
њаӈња,,sky,
њуӈу,,six,
њӯктэ,,hair,
њӯтэ,,"pitch, resin",
а̄нта,/aːnta/,woman,
абуға,,father,
адʼау,,twins,
аикта,,fir,
амба,,tiger,
асаса,/aɕaɕa/,thank you,
аӈма,,mouth,
бакана,,one-year-old bear cub,
би,/bi/,I (personal pronoun),
боко,,colour,
бу,/bu/,"first-person plular exclusive, nominative case: we",
вайи,,"twenty, 20",
ваӈба,,tortoise,
гау,,push pole,
гиусэ,,roe deer,
гуэсэ,,pike (fish),
гэгбэӈку,,berry,
гэптэ,,butterfly,
дава,,Siberian salmon,
догбо,,night,
дуэктэ,,black birch,
дуӈмалиғи,,blue,
дэуӡэ,,string bean,
иги,,tail,
игомпо,,bird cherry,
инʼаи,,dog,
иӈамукта,,cloudberry (fruit),
иӈофо,,bird cherry,
йа̄ндаса,,badger,
йэхэ,,"song, singing",
ка̄са,,sea eagle,
кава,,a traditional bark house,
касанʒига,,puppy,
кофолокто,,fir,
кути,,tiger,
куӈка,,cedar,
ло̄,,sword,
лоғосо,,stag,
мафа,/maɸa/,"old man, grandfather, bear",
минти,/minti/,"first-person plular inclusive, nominative case: we",
миӈга,,"thousand, 1000",
мо̄,,"tree, wood",
мо̄тэли,,boreal owl,
могдохоли,,maple,
моно,,maple,
мохо,,cup,
нада,,seven,
наму,/namu/,sea,
нэӈу,,younger sibling,
нӣ,,man,
о̄нʒигэ,,small deer,
олохо,,fish,
олоӈко,,oak,
палиғи,,black,
пауʒа,,roe deer,
сакта,,willow,
самикта,,eyelashes,
си,/si/,"second-person singular, nominative case: you, thou",
ситэ,,child,
сул’аи,,fox,
сэмту,,rust,
сӯ,,sun,
таӈгу,,"100, hundred",
туӈа,,five,
тэлуӈу,,"story, legend",
угбэ,,river rapid,
угда,/uɡda/,boat,
Удиэ,,Udege language,
ули,/uli/,water,
улигдиг’а,,nice,
хаӈус’а,,shallow,
хокто,,trail,
холиғи,,yellow,
хото,,town,
хулалиғи,,red,
хулу,,aspen,
хулугда,,aspen,
хуӈналиғи,,grey,
хэму,,lip,
чуʼаи,,bird cherry,
эигдэ,,linden,
этуӈгиэ,,chipmunk,
ӈич’а,,small,
ӡакпу,,eight,
ӡакта,,porridge,
ӡима,,visit,
ӡогӡо,,"beak, bill",
ӡоло,,stone,
ӡугди,,house,
ӡугу,,otter,
ӡуоӡэ,,table,
ӡуғэ,,ice,
ӡэли,,bull trout,
