L2_orth,L2_ipa,L2_gloss,L2_etym
ܐܒܪܐ,/ʔebra/,son,
ܐܚܕ,/ʔaħːað/,one,
ܐܚܕܐ,/ʔeħða/,"feminine of ܐܰܚّܰܕ݂‎ (ʾaḥḥaḏ, “one”)",
ܐܛܫܥ,/ʔetˤʃaʕ/,feminine of ܛܫܥܐ‎ (ṭešʿa),
ܐܥܣܪ,/ʔeʕsar/,feminine of ܥܣܪܐ‎ (ʿasra),
ܐܪܒ݆ܥ,/ʔarpaʕ/,"feminine of ܐܰܪܒ݆ܥܰܐ‎ (ʾarpʿa, “four”)",
ܐܪܒ݆ܥܐ,/ʔarpʕa/,four,
ܐܫܒܥ,/ʔeʃbaʕ/,feminine of ܫܒܥܐ‎ (šobʿa),
ܐܬܠܬ,/ʔeθlaθ/,"feminine of ܬ݂ܠܳܬ݂ܰܐ‎ (ṯlōṯa, “three”)",
ܐܬܪ,/ʔeθər/,two,
ܒܪܬ̤ܐ,/bert͡ʃa/,"daughter, girl",
ܚܡܫ,/ħamːeʃ/,"feminine of ܚܰܡܫܰܐ‎ (ḥamša, “five”)",
ܚܡܫܐ,/ħamʃa/,five,
ܛܫܥܐ,/tˤeʃʕa/,nine,
ܟܠܫܢܘ,,socks,
ܥܣܪܐ,/ʕasra/,ten,
ܩܡܨܬ̤ܐ,/k̠amesˤt͡sa/,shirt,
ܫܒܥܐ,/ʃɒbʕa/,seven,
ܫܠܡܐ,,A greeting; equivalent to hello.,
ܫܠܡܐ,,peace,
ܫܬ,/ʃeθː/,feminine of ܫܬ̤ܐ‎ (šečča),
ܫܬ̤ܐ,/ʃet͡ʃːa/,six,
ܬܡܢ,/θmɒːn/,feminine of ܬܡܢܝܐ‎ (ṯmōnya),
ܬܡܢܝܐ,/θmɒːnja/,eight,
ܬܪܬ̤,/θart͡ʃ/,"feminine of ܐܶܬ݂ܶܪ‎ (ʾeṯər, “two”)",
