L2_orth,L2_ipa,L2_gloss,L2_etym
avd,,seven,
bist,,twenty,
dŭ,,two,
rĕžóna,,rice,
rĕžóna,,rĭžóna,
rĭžóna,,rice,
rĭžóna,,rĕžóna,
sitak,,bone,
tiráy,,(Western Yagnobi) three,
А,,"The first letter of the Yagnobi alphabet, written in the Cyrillic script.",
ани,,other,
ашт,,eight,
буродар,,brother,
дайро,,river,
диндак,,tooth,
дирахт,,tree,
замин,,earth,
зивок,/zæˈbɔːn/,tongue,*izvok
зонк,,knee,
истал,,table (furniture),
кабут,,blue,
кад,,when,
калит,,key,
кам,,"few, a little",
капак,,catch,
кар,,deaf,
карак,,"do, make",
ках,,who,
китоб,,book,
корт,,knife,
ку,,where,
куҳ,,mountain,
лап,,lip,
мактаб,,school,
мактуб,,letter (a written message),
малим,,teacher,
ман,,I,
мард,,man (male human),
маҳтоб,,moon,
меҳмон,,guest,
милтиқ,,rifle,
мирак,,die,
мол,,cattle,
мох,,we,
мошин,,"machine, vehicle",
моҳ,,month,
моҳӣ,,fish,
мумкин,,possible,
мунак,,"put, leave",
мурғоби,,duck,
муш,,mouse,
на,,not,
нав,,nine,
нава,,new,
нахна,,"nail, fingernail",
нес,,nose,
нидак,,sit,
нофа,,navel,
нул,,beak,
нум,,name,
нун,,bread,
ов,,water,
одам,,"person, man, human",
олов,,fire,
оп,,water,
орта,,flour,
осмон,,sky,
офтоб,,sun,
охир,,end,
оштӣ,,peace,
оҳан,,iron (metal),
оҳина,,mirror,
панир,,cheese,
панч,,five,
паст,,"low, short (of stature)",
пода,,"leg, foot",
пул,,money,
пун,,full,
пурсак,,ask (a question),
пухсак,,cook,
ранг,,color,
рах,,mouth; muzzle; opening,
рахшин,,bright,
риша,,root,
рос,,"road, way, path",
рост,,"right, straight",
руба,,fox,
рупч,,broom,
руған,,oil,
рӣша,,beard,
рӯз,,day,
сабз,,green,
сад,,hundred,
сар,,head,
себ,,apple,
сол,,year,
сорт,,cold,
сурх,,red,
тан,,body,
тилоҳ,,gold,
тоза,,clean,
тора,,dark,
ту,,"you, thou (informal, grammatically singular)",
тут,,mulberry,
туфор,,four,
тухм,,egg,
урк,,wolf,
ухш,,six,
уштак,,stand,
фикр,,thought,
фил,,elephant,
фурак,,fly,
хантак,,laugh,
хапар,,news,
хар,,"donkey, ass",
хаф,,foam,
хварак,,eat,
хирс,,bear,
хишап,,night,
хор,,sister,хоҳар
хоҳак,,want,
хуб,,good,
худо,,"god, deity",
хун,,"dream, sleep",
хур,,sun,
чап,,left,
чарх,,wheel,
чиз,,thing,
чироғ,,lamp,
чишма,,"spring, source, fountain",
чо,,what,
шамол,,wind,
шарм,,shame,
шарқ,,east,
шаҳр,,city,
шикор,,hunt,
шимол,,north,
шов,,black,
шом,,evening,
шох,,"branch, horn, antler",
шумох,,you (informal and grammatically plural),
ғарб,,west,
ғуркак,,kidney,
ҳа,,yes,
ҳазор,,thousand,
ҳайвон,,animal,
ҳар,,every,
ҳарф,,letter (of the alphabet),
ҳафта,,week,
ҷанг,,war,
ҷануб,,south,
ҷон,,"soul, spirit",
ҷуфт,,pair,
ӣ,,one (1),
ԝ,/β̞/,The fourth letter of the Yaghnobi alphabet,
Ԝ,/β̞/,The fourth letter of the Yaghnobi alphabet,
