L2_orth,L2_ipa,L2_gloss,L2_etym
daá,,fire,
daŋ,,root,
dzã,,all,
"k""aː",,drink,
m,,eat,
s'aː,,hear,
siŋ,,see,
taː,,bite,
tsa-de,,what,
tsaba,,bird,
tsau,,tooth,
tsaː,,sleep,
tse-ma,,small,
tsiː,,mouth,
tswa,,breast,
tɛni,,tongue,
tɛri,,tongue,
zau,,woman,
zhu,,man,
čiŋ,,liver,
čiŋ,,drink,
žuː,,person,
ǀgaː,,eye,
ǀiŋ,,blood,
ǀke,,foot,
ǀküi,,ear,
ǀnani,,lice,
ǀne,,head,
ǀnee,,one,
ǀneːsiŋ,,seeds,
ǀnɔ,,skin,
ǀnɔː,,bark (of a tree),
ǁgau,,hand,
ǁgu,,water,
ǁk'we,,mouth,
ǁke,,to die,
ǁkeri,,root,
ǁkha,,meat,
ǁkhwe,,tail,
ǁkoã,,to kill,
ǁkuru,,fingernail,
ǁkãũ,,neck,
ǁnwiː,,grease,
ǁnɔru,,blood,
ǂga,,to sleep,
ǂkhii,,many,
ǂkwe,,dog,
ǂoː,,to die,
ǂʼaama,,snake,
ǃgoːa,,heel,
ǃgu,,Alternative form of ǁgu,
ǃguː,,stomach,
ǃgwaː,,leaf,
ǃk'a,,heart,
ǃk'wiː,,hair,
ǃk''wi,,feather,
ǃkaŋ,,tree,
ǃkhu,,horn,
ǃkoa,,knee,
ǃkube,,root,
ǃkuŋ,,man,
ǃkuŋ,,kill,
ǃkuː,,bone,
ǃkãũ,,tree,
ǃkũ,,man,
ǃkũ,,kill,
ǃkũ-de,,who,
ǃneː,,bite,
ǃnu,,egg,
ǃnɔba,,leaf,
ǯau,,woman,
ǯuː,,person,
ˤk'i,,foot,
