L2_orth,L2_ipa,L2_gloss,L2_etym
ag̶ekonaʔae,,wing,
ag̶iŋkoʔai,,claw,
anogofa,,nose,
arerefed̶̯ai,,back (of the body),
asog̶ontaʔe,,tail,
azag̶aʔe,,leaf,
azoḳaʔe,,hair,
a·ntenanai,,old woman,
bed̶ao,,to lie down,
besid̶̯e,,man,
besiže,,person,
entenaze,,tomorrow,
feferintaze,,bone,
foro.ze,,pig,
fukaze,,tobacco,
homoize,,taro,
ikenai,,moon,
ikenanɩntai,,star,
kafai,,rat,
kageʔai,,fat,
karafo,,"dog
karafo besi poranohid̯e
The dog bit the man.",
karifad̶̯e,,boy,
katabed̯ze,,banana,
kedeʔa,,small,
kegarekug̶urokaze,,name,
kofai,,rain,
korumpai,,stone,
kotirabeze,,snake,
kàmpótè,,road,
késèréze,,knife,
kòntémpài,,stick (of wood),
kòriŋkófàd̯è,,flying fox,
lafəreze,,sugarcane,
ma·muraʔai,,egg,
menasi,,one,
miz̯ez̯e,,cassowary,
monaƀeʔne,,cloud,
nab̶asab̶aʔnize,,sister,
namazokaʔe,,feather,
nared̯ē,,blood,
narize,,girl,
neb̶ed̶̯ai,,mouth,
neb̶etai,,tooth (a front tooth rather than a molar),
ned̶̯anai,,shoulder,
negenaʔumpaʔi,,elbow,
nekenopai,,head,
nigid̶̯anize,,knee,
nig̶itanize,,foot,
nikinupag̶e,,neck,
nikiz̯ai,,leg,
niripad̶̯e,,belly,
nofizi,,vine,
nofob̶aʔnize,,father,
nog̶ob̶aʔnize,,brother,
nonai,,house,
noro·b̶anize,,mother,
nozamed̶̯e,,fish,
no·fid̶̯i,,root,
nugunai,,eye,
numufad̶̯e,,skin,
nàg̶àsàre,,ear,
nàkòfád̶̯è,,meat (flesh),
nèd̶̯ànài,,hand,
nìgínkòzè,,thumb,
nìrìmpáì,,liver,
nùsùmíd̯ài,,heart,
okerefai,,earth,
otao,,to stand,
oʔzo,,"yes, affirmative",
parenkai,,night,
ramabeg̶onoruze,,old man,
rebenarunai,,chin,
sekedaʔaside,,baby,
simpi,,big,
soporoze,,axe (stone),
sèkèráʔài,,seed,
sìnàmáì,,louse,
sòródzè,,frog,
tekenentai,,sun,
tera,,two,
ug̶urizaʔai,,bark (of a tree),
yafad̶̯e,,tree,
zafaruʔenai,,bean,
zag̶ai,,wallaby,
zag̶umai,,sweet potato,
zakoroze,,net bag,
zasize,,wind,
àg̶ònáì,,mountain,
àntádè,,fire,
àntéd̯é,,woman,
à·mítè,,breast,
èntènáì,,morning,
è·ntènáì,,yesterday,
ù·nìnkáì,,afternoon,
ṛ̌egenopai,,forehead,
ṛ̌inai,,water,
