L2_orth,L2_ipa,L2_gloss,L2_etym
а,[ʔaː],"that, Calling article (o) 
а бэнанэ ― ā bănānă ― that banana
а пшъашъэ ― ā pŝāŝă ― that girl
а кӏалэм еӏуэ ― ā č̣̍ālăm eʾ°ă ― that boy is saying",
а,[ʔaː],"The first letter of the Adyghe alphabet, written in the Cyrillic script.",
А,,"The first letter of the Adyghe alphabet, written in the Cyrillic script.",
абадз,[aːbaːd͡z],Abaza (Circassian clan),
абакъэ,[aːbaːqa],"a certain style of walking where the person points their right foot to the right and the left foot to the left.
кӏалэр абакъэу макӏоč̣̍ālăr ābāqăw māč̣̍oThe boy is walking abaqa.",
абан,[aːbaːn],hole,
абас,[aːbaːs],(historical) abbasi (Persian coin),
абдзах,[aːbd͡zaːx],Abdzakh (Circassian clan),
абрагъу,[aːbraːʁʷ],"large, very big",
абрадж,[aːbraːd͡ʒ],lone hero,
абрамыжъу,[aːbraːməʐʷ],A legendary hard rock mentioned in the Nart saga,
абрикос,[əbrʲɪˈkos],apricot,
абхъаз,[aːbχaːz],Abkhaz (Circassian clan),
абыкъу,[aːbəqʷ],A breed of Circassian horses,
абэгъоплъ,[aːbaʁʷapɬ],"An old work: one that is cultural, heritage, hierarchical, inherited.",
абэдзэкъуай,[aːbad͡zaqʷaːj],mallow,
абэуйэй,[abawjaj],"An expression used when someone messes up
абэуйэй!, хьыдж сыд ушӏэшӏтэābăwjăj!, ḥəǯ̍ səd wṣ̂ăṣ̂tăOh no, what are you going to do now?
абэуйэй!, кӏалэр зуакэу къупгоуцотābăwjăj!, č̣̍ālăr zwākăw q°pɣowcotUh oh, the boy so going to beat you.",
агощ,,"(mathematics) numerator, dividend",
агощ,,divided,
агощырэр,,"(mathematics) numerator, dividend",
агощырэр,,divided,
агурджашъу,[aːɡʷərd͡ʒaːʂʷ],mullet (fish),
агъо,[aːʁʷa],"mistletoe, wild olive",
агъунэр,[aːʁʷənar],"edge, margin, side",
аддэ,[aːdda],Alternative form of адэ (ādă),
-адж,[aːd͡ʒ],bad; horrible,
аджал,[aːd͡ʒaːl],death,
аджар,[aːd͡ʒaːr],Ajar (a Caucasian people),
адрабгъу,[aːdəraːbʁʷ],"opposite side, other side",
адрэ,,"that other
адрэ бэнанэ ― ādră bănānă ― that other banana
адрэ пшъашъэ ― ādră pŝāŝă ― that other girl
адрэ кӏалэм еӏуэ ― ādră č̣̍ālăm eʾ°ă ― that other boy is saying
адрэ мэгъэ ― ādră măġă ― that other year",
адрэр,,"(absolutive case) that other one
адрэр макӏо ― ādrăr māč̣̍o ― that other one is going
адрэр дахэ ― ādrăr dāxă ― that other one is pretty",
ады,[ʔaːdə],Alternative form of адэ (ādă),
адыгабзэ,,the Adyghe language,
адыгагъ,[aːdəɣaːʁ],Adigaghe (traditional Adyghe conduct code),
адыгэ,/aː.dɨ.ɣɜ/,"an Adyghe person, a member of the Adyghe people
Адыгэхэр адыгэбзэкӏэ мэгушаӏэхĀdəɣăxăr ādəɣăbzăč̣̍ă măg°šāʾăxThe Adyghe people speak Adygabze (Adyghe language).
Уадыга?Wādəɣā?Are you an Adyghe?",
Адыгэ,,Adygea (a republic of south-west Russia),
адыгэаму,,coriander,
адыгэбзэ,/aː.dɨ.ɣɜb.zɜ/,the Adyghe language,
адыгэкъэб,[aːdəɣaqab],Sweet pumpkin,
адырабгъу,[aːdəraːbʁʷ],Alternative form of адрабгъу (ādrābġ°),
адэ,[aːda],cancer (illness),
адэ,[aːda],"over there (Invisible, Far)",
адэбз,[aːdabz],"cancer, tumor (malignant)",
ае,[aːja],Alternative form of ӏае (ʾāe),
азан,/aːzaːn/,(Islam) adhan (call to prayer),
азэ,[aːza],Alternative form of ӏазэ (ʾāză),
алмэстышъхьэц,,"ivy, lablab",
алтэс,,Atlas silk,
алыркъэб,[aːlərqab],pumpkin,
алырэгъу,[aːləraʁʷ],carpet,
амкӏышъ,,nightingale (a bird),
амру,[aːmru],"or rather
Уиунэ тигъэс амру удэкӏрагъуа? — Let us stay in your house or rather do you want to go out?
Сыд ушхытэ? наша амру мыя? — What you gonna eat? watermelon or rather apple?",
амылкъан,[aːməlqaːn],white cotton cloth,
амырми,[aːmarmi],"even if not (can be used like either way), Уиунэ тигъэс,",
амырмэ,[aːmarma],"if not (can be used like or else), Нахь псынкӏэу тыгъачъ,",
амышӏэр,[aːməʃʼar],"unknown, unseen",
Амыщ,[aːməɕ],"Amesh : Initially god of fauna, then god of sheep.",
амэрмэ,[aːmarma],Alternative form of амырмэ (āmərmă),
анезе,[anajzaj],sail,
анэбзыу,[anabzəw],blackbird,
анэбзэ,[aːnabza],mother's language,
анэдэлъфыбзэ,[aːnadaɬfəbza],mother's language,
анэу,[aːnaw],partridge (Bird),
анэшыпхъу,[ʔaːnaʃəpχʷ],aunt (Mother's sister),
апкь,[aːpkʲ],Alternative form of апч (āpč),
