L2_orth,L2_ipa,L2_gloss,L2_etym
bail,/pɐi˨˦/,"to go, to walk, to go away; to leave, to spend; to",
bail,/pɐi˨˦/,to; toward,
baul,/pɐu˨˦/,crab,
baus,/pɐu˧˥/,paternal grandfather,
beedt,,eight,
bidt,/pit̚˧˥/,duck,
bil,/pi˨˦/,year,
bingz,/piŋ˩/,bottle,
bingz,/piŋ˩/,bottle,
bingz,/piŋ˩/,flat; even; level,
bingz,/piŋ˩/,on the basis of; based on,
bingz,/piŋ˩/,"to judge; to evaluate, to reason",
bingz,/piŋ˩/,flat; even; level,
bingz,/piŋ˩/,on the basis of; based on,
bingz,/piŋ˩/,"to judge; to evaluate, to reason",
bingz,/piŋ˩/,on the basis of; based on,
bingz,/piŋ˩/,"to judge; to evaluate, to reason",
bingz,/piŋ˩/,"to judge; to evaluate, to reason",
binyxiangy,,refrigerator,
bix,/pi˧˩/,elder sibling,
boh,/po˧/,father,
byagt,/pʲɐk̚˧˥/,vegetable,
byal,/pʲa˨˦/,fish,
byal,/pʲa˨˦/,cloth,
byal,/pʲa˨˦/,cloth,
cangjzangj,/t͡sʰɐŋ˥˧.t͡sɐŋ˥˧/,factory manager,
dal,/ta˨˦/,maternal grandfather,
dal,/ta˨˦/,eye,
dal,/ta˨˦/,eye,
dams,/tɐm˧˥/,low; short (of height),
dangs,/tɐŋ˧˥/,"stool, bench",
dangs,/tɐŋ˧˥/,to tell,
dangs,/tɐŋ˧˥/,to tell,
deel,/te˨˦/,he; him; she; her; it,
deh,/tɯ˧/,chopstick,
diangz,/tiəŋ˩/,sugar,
dinc,/tin˥˧/,short,
doongl,/toːŋ˨˦/,to pickle,
doongl,/toːŋ˨˦/,pickled,
dueh,/tuə˧/,"bean; pea; nut, tofu",
fanz,/fɐn˩/,tooth,
fead,/fɯət̚˧/,wing,
feiyjiy,/fɯi˧.t͡ɕi˧/,airplane; plane,
fix,/fi˧˩/,fire,
fufhaoq,/fu˧˩.xaːu˨˦/,mark; symbol; sign,
gaail,/kaːi˨˦/,"to sell, to betray",
gaail,/kaːi˨˦/,street,
