L2_orth,L2_ipa,L2_gloss,L2_etym
abu,,ash (solid remains of a fire),
anak,,"child (a female or male child, a daughter or son)",
aso,,dog,
awat,,to break up a fight; to separate people involved in,
bebe,,woman,
dapdap,,Indian coral tree,
dinom,,water,
dinúm,,Alternative form of dinom,
epat,,four,
ina,,"mother (female (human) who parents a child, gives birth",
kulangot,,dried nasal mucus,
lima,,five,
lumot,,moss (plants of the division Bryophyta),
tam-is,,sweet,
tandang,,rooster,
tiklop,,"to fold cloth, to close a book",
tunay,,true; real; genuine,
