L2_orth,L2_ipa,L2_gloss,L2_etym
Acuej³,,Oaxaca City,
aru²,,rice,
cu¹,,bone,
Duchi³,,"Santo Tomás Ocotepec (a town in Santo Tomás Ocotepec,",
Ganiꞌya⁵,,"Puebla (a city, the state capital of Puebla, Mexico)",
gaꞌuj³,,white-nosed coati (Nasua narica),
kilómetru³,,"kilometre, kilometer",
labanza³,,hymn,
machin²³,,monkey,
mmi³⁴,,sweet potato (Ipomoea batatas),
mmi³⁵,,bridge,
moli³,,mole (sauce),
nato⁴,,banana,
Ngaj³,,"Putla Villa de Guerrero (a town in Oaxaca, Mexico)",
sigueꞌej³e,,mountain lion (Puma concolor),
Xaca³,,Yucunicoco,
xanꞌan³,,skunk,
xatan³,,pineapple,
xaꞌa⁵⁴,,hummingbird,
xaꞌyanj³,,coyote (Canis latrans),
xucua¹,,snake,
xuhua¹,,squirrel,
Xumanj³,,"Santa María Cuquila (a town in Oaxaca, Mexico)",
Xumanꞌ⁴an,,San Andrés Chicahuaxtla,
xutan³,,bee,
xutan¹,,fly (insect),
