L2_orth,L2_ipa,L2_gloss,L2_etym
aná,,"wing, feather",
arachuíj,,fox,
biísaꞌa,,a Huichol person,
cauraj,,"goat, Synonym: chíibu",
chiicaj,,puppy,
chiꞌi,,"house, cage",
chuéj,,"dirt, earth",
cámuaj,,sweet potato,
cúruu,,cross,
hah,,water,
huaábeꞌe,,coyote,
jaijtzʌ,,white-nosed coati (Nasua narica),
kìrise,,larvae of Platyneuromus soror,
meesa,,table,
mistu,,cat,
muaata,,metate (grinding stone),
muajta,,raccoon,
muasá,,deer,
muaíj,,maguey,
muáꞌaraꞌica,,turkey vulture (Cathartes aura),
nasí,,ash,
pitorriál,,mountain trogon (Trogon mexicanus),
puaarí,,priest,
pueerta,,door,
puraatu,,plate,
puáatu,,duck,
puúruꞌu,,donkey,
sadaasu,,sieve,
siícuꞌuri,,"shirt, blouse",
suúreꞌe,,blood,
tabí,,chest,
tacʌ́,,palm tree,
tajtúhuaan,,governor,
taíj,,fire,
teni,,mouth,
tsapoáto,,shoe,
tuišu,,pig,
tuꞌucá,,spider,
tzaajpua,,a kind of fish (clarification of this definition is,
tzaná,,a kind of bird (clarification of this definition is,
tzapuatum,,a short person,
tzuꞌuruí,,cherry (clarification of this definition is needed),
tzájchui,,trout,
tzímuacʌꞌʌ,,woodpecker,
tzúꞌuri,,nose,
tzʌꞌʌ,,dog,
túmiin,,money,
tšu̱atá,,San Juan Peyotán,
tʌtíꞌichehuaara,,"witch, sorcerer",
tʌʌ́tzicaꞌi,,hummingbird,
ukarih,,woman,
unáj,,salt,
átziꞌi,,bat,
čáanaka,,"world, earth",
ʌʌ́raꞌabe,,wolf,
