L2_orth,L2_ipa,L2_gloss,L2_etym
a,/ˈɑː/,"The first letter of the Estonian alphabet, written in the Latin script.",
a,/ˈɑː/,Abbreviation of aasta; year,
a,/ˈɑː/,"(colloquial, in fast speech) but",
A,,"The first letter of the Estonian alphabet, called aa and written in the Latin script.",
aa,,"An interjection expressing recognition -
Aa, see oled sina.Oh, it's you.",
aa,,The name of the Latin-script letter A.,
aabe,,letter,
Aabel,,"A male given name, equivalent to English Abel",
aabits,/ˈɑːbits/,"primer (book), alphabet, Kas lasteaias aabitsat ka",
aabitsaeelne,,pre-primer (book),
Aabraham,,"A male given name, equivalent to English Abraham.",
Aada,,"A female given name, equivalent to English Ada",
Aadam,,Adam (biblical character),
aadel,,"noble, nobleman",
aadress,,address,
aadressiraamat,,address book,
Aadu,,A male given name,
Aafrika,/ˈɑːfrikɑ/,Africa,
aaker,,"an English area unit (4047 square metres), acre",
aaloe,,(botany) aloe,
aam,,"a big barrel, (historical) an aam (a measure of liquid)",
aamen,,amen,
aamissepp,,cooper,
aara,,macaw,
aardelaegas,,treasure chest,
Aare,,"A male given name., A  surname​.",
aare,,treasure,
Aarma,,A  surname​.,
Aarne,,A male given name.,
Aaron,,Aaron (biblical figure),
aas,,"loop, noose, a simple knot, a U-shaped fastener made",
aas,,"lea, meadow",
aas,,"lea, meadow",
Aasa,,A female given name derived from aas (“meadow”),
Aasia,/ˈɑːsiɑ/,Asia,
aasia,,Asian,
aasialane,,Asian,
Aasmaa,,A  surname​.,
Aasmäe,,A  surname​.,
aasta,,year,
aastaaeg,/ˈɑːstɑ.ɑe̯ɡ̊/,"season, time of year, One of the four divisions of",
aastasada,,century,
aastatuhat,,millennium,
aatom,,"(physics, chemistry) atom",
aatomipomm,,atomic bomb,
Aav,,A  surname​.,
Aavik,,A  surname​.,
Aavo,,A male given name,
aberratsioon,,aberration,
abi,,help,
abielluma,,to marry,
abielu,,marriage,
abielumees,,married man,
abikaasa,,spouse,
abil,,adessive singular of abi,
abil,,"using, with the help of, with",
ablas,/ˈɑb̥lɑs/,"(usually of an animal, but sometimes also a human)",
ablutofoobia,,ablutophobia,
abort,,"abortion, Mu tüdruk tahab aborti teha.My girl wants",
Abruka,,Abruka,
absint,,absinthe,
absoluutne,,absolute,
abt,,abbot (head of a Catholic abbey),
adamiit,,(mineralogy) adamite,
adapter,,adapter (device),
ader,,plough,
adjektiiv,,(grammar) adjective,
Ado,,A male given name,
advokaat,,lawyer,
aed,,garden,
aeg,/ˈɑe̯ɡ̊/,"time, An endless and unlimited duration with hours,",*aika
aeglane,,slow,
aeglaselt,,slowly,
aer,,paddle,
aerofoobia,,aerophobia,
Aet,,"A female given name, equivalent to English Agatha.",
aevastama,/ˈɑe̯vɑstɑmɑ/,"to sneeze, (intransitive) To spout air through the",
Afganistan,,Afghanistan (a country in Asia),
aga,,but,
agar,,"eager, willing",
Age,,"A female given name, short form of Agnes.",
Agnes,,"A female given name from Ancient Greek, equivalent to English Agnes.",
Ago,,"A male given name, variant of Agu.",
agressiivselt,,aggressively,
agressor,,aggressor,
agu,,morning twilight,
Agu,,A male given name.,
agul,,"slum, ghetto, an especially bad suburb",
ahhaat,,(mineralogy) agate,
ahi,,oven,
Ahti,,A male given name.,
Ahto,,"Variation of Ahti, god of waters in Finnish and Estonian mythology.",
ahv,,"ape, monkey",
ahven,-en,perch (fish),
Ahvenamaa,,Åland,
ai,,"ow, ouch",
aia,,genitive singular of aed,
aia,,"ow, ouch",
aia,,"ow, ouch",
aiamaa,,(vegetable) garden,
Aigar,,A male given name.,
Aile,,"A female given name, variant of Aili.",
Aili,,A female given name.,
aim,,"sense, idea of something, feeling, Pole aimugi., I",
Ain,,"A male given name, variant of Hendrik.",
aina,,"on and on, always, Läheb aina külmemaks. ― It's always",
aine,/ˈɑi̯ne/,"substance, material, matter, school subject, university",
ainevahetus,,metabolism,
Ainjärv,,A  surname​.,
Aino,,A female given name from Finnish.,
ainsus,,"(grammar) singular, (rare) the state of being singular;",
Ainu,,"A female given name of rather rare usage, variant of Aino.",
ainult,,"only, just, purely, but, simply, nothing but, exclusively,",
ainus,/ˈɑi̯nus/,"only, sole, Having just one of sth/sb., Rästik on ainus",*ainaga
ainus,/ˈɑi̯nus/,"(poetic) loved one, Synonyms: ainuke, ainukene, kallim,",*ainaga
ainus,/ˈɑi̯nus/,inessive plural of ain,*ainaga
ainus,/ˈɑi̯nus/,inessive singular of ainu,*ainaga
ainus,/ˈɑi̯nus/,inessive plural of ain,*ainaga
ainus,/ˈɑi̯nus/,inessive singular of ainu,*ainaga
ainus,/ˈɑi̯nus/,inessive singular of ainu,*ainaga
Aire,,"A female given name, variant of Airi or Aili.",
Airi,,A female given name.,
ais,,"shaft, any long thin object, such as the handle of",
ait,,barn,
Aita,,A female given name.,
aitama,,"to help, to be enough, to suffice, Aitab küll!That's",
aituma,/ɑi̯tˈumɑ/,"thank you, thanks",
aitäh,/ɑi̯tˈæh/,"thank you, thanks",
aitüma,/ɑi̯tˈymɑ/,Alternative form of aituma.,
Aivar,,A male given name.,Aivars
Aive,,A female given name.,
Aivo,,"A male given name, short form of Aivar.",
ajaja,,"racer, driver, drover",
ajakirjanik,,journalist,
ajal,,adessive singular of aeg,
ajal,,"during
mängu ajal
during the game",
ajaleht,,newspaper (publication),
ajaloolane,,historian,
ajalooline,,historical,
ajalooliselt,,historically,
ajalugu,/ˈɑjɑluɡ̊u/,"history, Consecutive events happened in the past as",
ajama,,to drive,
ajapiirang,/ˈɑjɑˈpiːrɑŋɡ̊/,time limit,
aju,,(anatomy) brain,
ajukasvaja,,(pathology) a brain tumour,
aken,-en,window,
akrofoobia,,acrophobia,
akronüüm,,acronym,
Aksel,,"A male given name from Danish, equivalent to English Axel.",
akt,,"act, doing",
aktiinium,,actinium,
aktiivsus,,activity (the state of being active),
aktinoid,,(inorganic chemistry) actinide,
aktiveerima,/ˈɑktiveːrimɑ/,"to activate (to put something into action)
Synonyms: käivitama, tööle panema, sisse lülitama
Antonyms: desaktiveerima, deaktiveerima",
aku,,"battery, cell, accumulator",
akvaarium,,aquarium,
ala,,"area, territory, region, Sellelt alalt on leitud palju",
ala-,,"under-, lower, nether, sub-, inferior",
alaealine,-ine,underage,
alaealine,-ine,"a minor, an underage person",
Alaküla,,A  surname​.,
alaleütlev,,(grammar) allative,
alaline,-ine,permanent,
alaltütlev,,(grammar) ablative,
alalõualuu,,(anatomy) mandible,
alalõug,,"mandible, lower jaw",
alalütlev,,(grammar) adessive,
alam,,"inferior, something or someone that is of a lower standing",
alam-,,"by-, secondary, sub-, subordinate",
alamliik,,"(biology, taxonomy) subspecies",
Alar,,"A male given name, equivalent to English Alaric.",
Alari,,"A male given name, variant of Alar, equivalent to English Alaric.",
