L2_orth,L2_ipa,L2_gloss,L2_etym
!,,"(obsolescent) used at the end of a salutation line of a letter
Lieber Hans!Dear Hans,",
&c.,,Archaic form of etc.,
-',,"Used to form the genitive forms of names ending in -s, -ß, -x, -z or (foreign) -ce, similar to English -'. For other names, -s is used.
Hans', Hoeneß', Felix', Ringelnatz', Joyce'Hans', Hoeneß', Felix's, Ringelnatz's, Joyce's",
'n,/n/,"(colloquial) Alternative form of ein (“a, an”), (colloquial)",
'n,/n/,"(colloquial) short for denn (used for general emphasis),",
'n,/n/,"(colloquial) short for denn (used for general emphasis),",
'nauf,,Alternative form of hinauf,
'ne,/nə/,"(colloquial) Contraction of eine (“a, an”).",
'nem,/nəm/,"(colloquial) Contraction of einem (“a, an”); dative masculine/neuter singular of 'n",
'nen,/nən/,"(colloquial) Contraction of einen (“a, an”); accusative masculine singular of 'n",
'ner,/nɐ/,"(colloquial) Contraction of einer (“a, an”).",
's,,(chiefly colloquial or poetic) Contraction of das.,
's,,(chiefly colloquial or poetic) Contraction of es.,
-'s,,"(archaic) Used to form the genitive of proper names,",
-'s,,contracted form of das,
-'s,,"contracted form of es, (with other pronouns) mir's,",
-'s,,contracted form of das,
-'s,,"contracted form of es, (with other pronouns) mir's,",
-'s,,"contracted form of es, (with other pronouns) mir's,",
-'sch,/ʃ/,A suffix attached to names to produce eponymous adjectives:,
'türlich,/ˈtyːɐ̯lɪç/,"(informal) for sure (affirmative interjection), 2000,",
*,,"(nonstandard) the Gendersternchen; Used to separate multiple gendered inflections in gender-neutral writing.
Freund*innen; ein*e Beamt*er*in; Witwe*rfriends (of any gender); an officer (of any gender); widower (of any gender)
2020 February 23,  Alexander Diehl,  “Hamburger Küche: Aal kann – muss aber nicht”, in  Die Tageszeitung: taz‎[1], ISSN 0931-9085:Aber genauer besehen sind sie in Hamburg ja Lutheraner*innen, und Luther war das Leibliche so fern nun wieder nicht.(please add an English translation of this quote)",
0.,,Abbreviation of nullte.,
0815,,"(uncommon, nonstandard) Alternative spelling of 08/15.",
1-fach,,Alternative spelling of einfach,
1-füssig,,Alternative form of einfüssig,
1-füßig,,Alternative form of einfüßig,
1-minütig,,Alternative spelling of einminütig,
1-tägig,,Alternative form of eintägig,
1.,,Abbreviation of erste.,
10-Eck,,Alternative spelling of Zehneck,
10-eckig,,Alternative spelling of zehneckig,
10-fach,,Alternative form of zehnfach,
10-Flächner,/ˈtseːnˌflɛçnɐ/,Alternative spelling of Zehnflächner,
10-jährig,,Alternative form of zehnjährig,
10-mal,,Alternative form of zehnmal,
10-malig,,Alternative form of zehnmalig,
10-minütig,,Alternative spelling of zehnminütig,
10-monatig,,Alternative form of zehnmonatig,
10-seitig,,Alternative spelling of zehnseitig,
10-stündig,,Alternative spelling of zehnstündig,
10-tägig,,Alternative form of zehntägig,
10-teilig,,Alternative form of zehnteilig,
10-wöchig,,Alternative spelling of zehnwöchig,
100-jährig,,Alternative form of hundertjährig,
11-Eck,,Alternative spelling of Elfeck,
11-fach,,Alternative form of elffach,
12-fach,,Alternative form of zwölffach,
12-minütig,,Alternative spelling of zwölfminütig,
12-stündig,,Alternative spelling of zwölfstündig,
12-wöchig,,Alternative spelling of zwölfwöchig,
12.,,Abbreviation of zwölfte.,
13-Eck,,Alternative spelling of Dreizehneck,
13-fach,,Alternative form of dreizehnfach,
13-jährig,,Alternative form of dreizehnjährig,
13-mal,,Alternative spelling of dreizehnmal,
13-minütig,,Alternative spelling of dreizehnminütig,
13-monatig,,Alternative form of dreizehnmonatig,
13-stündig,,Alternative spelling of dreizehnstündig,
13-tägig,,Alternative spelling of dreizehntägig,
13-wöchig,,Alternative spelling of dreizehnwöchig,
14-eckig,,Alternative spelling of vierzehneckig,
15-Eck,,Alternative spelling of Fünfzehneck,
15-fach,,Alternative form of fünfzehnfach,
15-mal,,Alternative spelling of fünfzehnmal,
15-minütig,,Alternative spelling of fünfzehnminütig,
15-stündig,,Alternative spelling of fünfzehnstündig,
16-minütig,,Alternative spelling of sechzehnminütig,
16-tägig,,Alternative form of sechzehntägig,
16-wöchig,,Alternative spelling of sechzehnwöchig,
17-Eck,,Alternative spelling of Siebzehneck,
17-eckig,,Alternative spelling of siebzehneckig,
17-fach,,Alternative form of siebzehnfach,
17-jährig,,Alternative form of siebzehnjährig,
17-minütig,,Alternative spelling of siebzehnminütig,
17-seitig,,Alternative spelling of siebzehnseitig,
17-tägig,,Alternative form of siebzehntägig,
17-wöchig,,Alternative spelling of siebzehnwöchig,
175er,,"a homosexual, especially in Germany from 1871 to 1994",175er
18-Eck,,Alternative spelling of Achtzehneck,
18-eckig,,Alternative spelling of achtzehneckig,
18-fach,,Alternative spelling of achtzehnfach,
18-jährig,,Alternative form of achtzehnjährig,
18-mal,,Alternative spelling of achtzehnmal,
18-minütig,,Alternative spelling of achtzehnminütig,
18-wöchig,,Alternative spelling of achtzehnwöchig,
19-Eck,,Alternative spelling of Neunzehneck,
19-eckig,,Alternative spelling of neunzehneckig,
19-fach,,Alternative spelling of neunzehnfach,
19-jährig,,Alternative form of neunzehnjährig,
19-minütig,,Alternative spelling of neunzehnminütig,
19-seitig,,Alternative spelling of neunzehnseitig,
19-wöchig,,Alternative spelling of neunzehnwöchig,
2-fach,,Alternative form of zweifach,
2-füssig,,Alternative form of zweifüssig,
2-füßig,,Alternative form of zweifüßig,
2-malig,,Alternative form of zweimalig,
2-minütig,,Alternative spelling of zweiminütig,
2-monatig,,Alternative form of zweimonatig,
2-monatlich,,Alternative spelling of zweimonatlich,
2-stündig,,Alternative spelling of zweistündig,
2-tägig,,Alternative form of zweitägig,
2.,,Abbreviation of zweite.,
20-Eck,,Alternative spelling of Zwanzigeck,
20-eckig,,Alternative spelling of zwanzigeckig,
20-fach,,Alternative spelling of zwanzigfach,
20-Flächner,,Alternative spelling of Zwanzigflächner,
20-jährig,,Alternative form of zwanzigjährig,
20-köpfig,,Alternative spelling of zwanzigköpfig,
20-mal,,Alternative spelling of zwanzigmal,
20-minütig,,Alternative spelling of zwanzigminütig,
20-monatig,,Alternative form of zwanzigmonatig,
20-seitig,,Alternative spelling of zwanzigseitig,
20-stündig,,Alternative spelling of zwanzigstündig,
20-tägig,,Alternative form of zwanzigtägig,
20-teilig,,Alternative form of zwanzigteilig,
20-wöchig,,Alternative spelling of zwanzigwöchig,
20.,,"Abbreviation of zwanzigste. 20th, twentieth",
200-jährig,,Alternative spelling of zweihundertjährig,
20ste,,Abbreviation of zwanzigste.,
21-eckig,,Alternative spelling of einundzwanzigeckig,
21-fach,,Alternative spelling of einundzwanzigfach,
21-köpfig,,Alternative spelling of einundzwanzigköpfig,
21-mal,,Alternative spelling of einundzwanzigmal,
21-wöchig,,Alternative spelling of einundzwanzigwöchig,
22-mal,,Alternative spelling of zweiundzwanzigmal,
22-stündig,,Alternative spelling of zweiundzwanzigstündig,
23-fach,,Alternative spelling of dreiundzwanzigfach,
23-jährig,,Alternative spelling of dreiundzwanzigjährig,
24-Eck,,Alternative spelling of Vierundzwanzigeck,
24-eckig,,Alternative spelling of vierundzwanzigeckig,
24-jährig,,Alternative spelling of vierundzwanzigjährig,
24-köpfig,,Alternative spelling of vierundzwanzigköpfig,
24-mal,,Alternative spelling of vierundzwanzigmal,
24-minütig,,Alternative spelling of vierundzwanzigminütig,
24-monatig,,Alternative form of vierundzwanzigmonatig,
24-stündig,,Alternative spelling of vierundzwanzigstündig,
