L2_orth,L2_ipa,L2_gloss,L2_etym
baarndi,,spider,
baga,,"bindi-eye, bindii, bindies",
balga,,"barramundi, Lates calcarifer",
balnganyja,,"sulphur-crested cockatoo, Cacatua galerita",
bamboo,,didgeridoo,
banda,,the ground,
barawoo,,female kangaroo,
barndi,,arm,
bilinyi,,tick,
birdi,,thigh,
birrinyooloo,,wasp,
booloomani,,"cow, cattle",
burnduwarli,,headband,
dimana,,horse,
diyadiya,,"peewee, magpie-lark, Grallina cyanoleuca",
doo,,cave,
dooloo,,heart,
galwaya,,canoe,
gamba,,"water
yoowarni gamba ― one serving of water",
garanyi,,heated stones for cooking,
garingi,,wife or wife's sister,
garingilangi,,"husband and wife, a couple",
garnanganyja,,"emu, Dromaius novaehollandiae",
garnbag,,clapsticks,
gilagi,,"paternal grandfather, father's father",
gilyjirrjgi,,tadpole,
googoonyjarri,,sheep,
goornboo,,woman,
goorralga,,"brolga (Antigone rubicunda, syn. Grus rubicunda)",
goorroomba,,paperbark,
jaja,,"maternal grandmother, mother's mother",
jaminyi,,"maternal grandfather, mother's father",
jiga,,flower,
jindiwirrinyi,,"Willie wagtail, Rhipidura leucophrys",
jirragi,,frog,
lambadi,,"father-in-law, wife's father",
langa,,salt,
loomoogoo,,blue-tongue lizard,
marna,,older brother,
marni,,older sister,
maroowa,,murderer,
marriyali,,"mother-in-law, wife's mother",
milaloowa,,scorpion,
minaji,,echidna,
minyawoo,,cat,
mirnmirdgali,,policeman,
ngaboo,,father or paternal uncle (father's brother),
ngaja,,younger sibling,
ngaliganyi,,daughter,
ngawali,,woomera,
nyamani,,big,
nyarlangarri,,"king brown snake, Pseudechis australis",
nyirraji,,bull,
nyirri,,spinifex,
roo,,"excrement, faeces, shit",
thiligi,,"tawny frogmouth, Podargus strigoides",
wan.gi,,smoke,
wawooloo,,frill-necked lizard (Chlamydosaurus kingii),
woob,,cook,
woogoo,,frog,
yawarda,,horse,
yoorroo,,"spiderweb, a spider's web, a telephone",
