L2_orth,L2_ipa,L2_gloss,L2_etym
alguin,,"man (human being), person, someone",
alguns,,"some, few",
alma,,soul,
amarelu,,yellow,
ansa,,wing,
antigu,,old,
anu,,"year, birthday",
arvuri,,tree,
aza,,wing,
azul,,blue,
banhadu,,wet,
bari,,"to wipe, to sweep",
bariga,,belly,
bati,,"to hit, to beat",
bedju,,old,
bentu,,wind (moving air),
bibi,,to drink,
bicha,,worm,
bin,,to come,
bingala,,stick (cane or walking stick),
bo,,"you (second person singular)., you (second person plural)",
bo,,good,
bo,,good,
boia,,to float (in the water),
boka,,mouth,
bon,,good,
bos,,you (plural second person),
bota,,to throw,
branku,,white,
brinka,,to play,
bu,,you (second person singular).,
bua,,to fly (in the sky),
burmedju,,red,
butcu,,belly,
cinco,,five (5),
da,,to give,
darma,,to offer,
delgadu,,thin,
des,,ten (10),
di,,"of, at, from",
dia,,"day (period of 24 hours), day (period between sunrise",
dimingu,,Sunday,
dinti,,tooth,
direta,,right (hand),
diritu,,straight,
distanti,,far,
dita,,"to lie down, to lay down",
dividi,,"to split, to divide",
djela,,to freeze,
djelu,,ice,
djinti,,"man (human being), person, someone",
djubi,,to see,
djudju,,knee,
djuga,,to play,
djunda,,to pull,
durmi,,to sleep,
dus,,two (2),
e,,and,
el,,"he, she (third person singular)",
elis,,they (third person plural),
es,,this,
fakia,,to stab,
fala,,"to say, to speak, to talk",
falsi,,to die,
fiadu,,sharp (as a knife),
fidju,,"son, child",
figadu,,liver,
firma,,to stand,
flur,,flower,
fodja,,leaf,
freska,,to freeze,
friu,,cold,
fruta,,fruit,
fugu,,fire,
fumansa,,fog,
fumu,,smoke,
garandi,,big,
gargadja,,to laugh,
gros,,thick,
gueria,,"to fight, to wage war",
gumita,,to vomit,
gurdura,,fat,
i,,"he, she (third person singular).",
i,,and,
i,,and,
iagu,,water,
ianda,,to walk,
intca,,to swell,
junhu,,June,
ka,,not,
kabelu,,hair,
kabesa,,head,
kai,,to fall,
kal,,what,
kalur,,"warm, hot",
kalur,,heat,
kaminhu,,"path, way, street, road",
kamisa,,shirt,
kanta,,to sing,
karanga,,louse,
karni,,meat,
kasa,,to hunt,
kasa,,"house, home",
kasa,,"house, home",
kasimba,,fog,
kaska,,bark of a tree,
kastanhu,,brown,
katcu,,bird,
katcur,,dog,
kema,,to burn,
ki,,who,
kil,,"this, that",
kila,,that,
kin,,who,
kinta-fera,,Thursday,
kinti,,"warm, hot",
koba,,to dig,
kobra,,"snake, serpent",
kompletu,,full,
konta,,"to tell, to count",
korda,,rope,
koretu,,correct,
korson,,heart,
korta,,to cut,
kosa,,to scratch,
kosta,,back (the backside of the body),
ku,,when,
ku,,with,
ku,,with,
kuarta-fera,,Wednesday,
kuatru,,four (4),
kuda,,to think,
kuma,,"that, what, how",
kume,,to eat,
kumpridu,,long,
kunsi,,to know,
kurpu,,body,
kurtu,,short,
kuru,,"skin, leather",
kusi,,to sew,
kuspi,,to spit,
la,,there,
laba,,to wash,
lagua,,lake,
lansa,,"to throw, to launch",
lanta,,to stand up,
larandja,,orange (the colour),
largu,,wide,
li,,here,
lijeru,,smooth,
limpa,,"to wipe, to clean",
lingu,,"tongue, language",
lingua,,"tongue, language",
lova,,to praise,
lua,,moon,
lundju,,long,
lundju,,far,
lundju,,far,
luta,,to fight,
madja,,"to hit, to beat",
magru,,thin,
mai,,mother,
mal,,bad,
mama,,"bosom, breast of a woman",
mame,,mother,
manga,,many,
manti,,"to hold, to keep, to maintain",
mar,,sea,
mara,,to tie,
marcha,,"to walk, to march",
maridu,,husband,
mata,,to kill,
matu,,forest,
mau,,bad,
mbita,,to tie,
medi,,to fear,
mi,,"I (first person singular), me, my",
mindjer,,"woman, wife",
mininu,,child,
modjadu,,wet,
moladu,,sharp,
mon,,hand,
montanha,,mountain,
monti,,"mountain, hill",
montia,,"to hunt, to go hunting on the hill",
mora,,"to live somewhere, to reside",
mpura,,to push,
murdi,,to bite,
muri,,to die,
n,,I (first person singular),
na,,"at, in, on",
nada,,to swim,
nada,,nothing,
nada,,nothing,
naris,,nose,
neve,,snow,
no,,we,
nobu,,new,
nomi,,name,
nos,,"we, first person plural.",
noti,,night,
novembru,,February,
novi,,nine (9),
novu,,new,
nunde,,where,
nuven,,cloud,
obi,,to hear,
odja,,to see,
oitu,,eight (8),
omi,,man (adult male),
oredja,,ear,
os,,bone,
otca,,to think,
otubru,,October,
ovu,,egg,
pabia,,because,
padja,,"grass, leaf",
pai,,father,
pape,,"dad, father",
papia,,"to say, to speak, to talk",
pastru,,bird,
pe,,foot,
pe,,leg,
pe,,tree,
pe,,leg,
pe,,tree,
pe,,tree,
pedra,,stone,
pega,,to hold,
pele,,skin,
pena,,feather,
pensa,,to think,
perna,,leg,
pertadu,,narrow,
pertu,,near,
pesoa,,"man (human being), person, someone",
pika,,"to split, to stab",
pikininu,,small,
pintca,,to push,
pirmi,,to squeeze,
pis,,fish,
pisadu,,heavy,
piskus,,neck,
pitu,,"chest, breast",
po,,"tree, stick",
po,,dust,
po,,dust,
podri,,rotten,
pretu,,black,
profesia,,prophecy,
pucha,,to pull,
puera,,dust,
puku,,few,
punhala,,to stab,
purke,,because,
rabu,,tail,
rais,,root,
ramasa,,to vomit,
raparti,,to split,
reia,,"to rub, to sand (to abrade with sandpaper)",
reia,,sand,
reia,,sand,
ri,,to laugh,
rikiti,,to squeeze,
riska,,to scratch,
rispira,,to breathe,
riu,,river,
rodundo,,round,
sabadu,,Saturday,
sal,,salt,
sangui,,blood,
sanha,,to swell,
sarampu,,measles,
segu,,"dull (as a knife), blind",
seis,,six (6),
seku,,dry,
sertu,,"correct, certain",
sesta-fera,,Friday,
seti,,seven (7),
seu,,sky,
si,,if,
sibi,,to know,
simenti,,seed,
sinsa,,"ash, ashes",
sinta,,to sit,
sintadu,,"seated, sitting",
sinzentu,,"grey, gray",
skerda,,left (hand),
skirbi,,to write,
skuri,,to flow,
sol,,sun,
spoza,,wife,
spozu,,husband,
strada,,"road, way",
strela,,star,
sugunda-fera,,Monday,
suma,,because,
supra,,to blow,
susu,,dirty,
suta,,"to hit, to beat",
taka,,fat,
tcau,,yellow,
tcera,,to smell,
tcifri,,horn,
tciu,,"many, full",
tcuba,,rain,
tcupa,,to suck,
tera,,"earth (soil), earth (our planet)",
tersa-fera,,Tuesday,
trigu,,wheat,
tripa,,"guts, intestine",
tris,,three (3),
tudu,,"all, every",
tudu,,everything,
tursi,,to turn,
u,,you (second person singular).,
udju,,eye,
un,,one (1),
un,,"a, an (indefinite article)",
unha,,"nail, fingernail, toenail",
utru,,other,
verdi,,green,
vira,,to turn,
vivi,,to live,
