L2_orth,L2_ipa,L2_gloss,L2_etym
A,,"The thirty-seventh letter of the Halkomelem alphabet, written in the Latin script.",
chítmexw,,great horned owl,
há:wt,,rat,
kwá:y,,"blue jay, Steller's jay",
kwōxweth,,coho salmon,
kw’ó:léxw,,dog salmon,
má:l,,father,
mélés,,raccoon,
p'q'élqel,,mountain goat,
pepq'éyò:s,,"snowberry, Symphoricarpos albus",
pé·ltʼθeʔ,/peːltθʼeʔ/,buzzard,
q'áq'emi,,little girl,
qwelíyes,,"red flowering currant, Ribes sanguineum",
qwéles,,whale,
qéléx̱,,fish eggs,
qó꞉,,water,
skw'álx̱,,young bald eagle,
skwíkwexel,,baby sockeye salmon,
skwówech,,"sturgeon, Acipenser transmontanus",
slí:m,,"sandhill crane, Grus canadensis tabida",
sp'óq'es,,bald eagle,
sqewáth,,rabbit,
sqwemá:y,,dog raised for its wool,
sqwíqw,,groundhog,
sqá:la,,"red huckleberry, Vaccinium parvifolium",
sqá:q,,younger sibling,
sqáwth,,"potato, Jerusalem artichoke, wapato",
stiqíw,,horse,
stl'e'áleq,,a potlatch,
stqóye,,wolf,
swatíya,,porcupine,
t'emo:sa,,wild rhubarb,
t'qwém,,thimbleberry,
th'ístel,,"antler, horn",
tl'asíp,,"licorice fern, Polypodium glycyrrhiza",
tl'elqtéle,,"deer, mule deer",
tl'elqtélets,,pheasant,
téxwthelh,,tongue,
x̱pá:y,,"red cedar, Thuja plicata",
x̱áts’et,,"fireweed, Epilobium angustifolium",
x̱áx̱ekw’,,"Jerusalem artichoke, Helianthus tuberosus",
álhqey,,snake,
áshxw,,"seal, harbor seal",
