L2_orth,L2_ipa,L2_gloss,L2_etym
a-a,,An exclamation of sorrow or anguish,
a-a,,Now then,
ab-ab,,to eat,
aba,,"alas, gosh, well, whew",
aba,,(questioning) really,
aba,,(anatomy) shoulder blade,
aba,,To carry on one's back,
aba-a,,oh,
abaa,,Alternative spelling of aba-a,
abad,,abbot,
abadesa,,abbess,
abadia,,abbey,
Abadiano,,"A  surname, from Basque​., the 694th most common surname",
abaga,,(anatomy) shoulder,
abaga,,to shoulder something,
abaganhan,,broad-shouldered,
abak,,to follow in quick succession,
abak-abak,,Diminutive of ábak,
abaka,/a.baˈka/,"Manila hemp, abaca",
abakahan,,someone who is rich in hemp plants,
abakan,,a small fish of a reddish color,
aban,,to finish,
abang,,"avarice, greediness",
abang,,To be within range of a fire,
abang-abang,,to help or assist,
abaniko,,Folding fan.,
abaniko,,"to fan, cool one's self",
abano,,a cigar made by machinery,
abansada,,exposed to the wind,
abao,,"(of grief or sorrow) oh, alas",
abas,,A type of bean,
abat,,to follow after,
abat-abat,,Diminutive of ábat,
abat-abat,,to follow closely,
abay,,"to enter, join",
abay-abay,,Diminutive of abáy,
abayan,,(superstition) liable to fall under an evil spell or magic,
abelyana,,"brown, hazel",
abelyana,,hazelnut,
abi,,for instance,
abi,,imagine,
abi-abi,,to greet,
abian,,"comrade, friend",
abian,,to be friends,
abiar,,"to invite, to provision for a journey",
abibar,,"to urge, encourage, rouse",
abierto,,"open, accessible",
abilay,,shawl,
abilidad,,"ability, capacity, talent, mastery, knowledge, dexterity",
abiog,,"to move to and fro, to swing or rock",
abiogan,,a swing,
abir,,"assets, property",
abisar,,"to advise, inform, notify",
abiso,,"notice, information",
abiso,,"notify, inform",
ablang,,"breadth, width",
ablang,,"broaden, widen",
ablaw,,"friendly, sociable",
ablaw,,friendliness,
ablay,,shawl,
ablay,,lean,
abo,,ash,
abo,,to turn into ash,
abo,,lazy,
abo,,A type of small fish that is said to be lazy,
abo,,"an exclamation that denotes aversion, contempt, or",
abo,,lazy,
abo,,A type of small fish that is said to be lazy,
abo,,"an exclamation that denotes aversion, contempt, or",
abo-abo,,"the color of ash, ashen",
abo-abo,,Diminutive of abó,
abo-abohon,,"ashen, ash-colored, grey, pale",
abogado,,lawyer,
abohan,,fireplace,
abohon,,"ash, grey, ashy, gray",
abonar,,"advance, loan",
abong,,windward,
abongho,,"anger, exasperation",
abono,,"dung, fertilizer, manure",
aborido,,"disturbed, uneasy, upset, worried",
aborto,,"abortion, miscarriage, monster",
aboy,,"bent, curved, warped",
aboy,,to bend,
aboy-aboy,,Diminutive of abóy,
abrasita,,hug,
abraso,,"hug, embrace",
abri,,"to open (as a window), unlock (as a gate), or turn",
abrigana,,apéritif,
abrigo,,shawl,
abrilatas,,can opener,
abrisita,,Alternative spelling of abrasíta,
absuelto,,absolved,
abukay,,"to rummage, to disturb the surface of",
abunda,,"abundant, plentiful",
ad-adan,,"slicer, a frame knife",
adiong,,a large ship or ark,
adlawon,,full daylight after sunrise is over,
adobi,,adobe,
adorasyon,,worship,
adorno,,"adornment, decoration, embellishment, ornamentation",
adorno,,"to adorn, decorate, embellish, or ornament",
adtang,,the forehead,
