L2_orth,L2_ipa,L2_gloss,L2_etym
0.,,0th,
1.,,1st,
10.,,10th,
100.,,100th,
11.,,11th,
12.,,12th,
13.,,13th,
14.,,14th,
15.,,15th,
16.,,16th,
17.,,17th,
18.,,18th,
19.,,19th,
2.,,2nd,
20.,,20th,
3.,,3rd,
30.,,30th,
4.,,4th,
40.,,40th,
5.,,5th,
50.,,50th,
6.,,6th,
60.,,60th,
7.,,7th,
70.,,70th,
8.,,8th,
80.,,80th,
9.,,9th,
90.,,90th,
-a,,"Used to form verbs from nouns.
‎spark (“a kick”) + ‎-a → ‎sparka (“to kick”)
‎mjólk (“milk”) + ‎-a → ‎mjólka (“to milk”)
‎von (“hope”) + ‎-a → ‎vona (“to hope”)
‎ávarp (“an address”) + ‎-a → ‎ávarpa (“to address”)
‎rit (“a writ”) + ‎-a → ‎rita (“to write”)
‎rass (“an ass”) + ‎-a → ‎rassa (“to spank (on the ass)”)",
A,,"The first letter of the Icelandic alphabet, written in the Latin script.",
A,,Abbreviation of austur (“east”).,
a,/aː/,"The first letter of the Icelandic alphabet, written in the Latin script.",
a,/aː/,The name of the Latin-script letter A.,
A-dúr,/ˈaːtuːr/,A major,
A-vítamín,,(biochemistry) vitamin A,
abbadís,/ˈapːaˌtiːs/,abbess,
abbast,[ˈapast],"to mess, to mess with, to diss, Ekki abbast upp á mig.Don't",
Abela,,A female given name,
aborri,[ˈaːpɔrːi],"perch (genus Perca, especially European perch, Perca",
abstrakt,,abstract,
abstrakt,,abstract,
absúrd,,absurd,
ACE-hemill,,ACE inhibitor,
Ada,/ˈaːta/,A female given name.,
Adam,,"Adam (biblical figure), A male given name",
adamsepli,/ˈaːdamsˌɛhplɪ/,(uncommon) Adam's apple,Adam
adda,/ˈatːa/,"(Internet slang, transitive, with dative) to add (a",add
Addý,,A female given name,
adenín,,adenine,
adrenalín,,adrenaline,
adressa,,address,
Adrían,,A male given name,
Adríel,,A male given name,
Adíel,,A male given name,
Adólf,,A male given name,
af,/aːv/,"(with dative) off, from, (with dative) of, (with dative)",
af-,,de-,
afar,/ˈaːvar/,"very, immensely, ever so, highly, most, Ég yrði þér",
afar,/ˈaːvar/,indefinite nominative plural of afi,
afbaka,/ˈav.paːka/,"(transitive, with accusative) to distort",
afborgun,,(finance) installment,
