L2_orth,L2_ipa,L2_gloss,L2_etym
aakka,,Latin spelling of ᐋᒃᑲ (aakka),
aasivaq,,Latin spelling of ᐋᓯᕙᖅ (aasivaq),
aggak,,Latin spelling of ᐊᒡᒐᒃ (aggak),
Aglukark,,Alternative form of ᐊᒡᓘᒃᑲᖅ (agluukkaq),
Aglukkaq,,Alternative form of ᐊᒡᓘᒃᑲᖅ (agluukkaq),
aiviq,,walrus,
alliq,,"underneath
Synonym: ataani",
aluiqqanaq,,Latin spelling of ᐊᓗᐃᖅᑲᓇᖅ (aluiqkanaq),
aluut,,Latin spelling of ᐊᓘᑦ (aluut),
amaruq,,Latin spelling of ᐊᒪᕈᖅ (amaruq),
anaana,,Latin spelling of ᐊᓈᓇ (anaana),
angajuq,,Latin spelling of ᐊᖓᔪᖅ (angajuq),
angiqqaqtuq,,to go home,
angunasuktuq,,to hunt,
angut,,Latin spelling of ᐊᖑᑦ (angut),
anuri,,Latin spelling of ᐊᓄᕆ (anuri),
apisimajuq,,Latin spelling of ᐊᐱᓯᒪᔪᖅ (apisimajuq),
aput,,Latin spelling of ᐊᐳᑦ (aput),
aqpik,,Latin spelling of ᐊᖅᐱᒃ (aqpik),
arnaq,,Latin spelling of ᐊᕐᓇᖅ (arnaq),
arvik,,Latin spelling of ᐊᕐᕕᒃ (arvik),
ataani,,"underneath
Synonym: alliq",
ataata,,Latin spelling of ᐊᑖᑕ (ataata),
auja,,Latin spelling of ᐊᐅᔭ (auja),
aujuittuq,,Latin spelling of ᐊᐅᔪᐃᑦᑐᖅ (aujuittuq),
auk,,Latin spelling of ᐊᐅᒃ (auk),
avinngaq,,Latin spelling of ᐊᕕᙵᖅ (avinngaq),
haaki,,"(sports) ice hockey, (sports) hockey",hockey
igliq,,Latin spelling of ᐃᒡᓕᖅ (igliq),
iglu,,Latin spelling of ᐃᒡᓗ (iglu),
ii,,yes,
iji,,Latin spelling of ᐃᔨ (iji),
iktsuarpok,,Latin-script form of ᐃᒃᑦᓱᐊᕐᐳᒃ,
ilinniaqtittiji,,Latin spelling of ᐃᓕᓐᓂᐊᖅᑎᑦᑎᔨ (ilinniaqtittiji),
ilinniaqtittijit,,Latin spelling of ᐃᓕᓐᓂᐊᖅᑎᑦᑎᔨᑦ (ilinniaqtittijit),
ilissi,,Latin spelling of ᐃᓕᔅᓯ (ilissi),
illu,,Latin spelling of ᐃᓪᓗ (illu),
ilu,,Latin spelling of ᐃᓗ (ilu),
imaq,,Latin spelling of ᐃᒪᖅ (imaq),
imiq,,Latin spelling of ᐃᒥᖅ (imiq),
imiqtuq,,to drink,
immaqaa,,Latin spelling of ᐃᒻᒪᖄ (immaqaa),
Inuk,,a member of one of the several indigenous peoples from,
inuk,,Latin spelling of ᐃᓄᒃ (inuk),
inuksuk,,Latin spelling of ᐃᓄᒃᓱᒃ (inuksuk),
inuksuk,,Latin spelling of ᐃᓄᒃᓱᒃ (inuksuk),
Inuktitut,,Inuktitut (the language of the Inuit people) Latin,
inuq,,Latin spelling of ᐃᓄᖅ (inuq),
Inuq,,Alternative spelling of Inuk,
iqaluk,,Latin spelling of ᐃᖃᓗᒃ (iqaluk),
irniq,,Latin spelling of ᐃᕐᓂᖅ (irniq),
isaruq,,Latin spelling of ᐃᓴᕈᖅ (isaruq),
isipirantu,,Latin spelling of ᐃᓯᐱᕋᓐᑐ (isipirantu),
napaaqtuq,,tree,
niaquq,,Latin spelling of ᓂᐊᖁᖅ (niaquq),
niaquujaaq,,Latin spelling of ᓂᐊᖂᔮᖅ (niaquujaaq),
niiquluktuq,,Latin spelling of ᓃᖁᓗᒃᑐᖅ (niiquluktuq),
niqi,,Latin spelling of ᓂᕿ (niqi),
nuliaq,,Latin spelling of ᓄᓕᐊᖅ (nuliaq),
Nunavik,,"The northern third of the province of Quebec, Canada.",
Nunavut,,Territory in northern Canada which has Iqaluit as its,
ookpik,,snowy owl,
pi,,Latin spelling of ᐱ (pi),
piqati,,friend,
piruqtusajaq,,Latin spelling of ᐱᕈᖅᑐᓴᔭᖅ (piruqtusajaq),
pisuk,,"(stative) to be walking
ᐱᓱᒃᑐᖕᒐᐃᒡᓘᒧᑦ.pisuktunggaigluumut.I am walking to the igloo.",
pualuuk,,Latin spelling of ᐳᐊᓘᒃ (pualuuk),
pupik,,mushroom,
puupaaq,,Latin spelling of ᐴᐹᖅ (puupaaq),
qaanqijaut,,Latin spelling of ᖄᓐᕿᔭᐅᑦ (qaanqijaut),
qajaq,,Latin spelling of ᖃᔭᖅ (qajaq),
qallunaaq,,Latin spelling of ᖃᓪᓗᓈᖅ (qallunaaq),
qamutiik,,Latin spelling of ᖃᒧᑏᒃ (qamutiik),
qanga,,when,
qangata,,Latin spelling of ᖃᖓᑕ (qangata),
qangatasuuq,,Latin spelling of ᖃᖓᑕᓲᖅ (qangatasuuq),
qanuq,,(interrogative) how,
qaqqaq,,"mountain
Synonym: ᖃᖅᑲᖅ (qaqkaq)",
Qaqqaq,,Qaqqaq: A  surname​.,
qassit,,(interrogative) how many,
qaujimajatuqangit,,Alternative form of ᖃᐅᔨᒪᔭᑐᖃᖏᑦ (qaujimajatuqangit),
Qaujimajatuqangit,,Alternative form of ᖃᐅᔨᒪᔭᑐᖃᖏᑦ (qaujimajatuqangit),
Qaujimanituqangit,,Alternative form of ᖃᐅᔨᒪᓂᑐᖃᖏᑦ (qaujimanituqangit),
qaujimanituqangit,,Alternative form of ᖃᐅᔨᒪᓂᑐᖃᖏᑦ (qaujimanituqangit),
qaukpat,,Latin spelling of ᖃᐅᒃᐸᑦ (qaukpat),
qausiqtuq,,wet,
qikturiaq,,Latin spelling of ᕿᒃᑐᕆᐊᖅ (qikturiaq),
qikturiaqtauniq,,Latin spelling of ᕿᒃᑐᕆᐊᖅᑕᐅᓂᖅ (qikturiaqtauniq),
qilalugaq,,Latin spelling of ᕿᓚᓗᒐᖅ (qilalugaq),
qimmik,,Latin spelling of ᕿᒻᒥᒃ (qimmik),
qimmuksit,,Latin spelling of ᕿᒻᒧᒃᓯᑦ (qimmuksit),
qingaq,,Latin spelling of ᕿᖓᖅ (qingaq),
qujannamiik,,Latin spelling of ᖁᔭᓐᓇᒦᒃ (qujannamiik),
qulingiluaqtut,,Latin spelling of ᖁᓕᖏᓗᐊᖅᑐᑦ (qulingiluaqtut),
saku,,Latin spelling of ᓴᑯ (saku),
savik,,Latin spelling of ᓴᕕᒃ (savik),
Sikusi,,"An ice worm that can melt an igloo, found in Inuit mythology.[1]",
sila,,Latin spelling of ᓯᓚ (sila),
silami,,outside,
sinaa,,Latin spelling of ᓯᓈ (sinaa),
sipiniq,,Latin spelling of ᓯᐱᓂᖅ (sipiniq),
siqiniq,,Latin spelling of ᓯᕿᓂᖅ (siqiniq),
siut,,Latin spelling of ᓯᐅᑦ (siut),
sunagaq,,Latin spelling of ᓱᓇᒐᖅ (sunagaq),
tallu,,Latin spelling of ᑕᓪᓗ (tallu),
tariuq,,Latin spelling of ᑕᕆᐅᖅ (tariuq),
tasiq,,Latin spelling of ᑕᓯᖅ (tasiq),
tavva,,here,
tikiq,,Latin spelling of ᑎᑭᖅ (tikiq),
titiraut,,Latin spelling of ᑎᑎᕋᐅᑦ (titiraut),
Tootoo,,A  surname​.,
tuktu,,Latin spelling of ᑐᒃᑐ (tuktu),
tuugaalik,,Latin spelling of ᑑᒑᓕᒃ (tuugaalik),
tuugaaq,,Latin spelling of ᑑᒑᖅ (tuugaaq),
tuvaq,,Latin spelling of ᑐᕙᖅ (tuvaq),
ukiuq,,Latin spelling of ᐅᑭᐅᖅ (ukiuq),
ukpiq,,an Arctic owl,
ullumi,,Latin spelling of ᐅᓪᓗᒥ (ullumi),
ullumi,,Latin spelling of ᐅᓪᓗᒥ (ullumi),
ulu,,Latin spelling of ᐅᓗ (ulu),
umik,,Latin spelling of ᐅᒥᒃ (umik),
unaaq,,Latin spelling of ᐅᓈᖅ (unaaq),
unnuq,,Latin spelling of ᐅᓐᓄᖅ (unnuq),
