L2_orth,L2_ipa,L2_gloss,L2_etym
adèrfi,,sibling,
aglisìa,,church,
ajarài,,butterfly,
alàdi,,olive oil,
ammài,,(Apulia) eye,
andra,,(Apulia) man,
arnì,,(Apulia) lamb,
avvlì,,(Apulia) courtyard,
bambinuddhi,,boy,
canno,,"do, make",
cardia,,heart,
ce,,and,
cini,,she,
cino,,he,
cipo,,garden,
citro,,ice,
ciuriacì,,Sunday,
crasì,/kraˈsi/,wine,
cèrato,,horn,
cùo,,"hear, listen",
damàli,,animal,
dekatrìa,,thirteen,
dekattà,,seventeen,
dekatèssare,,fourteen,
dekottò,,"eighteen (cardinal number)
2021, Vicenza et Giuseppe, ﻿Kànnune pedìa, Glossa Grika, page http://www.glossagrika.it/glossagrika/dynfix10/inc/fichier_audio_deux_langues.inc.php?langueD=FR&dossier=vicenza&fichier=008_nakuomatapale
Anifsìu ekho dekattà, pròbbiu anifsìu, dekottò ... dekatrìa bronifsìu.
Grandchildren, I have seventeen, actually eighteen grandchildren ... thirteen great-grandsons.",
denghie,,no,
depòi,,after,
dettera,,Monday,
emì,,we,
esì,,you (plural),
esù,,you (singular),
evò,,I,
fengo,,the moon,
festa,,"party, feast",
filo,,friend,
filὸ,,love,
fonàzzo,,call,
fonì,,voice,
ftinò,,cheap,
giuramento,,oath,
glossa,,tongue,
glossama,,language,
gra,,berry,
gratti,,bed,
ilio,,sun,
jennìome,,become,
jerài,,falcon,
jinèka,,woman,
kalinìfta,,good night,
kamiso,,shirt,
kampàna,,bell,
kanìstri,,basket,
kastagnèa,,chestnut tree,
kiaterèddha,,girl,
krio,,ram (male sheep),
kristianì,,Christian,
kristianò,,Christian,
kropo,,dung,
kràulo,,crow,
kòccia,,accident,
lemò,,mouth,
liko,,wolf,
madi,,eye,
majo,,mask,
mana,,mother,
milo,,apple,
milèa,,apple tree,
milìssi,,beehive,
mirodìa,,aroma,
moia,,mud,
mommo,,ghost,
mèndula,,almond,
mòneka,,nun,
nerò,,water,
nunna,,godmother,
paparasciànni,,barn owl,
pasùli,,bean,
pedài,,child,
pedì,,child,
petti,,Thursday,
pikùli,,bird,
porta,,door,
prakalò,/parakaˈlo/,(Apulia) to pray,
prassaì,,Friday,
rùngulo,,complaint,
samba,,Saturday,
scimòna,,winter,
scioparni,,axe,
siko,,fig,
sitàri,,wheat,
skafàtza,,bullshit,
skrafàio,,cockroach,
soma,,body,
sono,,"music, sound",
spidàli,,hospital,
su,,Contraction of esù (“you”).,
tavla,,table,
tetradi,,Wednesday,
tia,,aunt,
tio,,uncle,
tragudi,,song,
travudò,,sing,
traùdi,,Alternative form of tragudi,
tria,,three,
trifiddho,,alfalfa,
triti,,Tuesday,
tzichì,,"soul, spirit
Synonym: φσυχή",
tzomì,,bread,
tèlima,,will,
velàni,,acorn,
vrachiòna,,upper arm,
vui,,ox,
vutti,,barrel,
vàttima,,baptism,
zoì,,life,
àrgulo,,tree,
èsse,,six,
ùmme,,yes,
άντρα,,(Apulia) man,
άντρεπο,,human,
βούι,,ox,
βραχίονα,,upper arm,
γάδαρο,,"donkey, ass",
εβώ,,I,
εμεί,,we,
εσεί,,you (plural),
εσού,,you (singular),
ζαφράτα,,lizard,
ινφιέρνο,,hell,
κάμισο,,shirt,
κόσμον,,universe,
καληνύφτα,,good night,
κανταλώ,,sing,
κούω,,"hear, listen",
λύκο,,wolf,
μινιέρα,,mine (excavation from which ore is extracted),
ούμαι,,yes,
πίγνο,,pine tree,
πενσέω,,to think,
πράμα,,"thing, object",
πρακαλώ,/prakaˈlo/,(Apulia) to pray,
σέντζα,,without,
σόνο,,"music, sound",
σπραμεντέω,,scare,
στέω,,"stand, stay, continue (doing something)",
τερρεμότο,,earthquake,
φέγγο,,the moon,
φουμάρω,,"smoke (cigarettes, etc.)",
φσυχή,,"soul, spirit
Synonym: tzichì",
χάρω,,death,
