L2_orth,L2_ipa,L2_gloss,L2_etym
آئیں,,mouth,
آج,,today,
آر,,duck (bird),
آرہ,,saw,
آزاد,,free,
آسان,,easy,
آسمان,,sky,
آم,,unripe,
آواز,,"sound, voice",
آوه,,saw,
آٹ,,flour,
آچ,,tweezers,
آگہ,,rain,
ال,,wet,
ان,,egg,
او,,water,
اڄ,,eye,
اڄھیر,,apricot,
اڈ,,half,
بادان,[bäːˈdaːn̥],young,
بادر,[baːˈdər̥],"brave, bold",
بادین,[bäːˈdeːn̥],young,
باریم,[ba̟ːˈrim],outside,
بالہ,[ˈbaː.la],wind,
بانش,[bã̟ːʃ],main roofbeam of a building,
بن,[ban],closed,
بنال,[baːˈnaːl̥],hill pasture,
بَٹ,,stone,
بٹ,[baʈ],"stone, rock",
بھا,[baː],extinguished,
بھاگ,[baːɡ̥ʲ],place,
كياب,,book,
میش,,a man,
ٞ,/æ/,A vowel sign of the Kalami alphabet,
ڄ,/ʈ͡ʂ/,A consonant of the Kalami alphabet,
کُرسی,,chair,
ݪ,/ɬ/,A consonant of the Kalami alphabet,
ݭ,/ʂ/,A consonant of the Kalami alphabet,
