L2_orth,L2_ipa,L2_gloss,L2_etym
'may,,cooked rice,
'si,,meat,
adam,,bird,
adi,,maybe; perhaps,
aiku,,I (personal pronoun),
aimi,,we (exclusive of the person spoken to),
aimu,,you (plural),
aisu,,you (singular),
aita,,we (inclusive of the person spoken to),
aizipna,,he; she,
alam,,bird,
anem,,(anatomy) heart,
apaw,,cassava,
apuk,,lime,
arim,,(anatomy) pancreas,
aritta,,false,
asa,,price,
atungur,,protruding part of the forehead,
aul,,a type of shark that does not attack people,
awa,,drinkware; cup; glass,
babusaR,,whitish,
babuy,,pig,
badaq,,(anatomy) lung,
baka,,cow,
balaq,,(anatomy) lung,
balat,,east wind,
bali,,wind,
balun,,belt; girdle,
banaw,,to wash (one's hands or feet),
banged,,typhoon,
bangel,,typhoon,
bangkuy,,cupboard to store important things,
bangRaw,,(anatomy) tooth,
bangsis,,"fragrant, pleasant smell",
baniw,,mushroom,
bantiti,,play; stageplay,
banul,,pigeon; dove,
banur,,pigeon; dove,
banus,,fur,
baqi,,"Deinagkistrodon, grandchild, grandfather",
baquay,,Seediq,
baquy,,flag,
baReng,,dung beetle; scarab beetle,
bari,,wind,
baring,,(pathology) mumps,
baris,,nail (tool),
baRqian,,old person,
barun,,belt,
basu,,bus,
bateng,,web,
battis,,flat and smooth hard stone,
baut,,fish,
bawa,,boat,
bawbi,,nonirrigated farmland; dry land,
bayan,,old leaves,
bedes,,(anatomy) abdomen,
beluRuk,,(medicine) goitre,
bengbengar,,unripe,
benina,,banana,
beRas,,rice ((raw) seeds used as food),
beRing,,(anatomy) rib,
bettu,,stone,
bettuq,,lake,
bibing,,cobra,
bilu,,charcoal,
biru,,charcoal,
bitik,,(anatomy) part above the heel,
bitnguR,,"big, slow, useless fellow",
bitting,,headache,
biw,,temple,
biwbiw,,breeze,
biyabas,,guava,
biyat,,frog,
blabal,,tin,
blayang,,large cooking pan,
bles,,(anatomy) belly; abdomen,
blukuk,,a kind of fern (somewhat thick and bitter),
blung,,"shell (of beans, peanuts, seashell, snail, etc.)",
bnabnaqian,,ancestors,
bnanaR,,blister,
bnangaw,,syphilis,
bnaqian,,elder,
bnauR,,cucumber,
bneq,,salt water,
bngar,,half ripe,
bnina,,banana,
bniRan,,stingray; ray fish,
bnit,,skin cracks (in winter),
bnuay,,kite,
bnuqu,,winnowing basket,
bras,,rice (uncooked seeds used as food),
bRasuq,,pimples,
brawan,,gold,
bRina,,batten (of loom),
bRing,,(anatomy) ribs,
bruhuk,,goiter,
brukun,,fishhook,
bsangay,,small field mouse,
btu,,stone,
btuuq,,pond,
bubu,,"conical bamboo basket, a fish trap",
bubur,,jellyfish,
bukkun,,swelling,
bulan,,moon,
bulayang,,large pot,
buletedan,,star,
bungil,,dried areca nut,
bungut,,head ornament,
buqan,,sand,
buqaRes,,lazy,
buqas,,dust,
buqes,,"(anatomy) hair, hair-like brown seaweed",
buran,,moon,
buRang,,rock,
buras,,(ophthalmology) cataract,
burek,,"young animal (of a cow, pig, bear, etc.)",
burtellan,,star,
buRut,,"flying squirrel, Synonym: rawar",
buRwa,,canoe,
busaR,,white,
busel,,(anatomy) navel,
busuq,,drunk,
busur,,bowstring,
busus,,Hoklo person,
butbut,,spring (water),
butuq,,footwear; gaiters; leggings,
butuR,,(anatomy) scrotum,
butuy,,"joint; node; knot (of a bamboo, sugarcane, tree, finger, etc.)",
byabas,,Alternative spelling of biyabas (“guava”),
byaquR,,toad,
dadas,,betel,
damu,,tribe,
dasam,,dirty,
daud,,far,
deddan,,sky,
dengat,,window,
dihib,,grotto; cave,
dingwa,,telephone,
duki,,clock,
duqunu,,turtle,
engu,,goose,
hakun,,skirt,
hukang,,male carabao,
hulam,,mainlander in Taiwan,荷蘭
humung,,sea cucumber,
ibu,,ash,
ilam,,strength; energy,
imis,,north,
inat,,comb,
ineb,,door,
inges,,(anatomy) gums,
ingRuan,,pillow,
ingsay,,water spinach (Ipomoea aquatica),
inna,,stamp,
inpan,,mat,
ipaz,,raft,
iRanay,,animal skull,
iRaR,,gate,
iRem,,pangolin,
iRuR,,river,
isi,,dregs from wine-making,
ising,,doctor,
iteb,,deadfall trap,
itus,,necklace,
iyu,,medicine,
izip,,(anatomy) body,
kakurut,,bitter gourd,
kakuyur,,broad bean,
kalumut,,scarf; hood,
kama,,orange; tangerine,
kames,,claw; nail (of an animal),
kapangan,,coffin,
kapar,,young people; teenager,
kapi,,concubine; second or third wife,
kapil,,scar,
kaput,,friend,
karat,,coral; coral reef,
karuR,,broken stones,
