L2_orth,L2_ipa,L2_gloss,L2_etym
є̈,,The forty-ninth letter of the Khanty alphabet,
Є̈,,The forty-ninth letter of the Khanty alphabet,
А,,"The first letter of the Khanty alphabet, written in the Cyrillic script.",
ас,[aːs],(Kazym) river,
вет,[weˑt],(Kazym) five,
ветмит,[weˑtmit],(Kazym) fifth,
вош,,city,
вәԓ,[wɵɬ],(Kazym) third-person singular present of вәԓты (wəḷty),
вәԓты,[wɵɬti],(Kazym) to be,
ими,[imi],(Kazym) woman,
йӛӈк,,(Vakh) water,
кимит,[kimət],(chiefly Kazym) second,
кӑт,[kat],(Kazym) two,
кӧл,,word,
мўв,[muw],(Kazym) earth,
мәрӑх,[mɵrəx],"(Kazym) cloudberry, Rubus chamaemorus",
мӱг,,hill,
нє,[nɛ],(Kazym) woman,
нєхуят,[nɛxojat],(Kazym) woman,
нивӑԓмит,[nʲiwəɬmit],(Kazym) eighth,
нивԓ,,(Kazym) eight,
няԓ,[nʲaɬ],(Kazym) four,
няԓмит,[nʲaɬmit],(Kazym) fourth,
оԓӑӈмит,[ɔːɬəŋmit],(Kazym) first,
пӑԓ,[paɬ],"(anatomy, Kazym) ear",
рўщ,[rusʲ],(Kazym) Russian,
сєм,[sɛm],"(anatomy, Kazym) eye",
сэвупсы,,(Kazym) bilberry (Vaccinium myrtillus),
сӑран,,Komi,
хул,,fish,
хурамӑӈ,,(Kazym) beautiful,
хутәм,,three,
хӑнты,,Khanty,
хә,[xɵ],(Kazym) man,
хәт,[xɵt],(chiefly Kazym) six,
хәтмит,[xɵtmit],(Kazym) sixth,
хәԓмит,[xɵɬmit],(Kazym) third,
хәԓум,[xɵɬəm],(Kazym) three,
шєӈк,[ʃɛŋk],"(Kazym) very
Пәмащипа, шєӈк єпԓӑӈ вәс. ― Pəmaŝipa, šêňk êpḷăň wəs. ― Thank you, it was very delicious.",
ю̆,,The fifty-first letter of the Khanty alphabet,
Ю̆,,The forty-ninth letter of the Khanty alphabet,
юхан,[joxan],(Kazym) river,
я̆,,The fifty-third letter of the Khanty alphabet,
Я̆,,The forty-ninth letter of the Khanty alphabet,
я̈ӈк,,(Vasyugan) water,
яртъяӈ,,(Kazym) nine,
яртъяӈмит,[jartjaŋmit],(Kazym) ninth,
ясӑӈ,[jaːsəŋ],(Kazym) language,
яӈ,[jaːŋ],(Kazym) ten,
яӈмит,[jaŋmit],(Kazym) tenth,
ӑ,,The third letter of the Khanty alphabet,
ԓапӑт,[ɬaːpət],(Kazym) seven,
ԓапӑтмит,[ɬaːpətmit],(Kazym) seventh,
