L2_orth,L2_ipa,L2_gloss,L2_etym
авʼаавʼ,,wound,
авʼи,,brain,
авʼъеён,,food,
айгытӄын,,north,
акык,,son,
алаал,,summer,
аногʼан,,spring,
аняпэл,,spider,
аняпэлӈэлӈын,,spiderweb,
ачгʼын,,fat,
аӈаӈъян,,song,
аӈӄан,,sea,
вʼаннылӈын,,tooth,
вʼэем,,river,
ваят,,"people, nation",
гʼытгʼым,,bone,
гʼытгʼын,,dog,
гʼэгылӈын,,wolf,
гилгил,,ice,
гылгын,,skin,
икыт,,ice,
илий,,island,
ипиип,,smoke,
йилыйил,,language,
йыйка,,walrus,
йылгылӈын,,finger,
йыннылӈын,,horn,
йәлгәлӈән,,finger,
кайӈын,,brown bear,
кытгэл,,ice,
кытэг,,wind,
лиӈлиӈ,,heart,
лылалӈын,,eye,
лэвʼтытгʼым,,skull,
лэвʼыт,,head,
мимыл,,water,
муллымул,,blood,
муӄэмуӄ,,rain,
мыллыӈэн,,five,
мынгыткэн,,ten,
нивʼлыӄин,,"tall, long",
ныкинык,,night,
нымэйӈыӄин,,big,
ныппулюӄин,,small,
нытуйӄин,,"new, young",
пыӈлон,,question,
тумгытум,/ˈtum.ɣə.tum/,"comrade, companion",
тэгʼыйчыгʼын,,small,
умӄа,,polar bear,
ыннанмыллыӈэн,,six,
ынныын,,fish,
ыннэн,,one,
эвʼтылаӈӄал,,south,
яяӈа,,house,
ӄоньгʼайчыӈкэн,,nine,
ӈавʼгаллы,,duck,
ӈыёӄ,,three,
ӈыёӄмыллыӈэн,,eight,
ӈылӈыл,,smoke,
ӈыччеӄ,,two,
ӈыяӄ,,four,
ӈыяӄмыллыӈэн,,seven,
