L2_orth,L2_ipa,L2_gloss,L2_etym
ཀ,/kə́/,snow,
ཀས,/kə́s/,ladder,
ཀི,/kí/,potato,
ཀིག་ཏུམ་པ,/kík.t̪um.pə/,hooded pitta (Pitta sordida),
ཀུ,/kú/,statue,
ཀོ,/kó/,door,
ཁ,/kʰə́/,"mouth, language",
ཁ་ཝ,/kʰə́.wə/,hen,
ཁའུ་ཏི,/kʰə́u̯.t̪i/,chicken egg,
ཁྭེ,/kʰwé/,water,
ག,/ɡə̀/,saddle,
ག,/ɡə̀/,path,
ག,/ɡə̀/,path,
གོ,/ɡò/,wheat,
ཅ,/ˈcə́/,(intransitive) to dress up,
ཆ་རོ,/cʰə́ro/,friend,
ཆཝ,,Sichuan pepper (chili pepper),
ཆི,/cʰí/,lips,
ཆོ,/cʰó/,"religion, (Buddhism) dharma",
ཇ,/ɟə̀/,tea,
ཇུ,/ɟù/,milk,
ཏ,/t̪ə́/,horse,
ཏུ,/t̪ú/,"vagina, vulva",
ཏྲ,/ʈɐ́/,brightness,
ཏྲཱ,/ʈɑ́ː/,brightness,
ཏྲེ,/ʈé/,Year of the Monkey,
ཏྲོ,/ʈó/,heartwood,
ཐཱོ,/t̪ʰóː/,crops,
ཐྲ,/ʈʰə́/,common kestrel (Falco tinnunculus),
ཐྲི,/ʈʰí/,throne,
དའུ,/d̪ə̀u̯/,luck,
དི,/d̪ì/,pot,
དིའུ,/d̪ìu̯/,bullet,
དྲ,/ɖə̀/,"sound, noice, pronunciation",
དྲཱེ,/ɖèː/,mule,
དྲི་བུ,/ɖì.bu/,bell,
དྲུ,/ɖù/,"boat, ship",
དྲོ,/ɖò/,feather,
པཱ,/pɑ́ː/,slice of meat,
པོ,/pó/,fur,
པྲ,/prə́/,monkey,
ཕག,/pʰə́k/,pig,
ཕཱི,/pʰíː/,flour,
ཕཱེ,/pʰéː/,edge,
ཕོ,/pʰó/,"hole, cave",
བ,/bə̀/,target,
བཡ,,"otherwise
2014, The Grammar of Knowledge: A Cross-Linguistic Typology:
mìnè-ndéré ɓáyà mòo-yá-dìyà ?à dùkà-ntí-mìnê
1pl-run:NARR otherwise people-DEF-JOINT:VIS then kill:TR-ASSERT-OBJ:1pl
run, otherwise the people we both see/know will definitely kill us",
བཱུ,/bùː/,breath,
བོ,/bò/,son,
བྲེ,/brè/,"measuring cup (mug for measuring grain), A traditional",
མུ,/mù/,mushroom,
ཙ,/t͡sə́/,"nerve, sinew, tendon, blood vessel",
ཚ,/t͡sʰə́/,salt,
ཚོ,/t͡sʰó/,lake,
ཟ,/zə̀/,fruit,
ཤ,/çə́/,meat,
ས,/sə́/,"earth, land, place, soil",
