L2_orth,L2_ipa,L2_gloss,L2_etym
kawáacu,,sugar,
kawáj,,horse,
káac,,"fish
káac kalúpum — I dive for (to catch) fish",
káwkaw,,a shitepoke,
kénne,,"one
kénne ṣénto — one hundred",
pócci,,Alternative spelling of p̓ócci (“woman”),
pôtsi,,Alternative spelling of p̓ócci (“woman”),
p̓ócci,,woman,
ṣijénto,,"hundred, kénne ṣénto — one hundred",
ṣáapa,,hair (on the head),
ṣáaṭa,,a live oak tree,
ṣénto,,Alternative form of ṣijénto,
ṣéntu,,Alternative form of ṣijénto,
ṣúluk,,"a skin, a covering (used of hides, and also of eggs' shells)",
