L2_orth,L2_ipa,L2_gloss,L2_etym
c'íxʷc'əxʷ,,osprey,
cíqin',,to stab someone,
cúłun',,to point at someone,
cúłxit,,to point something out to someone,
huz',,to be about to do something,
hániʔ,,humpback salmon,
hə́ləz,,humpback salmon,
k'ínk'ənt,,dangerous,
kl'axʷ,,muskrat,
káykay,,Stellar's jay (Cyanocitta stelleri),
káʔəw',,to go far away by land,
kə́xkəx,,older sister,
k̓ut́,,"sea, ocean",
máqaʔ,,snow,
məcxál,,to write,
mə́cən,,to write something down,
naχʷít,,snake,
nk'əm'c,,edge of a body of water,
nk̓yap,,coyote,
npsáxakaʔ,,unidentified tree,
npə́tqəc,,edge of a forest,
nəqʷp,,to warm up,
nạkʷụ́ḷ,,butterfly,
pasít,,butterfly,
pqus,,bald eagle,
ptak,,to pass by,
pácʔaz',,"oceanspray, ironwood (Holodiscus discolor)",
pálaʔ,,one,
páxlaqʷ,,yellow cedar (Chamaecyparis nootkatensis),
púnłp,,Rocky Mountain juniper (Juniperus scopulorum),
púpən',,to find something by accident,
púslum̓cw,,wet ground,
pəq,,white,
pṣụ́ṣạz',,bitter cherry (Prunus emarginata),
qam't,,to get hit,
qə̣ḷ,,bad,
qə̣ḷwị́ḷ'x,,to get spoiled,
qʷláwaʔ,,onion,
qʷuˀ,,water,
qʷənqʷánt,,"poor, destitute",
q̓áwam̓,,wolf,
skixəzʔúł,,stepmother,
skíxzaʔ,,mother,
skʷístqʷʔam,,waterfall,
sk̓úk̓m̓it,,"baby, child",
sméq̓waʔ,,crane,
smúłac,,woman,
spzuʔ,,wild animal,
spzúzaʔ,,bird,
spəlkʷáqs,,bald eagle,
sqlaw',,beaver,
sqáχaʔ,,dog,
sqʷəm,,mountain,
swelaóps,,male mountain sheep,
syáqcaʔ,,woman,
sɣap,,tree,
sʔíłən,,food,
tmixʷ,,"dry land, earth",
tsíktsektaoz̓,,juniper,
ts̓áq̓al̕ts,,clay,
twiw't,,boy,
təχ,,bitter,
t̓álhem,,salt,
xə́łxłəm,,brisk,
zánuc,,driftwood,
zúmak,,spring salmon,
úk̓wal̕,,feather,
łə̣́nkaya,,cast-iron pot,
ƛ'ak,,to go,
ƛ'aks,,to take along,
ƛ'amín,,axe,
ƛ'iq,,to arrive,
ƛ'laz',,canoe,
ƛ'ámin,,fur,
ƛ'íqmin',,to arrive here for someone or something,
ʔamawíl'x,,to get better,
ʔáma,,good,
ʔámhus,,pretty,
ʔíswał,,loon,
ʔíłən,,to eat,
χiłc,,to do it in a certain way,
χzum,,big,
ṣpḷạnt,,skunk,
