L2_orth,L2_ipa,L2_gloss,L2_etym
't,,"the, it",
't,,she,
alabonneur,,(Maastrichtian) General expression of approval.,
Albanië,,Albania (a country in Europe),
alleminium,[ɑ˧ləˈmi˨ɲɔ˧m],(uncountable) aluminium,
altied,,always,
Andórre,,Andorra (a country in Europe),
aomezeik,/ˈɔːm.zɛi̯k/,ant,
april,,April (month),
argon,[ˈa˨ʁʝo˦n],(uncountable) argon,
arseen,[ɑ˧ʁˈzeː˦n],(uncountable) arsenic,
astrein,,"(Maastrichtian) directly, immediately",
augustus,,August (month),
avvencere,,(Maastrichtian) to advance,
avventouw,,(Maastrichtian) now and then; occasionally,
Azerbeizjaan,,Azerbaijan (a country in Europe and Asia),
baer,,"bear,  (obsolete) dog (animal), though still used for",
Baer,,A male given name,
baere,,"to carry, bear, give birth",*beraną
baere,,nominative plural of baer,*beraną
baere,,nominative plural of baer,*beraną
balle,,to play with a ball,
Bangladesj,,Bangladesh,
barium,[ˈbaː˨ʁjɔ˧m],(uncountable) barium,
bats,/bats/,(anatomy) buttock,
be-,/bə/,Inseparable verbal prefix that signifies working on,
beer,,"beer, any alcoholic drink",
berg,,(geography) mountain,
berilium,[ˈbeː˨ʁi˦ʎɔ˧m],(uncountable) berylium,
bestósse,,"to support at, to resting on",
beuk,,beech,
beuk,,plural of book,
beuk,,plural of book,
bie,,at (+dative),
bie,,bee,
bie,,bee,
biewaord,,(grammar) adverb,
biezar,,strange,
bismuth,[ˈbɪ˦zmœ˧ð],(uncountable) bismuth,
bloodslieër,/ˈbloːdzlɪɐ(r)/,"haematology, hematology",
blósse,,to flourish,
boe,,(Maastrichtian) Alternative form of woe,
boeat,,boat,
boenaotouw,,"(Maastrichtian) whither, where to",
boerum,,(Maastrichtian) why,
bomma,,(Maastrichtian) grandmother,
bompa,,(Maastrichtian) grandfather,
book,/boːk/,book,
brazzelèt,,(Maastrichtian) bracelet,
bridge,,(card games) bridge (card game),bridge
broor,,brother,
bróm,[ˈbʁo˦m],(uncountable) bromine,
bröl,,"(Maastrichtian) crazy, insane",
bäöke,,to cry,
bäökól,,"A baby that cries excessively, crybaby.",
bèdzje,,to do again,
bèdzjere,,to reconsider,
bèlle,,"to call, to telephone",
Bèlsj,,Belgium (a country in Europe),
bór,[ˈbo˨ʁ],(uncountable) boron,
Bósnië,,Bosnia,
Bölgerië,,Bulgaria (a country in Europe),
chlór,[ˈxlo˨ʁ],(uncountable) chlorine,
chrille,,to grill,grillen
chrèlle,,to grill,grillen
chróm,[ˈxʁo˨m],(uncountable) chromium,
crappuul,,"(Maastrichtian) rabble, scoundrel",
daag,,day,
daak,,roof,
dabbe,,to dig in the ground using hands,
dae,[dæː˨],(personal) he,
dao,,there,
dao,,for that reason,
dao,,for that reason,
december,,December (month),
deer,,"pet, (obsolete) beast, animal",
demmele,,to trample/stamp on the ground while not moving to another place,
denieëre,,to donate,
der,,there,
Dieënemerk,,Denmark (a country in Europe),
dieëw,,"mysterious man, mystery guest",
disprosium,[dɪ˧zˈpʁoː˨ʃɔ˧m],(uncountable) dysprosium,
doe,[duː˨],"thou, you (singular)",
doon,,to do,
dreen,,A drone; a male bee.,
dróppel,,drop,
Duutsland,,Germany (a country in Europe),
dónnieëre,,to die,
dönke,,"to appear, seem",
effe,,"shortly, as in ""no problem""; briefly, for a short period,",
effe,,"even, opposite of odd",
ei,,egg,
erbium,[ˈæ˨ʁbjɔ˧m],(uncountable) erbium,
Ermieënië,,Armenia (a country in Europe and Asia),
Esland,,Estonia (a country in Europe),
estósse,,to misuse support,
europium,[øː˧ˈʁoː˨pjɔ˧m],(uncountable) europium,
euver,,over,
euverdoonder,,"Someone whose feelings are very easily hurt, also by",
februari,,"February (month)
Synonym: fibberwarie",
fibberwarie,,February (month),
Finlandj,,Finland (a country in Europe),
fluorien,[fly˦woː˨ˈʁi˨n],(uncountable) fluorine,
fosfór,[ˈfo˧ðfo˨ʁ],(uncountable) phosphorus,
Frankriek,,France (a country in Europe),
fókke,,to fish,
fökke,[ˈfœ˦kə],to breed,fuck
gadolinium,[ʝa˧doː˦ˈli˦ɲɔ˧m],(uncountable) gadolinium,
gallium,[ˈʝɑ˦ʎɔ˧m],(uncountable) gallium,
gamin,,"(Maastrichtian) rascal boy, an imp particularly inclined",
gaon,,"to go, to leave",
ge-,,"When used in combination with the suffix -dje, forms",gè-
Genoewa,,"Genoa (the capital city of Liguria, Italy)",
geo,,"(mathematics, slang) set square",
geo,,"geography, (rare) geology",
geo,,(obsolete) strange,
geo,,"geography, (rare) geology",
geo,,(obsolete) strange,
geo,,(obsolete) strange,
germanium,[ʝɛʁˈmaː˨ɲɔ˧m],(uncountable) germanium,
get,,something,iewet
geó,[ʝəʔˈo˦],(obsolete) strange,
gitaar,,(music) guitar,
gkrille,,to grill,grillen
gkrèlle,,to grill,grillen
glee,,something that is wet because it has been pasted together,
good,[ʝoː˦d],good,
Greekslandj,,Greece (a country in Europe),
grille,,to grill,grillen
gruuedje,,size,
grèlle,,to grill,grillen
grómme,,to growl,
gód,[ʝo˦d],god,
Gód,[ʝo˦d],(Christianity) God,
góldj,[ˈʝo˦lc],"(uncountable) gold, A part of gold",
hae,/hɛː/,"Third-person singular, masculine, subjective: he.
Hae löp. ― He walks.",
hafnium,[ˈhɑ˦fɲɔ˧m],(uncountable) hafnium,
hajje,,"see you soon, farewell, goodbye",
heim,,"home, house",
heives,,"locative of heim, locative of hoes, Ich gaon dèès heives.I'm",
heives,,cosy,
heivese,,to go home,
hel,,"hell, (figuratively) a bad place to be",
hel,,"hard, tough, difficult, hard, rough, pointed, hard,",
hel,,"hard, tough, difficult, hard, rough, pointed, hard,",
helium,[ˈheː˨ʎɔ˧m],(uncountable) helium,
helle,,"hard, loud",
helle,,(obsolete) dative singular of hel,
helle,,(obsolete) dative singular of hel,
hiedrogenium,[hi˧ðroː˦ˈɡeː˨ɲɔ˧m],(uncountable) hydrogen,
hieër,,"mister, man, Lord, God",
hit,,"(slang, Dutch) something popular (book, song, band,",hit
hoes,,"house, home, building",
hoes,,cover,
hoes,,cover,
hoesige,,to provide a place to sleep/live,
holmium,[ˈho˨lɱɔ˧m],(uncountable) holmium,
hoof,,garden (an outdoor area containing one or more types,
huif,,(Maastrichtian) marble (a small spherical ball of rock or glass used in children's games),
häöm,,"(personal) (Maastrichtian) Third-person singular, masculine, objective: him.
Iech sjik häöm dee breef — I'll send him that letter.",
häör,,"(personal) (Maastrichtian) Third-person singular, feminine, objective: her.
Iech sjik häör dee breef — I'll send her that letter.",
hèt,[hɛ˧t],(personal) she.,dat
hóndj,,dog,
Hóngerië,,Hungary (a country in Europe),
hóngert,[ˈho˦ŋəʁð],hundred,
hóngertj,[ˈho˦ŋəʁc],"hundred, (colloquial, slang) A €100 note",
höbbe,/ˈɦœ.bə/,to have,
ich,[ɪx],I,
Iesland,,Iceland (a country in Europe),
Ieslandj,,Iceland (a country in Europe),
Ietelje,,Italy (a country in Europe),
iew,,(Maastrichtian) century,
iezer,[ˈiː˨zəʁ],"(uncountable) iron, A part of iron",
ieëre,,to honour,
impassant,,(Maastrichtian) in passing,
indium,[ˈɪ˦nɖɔ˧m],(uncountable) indium,
Ingelandj,,England (a constituent country of the United Kingdom),
Ingelsj,,English,
integer,,"friendly, complete, whole, intact",
iridium,[ɪ˧ˈʁi˦ɖɔ˧m],(uncountable) iridium,
itrium,[ˈɪ˦trjɔ˧m],(uncountable) yttrium,
itterbium,[ɪ˧təʁˈbi˦jɔ˧m],(uncountable) ytterbium,
Jan,,"A male given name, equivalent to English John.",
jannewarie,,January,
januari,,January (month),
jao,,yes,
jao,,"of course; after all; as you know; modal particle used like German ja, which compare
Vier hove ós neet vuur ’t Limburgs te sjame, ouch neet vuur ’t Hollesj, dat is jao ouch ’n taal.We needn’t be ashamed of Limburgish, but neither of standard Dutch, that's a language too, after all.",
jaor,,year,
Jean,,A male given name.,
Jezus,,(Christianity) Jesus,
jodium,[ˈju˦a˧ɖɔ˧m],(uncountable) iodine,
jong,,young,
jong,,"boy, young guy, (colloquial, Maastrichtian) a colloquial",
juli,,July (month),
juni,,June (month),
jómme,,to be patient while waiting,
Jón,,"A male given name, equivalent to English John",
kaajd,,"cold, chilly, frigid",
kadmium,[ˈkɑ˦ðmi˧],(uncountable) cadmium,
kalbas,,(Maastrichtian) bag,
kalium,[ˈkaː˨ʎɔ˧m],(uncountable) potassium,
kalle,,"to talk, to speak, to chat, to call (obsolete), to",
kalsium,[ˈkɑ˦lʃɔ˧m],(uncountable) calcium,
kaoke,,"to cook, to boil",
kaoper,[ˈkɔː˨pəʁ],(uncountable) copper,
Kazachstan,,Kazakhstan (a country in Asia),
kebónnium,[kəˈbo˨ɲɔ˧m],(uncountable) carbon,
kemissie,,"(Maastrichtian) groceries, shopping",
kiksjozerij,,"(Maastrichtian) knickknack, stuff, trifle",
kindj,,"child, baby, somebody one loves",
klang,[klɑ˦ŋ],temptation,
klein,,small,
klèmme,,"to trap, hold between to or more",
klömme,,to climb,
knagge,,to do something wrong,
knèlle,,"to pinch, squeeze, press",
kobalt,[ˈkoː˦bɑ˧lc],(uncountable) The metallic element and material cobalt,
krieëk,,creek,
kripton,[ˈkʁɪ˦ptɔ˧n],(uncountable) krypton,
krissie,,(Maastrichtian) liquorice,
królle,,to curl,
krömme,,(obsolete) to growl,
ksenon,[ˈxseː˨no˧n],(uncountable) xenon,
Kuuprös,,Cyprus (an island and country in Europe),
kwik,[ˈkwɪ˦ɡ],"(uncountable) mercury, A part of mercury",
kwèlle,,"to hurt, to torture",
kèlle,,"to not show any emotions, to be emotionless",kil
Kèrwaasje,,Croatia (a country in Europe),
kóllèsse,,to cheat,
kóntaktieëre,,to contact,
Kózzevo,,Kosovo (a country in Europe),
köppe,,(soccer) to place a ball in the goal using your head,
kösse,,to kiss,
laeg,,"empty, dry, dead",
laeke,,to leak,
landj,,"country, land",
landjsval,,"(grammar) locative, fall of a country/empire",
lanteriemenneke,,"(Maastrichtian) lanternlighter (a person who, before",
lanthanum,[lɑ˧nˈðaː˨nɔ˧m],(uncountable) lanthanum,
lavvabo,,"(Maastrichtian) lavabo, washbasin",
leuze,,(Maastrichtian) to read,
Liechtestein,,Liechtenstein (a country in Europe),
lieje,,to suffer,
lies,,list,
Lieëtsjebèrg,,Luxembourg (a country in Europe),
Limburgs,[ˈlɛ˦mbœ˨ʁxs],Limburgish,
Limburgs,[ˈlɛ˦mbœ˨ʁxs],Limburgish (language),
litium,[ˈli˨cɔ˧m],(uncountable) lithium,
Littów,,Lithuania (a country in Europe),
loead,[ˈlu˦wa˧d],"(uncountable) lead, A part of lead",
lutetium,[ly˧ˈteː˨ʃɔ˧m],(uncountable) lutetium,
lègke,,(Maastrichtian) to lay,
Lèmbörg,[ˈlɪmbœᵄ(r)x],"Limburg, a province of the Netherlands.",
Lèmbörgsj,,Limburgish (the Germanic language),
Lètlandj,,Latvia (a country in Europe),
lèttergreep,,syllable,
lèèje,,to lead,
lösse,,to knot,
magnesium,[mɑ˧ˈɲeː˨ʒɔ˧m],(uncountable) magnesium,
Makedonië,,Macedonia,
male,,To mill.,
Malte,,Malta (an island and country in Europe),
manganium,[mɑˈɲaː˨ɲɔ˧m],(uncountable) manganese,
manzjare,,to eat a lot,
maole,,to paint,
maon,,moon,
mei,,May (month),
Mestreech,,"Maastricht (the capital and largest city of the province of Limburg, Netherlands)",
meug,[møː˨x],"tired, enough, too much",
meugelik,,"tired, enough, too much",
meugelik,,possible,
meugelik,,possibly,
meugelik,,possible,
meugelik,,possibly,
meule,,mill,
mich,/mɪx/,accusative of ich: me,
miener,/minər/,(personal) genitive of ich,
miert,,March (month),
mieëvórm,,comparative,
moder,,"mother, guardian, nun, woman",
moes,,mouse,
Mofers,,the dialect of Limburgish spoken in the town Montfort,
mofers,,belonging to the city Montfort,
mojertaal,,(linguistics) mother tongue,
molibdenum,[mo˧li˧bˈðeː˨nɔ˧m],(uncountable) molybdenum,
-mès,,"Delevels a word.
vrów (“queen”) → vrówmès (“woman”)",
Móldavië,,Moldova (a country in Europe),
móndjwater,,mouth wash,
Mónnako,,Monaco (a country in Europe),
mölle,,to mill,
naomswaord,,(grammar) noun,
naoventrint,,"(Maastrichtian) about, roughly, approximately",
natrium,[ˈnaː˨ðʁe˦ɔ˧m],(uncountable) sodium,
neodimium,[neː˦jo˧ˈdi˦ɱɔ˧m],(uncountable) neodymium,
neon,[ˈneː˦jɔ˧n],(uncountable) neon,
nietrogenium,[ni˧ðroː˦ˈɡeː˨ɲɔ˧m],(uncountable) nitrogen,
Nieëderlandj,,the Netherlands (a country in Europe),
nikkel,[ˈnɪ˦xəɫ],(uncountable) nickel,
niobium,[ˈɲoː˨bjɔ˧m],(uncountable) niobium,
noets,,(Maastrichtian) never,
noondemieljaar,,(Maastrichtian) dammit,
noondezju,,"(Maastrichtian) expression that displays excitement,",
november,,November (month),
Nórwaeg,,Norway (a country in Europe),
nögke,,to have sexual intercourse,
obbenuits,,(Maastrichtian) again,
Oeasteriek,,Austria (a country in Europe),
Oekerien,,Ukraine (a country in Europe),
Oesbekistan,,Uzbekistan (a country in Asia),
oets,,"(Maastrichtian) ever, always",
oktober,,October (month),
osmium,[ˈo˧zɱɔ˧m],(uncountable) osmium,
palladium,[pəˈlaː˨ɖɔ˧m],(uncountable) palladium,
pappegei,,parrot,
pezieëre,,to weigh,
piese,,"(vulgar) to urinate, piss",
Pit,,A male given name.,
platinum,[ˈplaː˨ti˧nɔ˧m],(uncountable) platinum,
plekke,,"to paste, glue",
plómb,,Someone who does not like to act when something severe,
plómbien,,female equivalent of plómb,
Poeale,,Poland (a country in Europe),
pools,,Polish,
Pools,,Polish language,
poor,,leek,
praseodimium,[pɑ˧ʁzeː˦joˈdi˦ɱɔ˧m],(uncountable) praseodymium,
preuvenemint,,(Maastrichtian) Annual culinary festival in Maastricht.,
promethium,[pɘʁˈmeː˨ðɖɔ˧m],(uncountable) promethium,
Pruses,,Germany,
pènzieëre,,to think deeply,
pèsse,,"(vulgar) to urinate, piss",
pógkèsse,,to message,
Pórtegal,,Portugal (a country in Europe),
raenger,,rain,
raengere,,to rain,
rappelere,,"(Maastrichtian, reflexive) to remember",
Remieënië,,Romania (a country in Europe),
renium,[ˈʁeː˨ɲɔ˧m],(uncountable) rhenium,
rijstartel,,(Maastrichtian) shoelace,
rodium,[ˈroː˨ɖɔ˧m],(uncountable) rhodium,
romanizieëre,,to romanize,
rubidium,[ʁyˈbi˦ɖɔ˧m],(uncountable) rubidium,
ruthenium,[ryˈðeː˨ɲɔ˧m],(uncountable) ruthenium,
ruumdje,,space,
rèlle,,to rill,
rèmme,,to put on the break,
rómme,,(obsolete) to put on the break,
Röslandj,,Russia (a country in Europe and Asia),
Rössisj,,Russian (language),
samarium,[sɑˈmaː˨ʁjɔ˧m],(uncountable) samarium,
seleen,[zɛ˧ˈleː˦n],(uncountable) selenium,
september,,September (month),
serium,[ˈseː˨ʁjɔ˧m],(uncountable) cerium,
sesium,[ˈseː˨ʃɔ˧m],(uncountable) caesium,
silikón,[zi˧l˦ˈko˦n],(uncountable) silicon,
sisi,,of course!,
sjaop,/ˈʃɔːp/,sheep,
sjeng,,A native or inhabitant of Maastricht.,
sjevraoj,,"(Maastrichtian) a shiver, tremble",
sji-jje,[ˈʃɪ˧jə],"to happen, to occur",
sjiek,,"elegant, nice, pleasant, appropriate",
sjink,,"(Maastrichtian) ham, pork from the hindquarter",
sjinkerij,,(Maastrichtian) café,
sjoen,,"beautiful, pretty, handsome, ’ne super sjoene daag",
sjoester,,(Maastrichtian) shoemaker,
sjoon,,shoe,
sjotelsplak,,(Maastrichtian) dishcloth,
sjèlle,,"to pare, peel, blanch, shell",
sjógkel,,(Maastrichtian) swing (pendulum-like object found in,
Sjótlandj,,Scotland (a constituent country of the United Kingdom),
skandium,[ˈskɑ˦ɲdʒɔ˧m],(uncountable) scandium,
slang,,hose (flexible tube),
slang,,slang,slang
slang,,slang,slang
slaope,/ˈslɔː.pə/,to sleep,
Slivvenier,,"(Maastrichtian, Christianity) our dear Lord",
slivveniersbieske,,"(Maastrichtian) ladybird, ladybug",
Slowakië,,Slovakia (a country in Europe),
Slowenië,,Slovenia (a country in Europe),
snieje,[ˈʃʲniːə],"to cut, Sniej dich neet inne vinger.Don't cut yourself",
snieë,,snow,
snieë,,to snow,
snieë,,to snow,
Spanje,,Spain (a country in Europe),
spietelik,,"expresses regret, remorse, or sorrow, sorry., Miens",
strontium,[ˈstro˦nʃɔ˧m],(uncountable) strontium,
stèlle,,"to put, set, place, to make silent",
stósse,,"to support, to help",
Sèrvië,,Serbia (a country in Europe),
sèsse,,to hiss,
sókker,,sugar,
tale,,languages,
tantalum,[tɑ˧nˈʃaː˨lɔ˧m],(uncountable) tantalum,
teater,[tɪ˧ˈjaː˨təʁ],"theatre, nonsense",
technetium,[tæxˈneː˨ʃɔ˧m],(uncountable) technetium,
teleur,,(Maastrichtian) plate,
terbium,[ˈtæ˨ʁbjɔ˧m],(uncountable) terbium,
thallium,[ˈðɑ˦ʎɔ˧m],(uncountable) thallium,
thulium,[ˈðy˦ʎɔ˧m],(uncountable) thulium,
titanium,[ti˧ˈcaː˨ɲɔ˧m],(uncountable) titanium,
tratsj,,"trash, mess, Waat 'ne tratsj höbs se dóch hie gezatj!What",trash
trèlle,,"to trill, vibrate",
Tsjèchië,,the Czech Republic (a country in Europe),
tuut,,bag,
tèlle,,"to count, calculate, reckon, to tell (a story)",
tèn,[ˈtɛ˦n],(uncountable) tin,
tönke,,to be wrong with,
tönnel,,tunnel,
Törkië,,Turkey (a country in Europe and Asia),
urenieëre,,"to urinate, piss",
vajer,,"father, guardian",
Vajer,,"Father, Lord",
vanadium,[ʋɑˈnaː˨ɖɔ˧m],(uncountable) vanadium,
varzjabel,[vɑʁ(ə)ˈʒabəl],variable,
Vatikaanstad,,"Vatican City (a city-state in Southern Europe, an enclave within the city of Rome, Italy)",
veerdeg,,"(Maastrichtian) ready, done",
vermassekrere,,"(Maastrichtian) to trash, to break",
veure,,to feed an animal,
Viëtnam,,Vietnam (a country in Asia),
vrów,,"queen, princess, (rare) woman",
vrówmès,,"woman, wife",
vèlle,,to slaughter,
vèsse,,to fish,
vósse,,to search for food,
waek,,week,
waord,,word,
waorsbook,,dictionary,
water,,"water, body of water",
waus,[ˈwɑu̯˨s],fool,
wauzin,[wɑu̯˨ˈzɛ˦n],Alternative form of wauzèn,
wauzèn,[wɑu̯˨ˈzɛ˦n],"fool, (obsolete) fool of the village/town",
weet,[weːt],nominative dual of ich,
welkom,,"(Venlo) welcome
Welkom in Limburg ― Welcome to Limburg",
wien,,wine,
wientemper,,(Maastrichtian) dragonfly,
Wietröslandj,,Belarus (a country in Europe),
wiki,/ˈwi˦kə˧/,wiki,wiki
Wikipedia,[wi˧ɡəˈpeːədia],Wikipedia,Wikipedia
Wiktionair,[ˈwi˦kʃənæː˧ʁ],Wiktionary,
woe,,"where
Woe is Sjeng? ― Where is John?",
wèlkóm,,welcome!,
wèlkóm,,welcome,
wèlle,,to get better/become healthy,
wèrkwaord,,(grammar) verb,
wólframium,[wo˧lvˈʁaː˨ɱɔ˧m],(uncountable) tungsten,
zeen,,to be,
zeen,,to see,
zeen,,to see,
Zierië,,Syria (a country in Asia),
zieë,,sea,
zink,[ˈzɪ˧ɲk],(uncountable) zinc,
zirkonium,[zɪ˧ʁˈxoː˨ɲɔ˧m],(uncountable) zirconium,
zjelous,,(Maastrichtian) jealous,
Zjezös,,(Christianity) Jesus Christ,
Zjieërzje,,Georgia (a country in Europe and Asia),
zjinneraolezieëre,,to generalise,
zjinnerieëre,,to generate,
zjittieëre,,to delete,
zjus,,"(Maastrichtian) right, correct",
zjuuere,,to judge,
zjèlle,,to be cold,
zoe,,"so, (zoe ... es) as, since, because, soon, right away,",
zoon,,son,
zwaevel,[ˈzwæː˨vəɫ],"(uncountable) sulfur, A part of sulfur",
zwart,,black,
Zwartberg,,Montenegro (a country in Europe),
Zweitsjerlandj,,Switzerland (a country in Europe),
Zwieëd,,Sweden (a country in Europe),
Zwèdsj,,"the Swedish language
Synonym: Zwieëdsj",
zwömme,,to swim,
zèlver,[ˈzɛ˨lʋəʁ],"(uncountable) silver, A part of silver",
zórgelik,,"poor, sad, regrettable",
zórgelik,,"poorly, sadly, regrettably",
zörgelik,,"poor, sad, regrettable",
zörgelik,,"poorly, sadly, regrettably",
äölentäöl,,elder (tree),
èpperglieëdjómme,,to wait for something to dry,
Èslandj,,Estonia (a country in Europe),
Èèrlandj,,Ireland (an island and country in Europe),
éstósse,,"to rest, take a long break",
óksegenium,[o˧ɡsəˈʝeː˨ɲɔ˧m],(uncountable) oxygen,
ól,,baby (a little child),
ón-,,un-,
ô,,(obsolete) ó,
ô,,oh!,
