L2_orth,L2_ipa,L2_gloss,L2_etym
aaa,,no,
amazzi,,water,
eee,,Used to signify that one is listening and understands,
eggi,,egg,*ìgɪ́
ekigere,,foot,
ekimuli,,flower,
ekyuma,/ecúːma/,"any object made of iron, ironware",
embuzi,,goat,
embwa,,dog,
ente,,"cow, cattle",
era,,and then (only used for occurrences in chronological order),
erinnyo,,tooth,
fa,,to die,
kuwola,,to lend,
kyakulya,,food,
mmm,,Used to signify that one is listening and understands,
mukulukusa,,October,
musizi,,sower[1],
musizi,,"a deciduous tree, Maesopsis eminii[2]
Synonym: (Sese dialect) musinde",
na,,and (only used if the overall statement is grammatically negative),
ne,,and (only used if the overall statement is grammatically positive),
obugazi,,width (state of being wide),
obulo,,finger millet,
obuyambi,,humanitarian,
olusozi,,mountain,
Omuganda,,A Ganda,
omukazi,,woman,
omulenzi,,boy,
omuntu,,"human, person, man (as opposed to being an animal)",
omusajja,,man (as opposed to being a woman),
omuti,,tree,
omuwala,,girl,
omuwemba,,sorghum,
Omuzungu,,"A westerner, usually a European",
omwaka,,year,
omwana,,child,
omwenge,,"traditional beer, mwenge",
omweru,,white person; Caucasian,
yee,,yes,
