L2_orth,L2_ipa,L2_gloss,L2_etym
`,,"(linguistics) is used to distinguish homographs and is put mostly on the vowels е (ѐ) and и (ѝ):
не, нѐ, се, сѐ, и, ѝ",
´,,(diacritical marks) acute accent,
ѓ,/ɟ/,The sixth letter of the Macedonian Cyrillic alphabet. Its name is ѓ /ɟə/ and it has the sound of g in argue. It is preceded by Д and followed by Е.,
Ѓ,/ɟə/,The sixth letter of the Macedonian Cyrillic alphabet.,
ѓавол,[ˈɟavɔɫ],devil,
ѓаволест,[ˈɟavɔlɛst],"devilish, impish",
ѓаволесто,[ɟaˈvɔlɛstɔ],devilishly,
ѓаволесто,[ɟaˈvɔlɛstɔ],neuter singular of ѓаволест (ǵavolest),
ѓаволка,[ˈɟavɔɫka],she-devil,
ѓаволов,[ˈɟavɔɫɔf],(relational) devil; devil's,
ѓаволски,[ˈɟavɔɫski],"devilish, diabolic",
ѓаволски,[ˈɟavɔɫski],"devilishly, diabolically",
ѓаволче,[ˈɟavɔɫt͡ʃɛ],Diminutive of ѓавол (ǵavol),
ѓаволштина,[ɟaˈvɔɫʃtina],devilry,
ѓакон,[ˈɟakɔn],deacon,
ѓаконски,[ˈɟakɔnski],(relational) deacon,
ѓаконство,[ˈɟakɔnstvɔ],deaconship,
ѓаур,[ˈɟaur],"(religious slur, archaic) non-Muslim, kafir",
ѓаурка,[ˈɟaurka],female non-Muslim,
ѓеврек,[ˈɟɛvrɛk],bagel (usually with sesame seeds),
ѓеврече,[ˈɟɛvrɛt͡ʃɛ],Diminutive of ѓеврек (ǵevrek),
ѓезве,[ˈɟɛzvɛ],coffee pot,
ѓердан,[ˈɟɛrdan],necklace,
ѓерданче,[ˈɟɛrdant͡ʃɛ],Diminutive of ѓердан (ǵerdan),
ѓоа,[ˈɟɔa],"allegedly, supposedly",
ѓомлезе,[ˈɟɔmlɛzɛ],"gözleme, a savoury traditional Turkish handmade and",
ѓомлезец,[ˈɟɔmlɛzɛt͡s],"gözleme, a savoury traditional Turkish handmade and",
ѓон,[ɟɔn],"sole (shoe), (slang) very drunk person",
ѓубре,[ˈɟubrɛ],"garbage, trash, litter",
ѓубренце,[ˈɟubrɛnt͡sɛ],Diminutive of ѓубре (ǵubre),
ѓубретар,[ɟubrɛˈtar],"garbage collector, garbageman",
ѓубретарски,[ɟubrɛˈtarski],(relational) garbage collector,
ѓубри,[ˈɟubri],"(transitive) to fertilize, manure",
ѓубриво,[ˈɟubrivɔ],fertilizer,
ѓуле,[ˈɟulɛ],cannonball,
ѓум,[ɟum],"bucket, can, a large metal jug, canister",
ѓумбир,[ˈɟumbir],"ginger (plant, spice)",
ѓупски,[ˈɟupski],(relational) Gypsy,
Ѓуптин,[ˈɟuptin],(offensive) Gypsy,
Ѓуптинка,[ˈɟuptiŋka],(offensive) female Gypsy,
ѕ,/d͡z/,The tenth letter of the Macedonian Cyrillic alphabet. Its name is ѕ /d͡zə/ and it has the sound of ds in birds or dz in adze. It is preceded by З and followed by И.,
Ѕ,,The tenth letter of the Macedonian Cyrillic alphabet.,
Ѕвезда,[ˈd͡zvɛzda],"A female given name, variant of Ѕвездана (Dzvezdana),",
ѕвездолик,[ˈd͡zvɛzdɔlik],star-shaped,
ѕвек,[d͡zvɛk],"clang, clank",
ѕвер,[d͡zvɛr],"beast, (slang) cool, awesome person (male)",
ѕверови,[ˈd͡zvɛɾɔvi],"plural of ѕвер (dzver, “beast”)",
ѕверче,[ˈd͡zvɛrt͡ʃɛ],Diminutive of ѕвер (dzver),
ѕвечалка,[ˈd͡zvɛt͡ʃaɫka],rattle,
ѕвечало,[ˈd͡zvɛt͡ʃaɫɔ],rattle,
ѕвечарка,[ˈd͡zvɛt͡ʃarka],rattlesnake,
ѕвечи,[ˈd͡zvɛt͡ʃi],"(intransitive) to clang, rattle",
ѕвечка,[ˈd͡zvɛt͡ʃka],rattle (toy),
ѕвечлив,[ˈd͡zvɛt͡ʃlif],"clanging, ringing, resonant",
ѕвизак,[ˈd͡zvizak],two-year-old ram,
ѕвиска,[ˈd͡zviska],two-year-old sheep (female),
ѕвиска,[ˈd͡zviska],(transitive) to neigh (of a horse),
ѕвонар,[ˈd͡zvɔnar],bellringer,
ѕвони,[ˈd͡zvɔni],"(intransitive) to ring, (intransitive) to telephone,",
ѕвонлив,[ˈd͡zvɔnlif],"ringing, resonant",
ѕвоно,[ˈd͡zvɔnɔ],bell (large),
ѕврцне,[ˈd͡zvr̩t͡snɛ],"(intransitive, semelfactive, nonstandard) to give a ring, give a buzz",
ѕе,[d͡zɛ],peekaboo,
ѕевгар,[ˈd͡zɛvɡar],a pair of oxen yoked together,
ѕемне,[ˈd͡zɛmnɛ],"(intransitive) to freeze, be cold",
ѕенѕа,[ˈd͡zɛnd͡za],(transitive) to rock (e.g. a baby),
ѕиври,[ˈd͡zivri],"(plural only) long johns, thermal underwear",
ѕид,[d͡zit],wall,
ѕида,[ˈd͡zida],(transitive) to build,
ѕидар,[ˈd͡zidar],"mason, bricklayer",
ѕидарски,[ˈd͡zidarski],(relational) mason,
ѕидарство,[ˈd͡zidarstvɔ],masonry,
ѕиден,[ˈd͡zidɛn],(relational) wall,
ѕидина,[ˈd͡zidina],"wall (of a castle, fortress, etc.)",
ѕирка,[ˈd͡zirka],peephole,
ѕирка,[ˈd͡zirka],"(transitive) to peek, look at secretly",
ѕирне,[ˈd͡zirnɛ],"(transitive, semelfactive) to take a peek, look at secretly",
ѕрн,[d͡zr̩n],ringing onomatopeia,
ѕрцки,[ˈd͡zr̩t͡ski],"(colloquial, plural only) peepers (i.e. eyes)",
ѕуница,[ˈd͡zunit͡sa],(rare) rainbow,
ѕунлив,[ˈd͡zunlif],melodious,
ѕури,[ˈd͡zuɾi],"(intransitive) to stare, gaze",
ј,/j/,"The twelfth letter of the Macedonian alphabet, written in the Cyrillic script.",
-јќи,[ˈjci],Appended to the imperfect stem of imperfective verbs to form a verbal adverb (adverbial participle).,
јајник,[ˈjajnik],ovary,
јајце,[ˈjajt͡sɛ],"egg, (colloquial) testicle",
јајцев,[ˈjajt͡sɛf],(relational) egg,
јајцевод,[ˈjajt͡sɛvɔt],oviduct,
јајценосен,[jajˈt͡sɛnɔsɛn],"egg-laying, oviparous",
јајценце,[ˈjajt͡sɛnt͡sɛ],Diminutive of јајце (jajce),
јајцест,[ˈjajt͡sɛst],"egg-shaped, oval",
јајчен,[ˈjajt͡ʃɛn],ovular,
јајчест,[ˈjajt͡ʃɛst],"egg-shaped, oval, ovate",
јајчник,[ˈjajt͡ʃnik],ovary,
јабанџија,[jaˈband͡ʒi(j)a],"(archaic) foreigner, stranger",
јаболкница,[jaˈbɔɫknit͡sa],apple tree,
јаболко,[ˈjabɔɫkɔ],apple,
јаболков,[ˈjabɔɫkɔf],(relational) apple,
јаболче,[ˈjabɔɫt͡ʃɛ],Diminutive of јаболко (jabolko),
јаболчест,[ˈjabɔɫt͡ʃɛst],apple-shaped,
јаболчница,[jaˈbɔɫt͡ʃnit͡sa],cheekbone,
јава,[ˈjava],(transitive) to ride (to transport oneself by sitting,
јава,[ˈjava],"reality, the state opposite of the sleeping or dreaming",
јава,[ˈjava],"reality, the state opposite of the sleeping or dreaming",
Јава,[ˈjava],"Java (an island in Indonesia, the world's most populous island)",
ЈаваСкрипт,[ˈjavaˈskript],"(programming, computer languages) JavaScript",
јавач,[ˈjavat͡ʃ],"rider, horseman",
јавачка,[ˈjavat͡ʃka],female horserider,
јавачки,[ˈjavat͡ʃki],"(relational) riding, rider",
јаве,[ˈjavɛ],"reality, real life",
јавен,[ˈjavɛn],public,
јавен,[ˈjavɛn],masculine singular adjectival participle of јави (javi),
јави,[ˈjavi],(transitive) to convey (especially by telephone),
јавне,[ˈjavnɛ],"(transitive) to mount, start to ride",
јавност,[ˈjavnɔst],public,
јавор,[ˈjavɔr],maple (tree),
јавува,[ˈjavuva],(transitive) to convey (especially by telephone),
јаглен,[ˈjaɡlɛn],"coal, charcoal, Synonym: ќумур (ḱumur)",
јаглениса,[jaɡˈlɛnisa],(transitive) to char,
јагленисува,[jaɡlɛˈnisuva],(transitive) to char,
јагленов,[ˈjaɡlɛnɔf],(relational) carbon,
јагленокоп,[jaɡlɛnɔˈkɔp],"coal mine, colliery",
јагленче,[ˈjaɡlɛnt͡ʃɛ],ember,
јаглерод,[ˈjaɡlɛɾɔt],carbon,
јаглероден,[jaɡˈlɛɾɔdɛn],carbon,
јаглехидрат,[jaɡlɛxidˈrat],carbohydrate,
јаглика,[ˈjaɡlika],primrose,
јагне,[ˈjaɡnɛ],lamb,
