L2_orth,L2_ipa,L2_gloss,L2_etym
ইসিং,,Bengali script form of ꯏꯁꯤꯡ,
মনিপুরী,,Manipuri (language),
ꯀꯩ,,tiger.,
ꯀꯩ,,"granary., storehouse.",
ꯀꯩ,,"granary., storehouse.",
ꯁ,,"Manipuri letter named ꯁꯝ (sam), representing initial /s/ and sometimes final /-s/.",
ꯁꯡꯁꯀꯔꯤꯠ,,Alternative form of ꯁꯡꯁ꯭ꯀ꯭ꯔꯤꯠ (sangs͟k͟rit),
ꯄꯦꯡꯕ,/peŋ.ba/,Osteobrama belangeri (a species of freshwater fish),
ꯄꯨꯋꯥꯔꯤ,/pu.wa.ɾi/,history,
ꯅꯨꯃꯤꯠ,/nu.mit/,sun.,
ꯅꯨꯡ,,"stone, rock",
ꯆꯤꯅꯥ,,China,
ꯈꯨꯡꯒꯪ,,village.,
ꯊꯝꯕꯥꯜ,/tʰəm.bal/,lotus,
ꯊꯥꯅꯤꯜ,,moon,
ꯌꯦꯔꯨꯝ,/je.ɾum/,egg,
ꯌꯦꯟ,/jen/,chicken,
ꯍꯧ,,no,
ꯎꯈꯨꯔꯨꯜ,,Ukhrul,
ꯏꯁꯤꯡ,/í.siŋ/,water,
ꯑꯉꯥꯡ,/ə.ŋaŋ/,"child, baby",
ꯑꯥꯌꯨꯕꯦꯗ,/a.jur.be.də/,Ayurveda,
ꯔꯥꯃꯥꯌꯟ,/ra.ma.jən/,"(Hinduism, literature) Ramayana",
