L2_orth,L2_ipa,L2_gloss,L2_etym
abuwan,,kitchen,
alukuy,,friend,
anak,,child,
asawa,,spouse; husband; wife,
asu,,dog,
atelug,,egg,
baley,,house,
balita,,news,
basak,,mud,
batu,,stone; rock,
belad,,(anatomy) hand,
bibig,,(anatomy) mouth; lip,
bintana,,window,
bulak,,flower,
bulan,,month,
bulbul,,(anatomy) hair,
busew,,demon,
dahat,,sea,
dalan,,way; path,
dalid,,root (of plants),
dalu,,sickness,
dile,,(anatomy) tongue,
etew,,human; person,
gunting,,scissor,
igsile,,east,
inse,,question,
irung,,(anatomy) nose,
karni,,meat,
kayu,,wood,
keenen,,food,
kudde,,horse,
kuntee,,now,
langesa,,blood,
langit,,heaven; sky,
lapis,,pencil,
lekeb,,door,
lem-ag,,breakfast,
libru,,book,
lukes,,boy; male,
mabasuk,,industrious; hardworking,
makehal,,hard; firm,
malalab,,red,
malayat,,tall,
malised,,hard; difficult,
maralem,,deep,
ngaran,,name,
ngipen,,(anatomy) tooth,
palapala,,(anatomy) foot,
pali,,(medicine) wound,
pamaahi,,method,
pamanayen,,shoulder,
sabeka,,one,
sapatus,,shoe,
seeg,,floor,
seleppi,,money,
talinga,,ear,
ulu,,(anatomy) head (part of the body),
uras,,hour,
