L2_orth,L2_ipa,L2_gloss,L2_etym
abazour,,lampshade,
abdomenn,/abdomɛn/,"abdomen, the part of the body of a vertebrate containing",
abes,/abese/,Medial form of abese,
abese,/abese/,"to demean oneself, belittle, abase, denigrate, humiliate,",
abime,/abime/,"to damage, to spoil, Synonyms: andomaze, gate, ruine",
adverb,/advɛːb/,adverb,
adverbial,/advɛːbjal/,adverbial,
Afgan,[afɡɑ̃],an Afghan,
afgan,[afɡɑ̃],any of the languages native to Afghanistan.,
afgan,[afɡɑ̃],Afghan,
Afganistan,[afɡanistɑ̃],Afghanistan (a country in Asia),
agrikilter,[aɡʁikiltɛː],"One that does agriculture; a planter, Synonym: planter",
agrikiltir,[aɡʁikiltʃiːə],agriculture,
aja,/adʒa/,"grandfather, Synonym: granper",
aji,/adʒi/,"grandmother, Synonym: granmer",
akseptab,/akseptab/,"acceptable., Synonym: tolerab",
akseptabilite,/akseptabilite/,acceptability,
akseptans,/akseptɑ̃s/,acceptance,
aksepte,/aksepte/,to accept.,
Albane,[albane],an Albanian,
albane,[albane],the Albanian language,
albane,[albane],Albanian,
Albani,[albani],Albania (a country in Europe),
ale,,To go,
Alman,,German person,
alvida,/alvida/,"goodbye, Synonyms: orevwar, bye",
Alzeri,[alzeʁi],Algeria (a country in Africa),
Alzerien,[alzɛːjɛ̃],an Algerian,
alzerien,[alzɛːjɛ̃],the Algerian Arabic language,
alzerien,[alzɛːjɛ̃],Algerian,
amerikin,,American,
Amerikin,,American person,
amize,/amize/,"to amuse, to entertain, to have fun, to enjoy oneself",
anba,/ɑ̃ba/,"downstairs, Antonym: lao",
anba,/ɑ̃ba/,"downstairs, Antonym: lao",
anba,/ɑ̃ba/,"under; below; underneath, Antonyms: lao, lor",
andomaze,/ɑ̃domaze/,"to damage, Synonyms: abime, gate",
andomazman,/ɑ̃domazmɑ̃/,"damage, Synonym: dega",
Andor,[ɑ̃doː],Andorra (a country in Europe),
Andoran,[ɑ̃doʁɑ̃],an Andorran,
andoran,[ɑ̃doʁɑ̃],Andorran,
angaze,,engaged (of phone lines),engaged
angiy,,eel,
angle,,English language,
angle,,English,
Angle,,English person,
Angola,[ɑ̃ɡola],Angola (a country in Africa),
Angole,[ɑ̃ɡole],an Angolan,
angole,[ɑ̃ɡole],Angolan,
anons,/anɔ̃s/,"announcement, advertisement, Synonyms: piblisite, reklam",
anons,/anɔ̃s/,Medial form of anonse,
anonse,/anɔ̃se/,to announce,
antere,[ɑ̃teʁe],to bury; inter,
Antigwa,[ɑ̃t(ʃ)iɡwa],Antigua (an island),
Antigwayen,[ɑ̃t(ʃ)iɡwajɛ̃],an Antiguan,
anvi,,To feel like (doing something) (a conditional marker),
anvole,,to fly,
ape,/(a)pe/,(auxiliary) Used to indicate present progressive tense,
Armeni,[ɑːmeni],Armenia (a country in Europe and Asia),
Armenien,[ɑːmenjɛ̃],an Armenian,
Arzantin,[ɑːzɑ̃tɛ̃],an Argentine,
arzantin,[ɑːzɑ̃tɛ̃],Argentine,
Arzantinn,[(l)ɑːzɑ̃tʃin],Argentina (a country in South America),
aste,,to buy,
aster,,"now, at this moment",
aster,,buyer,
aster,,buyer,
aswar,/aswɑː/,"tonight, this evening",
ato,/ato/,"paternal aunt, Synonym: matant",
avantyer,,the day before yesterday,
aveg,,blind,
aveg,,a blind person,
avoye,,to send,
avril,,April,
avyon,,airplane,
Azerbaijan,[azɛːbajdʒɑ̃],Azerbaijan (a country in Europe and Asia),
Azeri,[azeʁi],an Azerbaijani,
Baamas,[ba.a.mas],Bahamas (an archipelago and country in the Caribbean),
Baameen,[ba.a.me.ɛ̃],a Bahamian,
bachara,[batʃaʁa],"(vulgar) dickhead, bastard, a stupid person, thug",
badin,,"cane, walking stick",
badinaz,,"joke, gag, trick, prank",
badine,,"to joke, to trick, wind up",
bagar,,"quarrel, fight",
balanse,,"to swing, to balance, to hang (from)",
balye,,broom,
balye,,to sweep,
balye,,to sweep,
bambara,,Alternative form of banbara,
banan,,banana,
banbara,,"sea slug, sea cucumber, (vulgar) penis",
bann-la,,"they, them (third-person plural personal pronoun)",
baobab,,"the baobab tree, a type of concrete",
Barbida,[bɑːbyda],Barbuda (an island),
Bareyn,[baʁejn],Bahrain (a country in Asia),
Bareyni,[baʁejni],a Bahraini,
batay,,"quarrel, fight",
batimen,,building,
bato,,boat,
baton,,stick,
baya,,Alternative form of bayo,
bayo,,"brother, friend, mate",
belfi,,daughter-in-law,
belmer,,mother-in-law,
belna,/belna/,a rolling pin,
belser,,sister-in-law,
benediksyon,,"blessing, benediction",
benitye,,the vessel used for storing Holy Water in Roman Catholic,
bezwin,/bezwɛ̃/,"wants, needs, excrement, Synonyms: exkreman, kaka,",
bienelve,/bjɛ̃nelve/,"well-mannered, Antonym: malelve",
bigorno,,sea snail,
bilenbi,,the fruit Averrhoa bilimbi,
bisiklet,,bicycle,
bizin,[bizɛ̃],"maybe; perhaps, Synonyms: devet, kapav",
bizin,[bizɛ̃],to need,
bofis,,son-in-law (dialectal),
bofrer,,brother-in-law,
bolom,,Alternative form of bonom,
bomaten,,morning,
bombli,,"Bombay duck, Harpadon nehereus",
Bondie,/bɔ̃dʒje/,God.,
Bondye,,God,
bonnwi,,goodnight,
bonom,,"gentleman, old man, husband",
bonswar,,good evening,
bonzour,,"hello, good morning",
bonzur,,good morning,
boper,,father-in-law,
boug,,"guy, chap, fellow",
boukou,,"many, numerous",
boulanzeri,,bakeri,
briani,,biryani,
buyon,,bouillon,
bwar,,to drink,
bwat,,"box, can, tin",
bye,/baj/,"bye, goodbye",bye
byen,,good,
byen,,well,
chabi,,key,
chacha,/tʃatʃa/,"uncle, Synonyms: mama, tonton",
chawki,/tʃəwki/,a rolling-board,
cheri,/ʃeʁi/,"darling, sweetheart, Synonym: gate",
chombo,,stop,
chombo,,"to hold on, to grab hold of",
chor,/tʃoɾ/,thief; robber; fraudster,
chula,/tʃul(h)a/,"fireplace, fire",
chup,[tʃup],"silent, quiet, still",
chup,[tʃup],"keep quiet, shush, shut up",
chupchap,,"shut up, stay quiet",
churel,,"witch, ghost",
dada,/dada/,"paternal grandfather, Hypernym: granper",
dada,/dada/,"older brother, Hypernym: frer",
dada,/dada/,"older brother, Hypernym: frer",
dadi,/dadi/,"paternal grandmother, Synonym: granmer",
dal,[dal],"any of many dried husked pulses (legume), including",
