L2_orth,L2_ipa,L2_gloss,L2_etym
-ա-,,"an agglutinating interfix, մգլահոտ ― mglahot ― smelling",
աալուսան,,Alternative form of ալուսան (alusan),
ազդար,,"glossed in Baṙgirkʿ hayocʿ as պարապար (parapar, “equal”)",
ալաժահր,,a kind of buckthorn berry that is used as a yellow,
ալմաս,,diamond,
ալմաստ,,Alternative form of ալմաս (almas),
ալոճ,,"hawthorn (fruit and shrub), Synonym: զայրուր (zayrur),",
ալուճ,,Alternative form of ալոճ (aloč),
ալուճ,,"a kind of medicinal plant, 1478 – 1492, Amirdovlatʿ",
ալուճ,,"a kind of medicinal plant, 1478 – 1492, Amirdovlatʿ",
ալուսան,,"alyssum (Alyssum; according to Vardanjan, specifically",
ալքիմիա,,alchemy [17th c.],
ակնթարթ,,blink of an eye,
Ահգուն,,"A female given name, 1618, Aristakēs erēcʿ, Colophon",
Ահգուննամէ,,"A female given name, 1621, Ṙstakēs erēcʿ, Colophon",
ահոկ,,"harm, fault, blame",
աճուկ,,groin (the fold or depression on either side of the,
Ամաթուն,,"An unknown-gender given name, 1292, Inscription (Tombstone",
աման,,"vessel, container, tortoiseshell",
Ամատ,,A male given name,
այալուսան,,Alternative form of ալուսան (alusan),
Այգուն,,"A female given name, 1604, Colophon (Van manuscript) :[1]",
այրիկ,,"man, adult male, husband, այրիկ առնուլ ― ayrik aṙnul",
-ան,,forming nouns and adjectives,
-ան-,,forming inchoative verbs,
ան-,,without; -less,
անատակ,,bottomless (said of a sea),
անգուժատ,,"asafoetida, 1184, Mxitʿar Heracʿi, J̌ermancʿ mxitʿarutʿiwn",
անդամ,,"limb, member (of the body), (anatomy) thighbone, femur",
անդամն,,Alternative form of անդամ (andam),
աներձագ,,brother-in-law (wife’s brother),
անիսոն,,"anise, Pimpinella anisum (plant and seed), 1184, Mxitʿar",
ապիկի,,"glass (material), ապիկու խոտ, փրփուր, ֆրփուր ― apiku",
ապիկի,,"glass, made of glass",
առուոյտ,,"alfalfa, lucerne, Medicago sativa, 6th–12th? centuries,",
ասագ,,Alternative form of ասախ (asax),
ասախ,,"law, prohibition, ban, ասախ առնել, եասախ անել ― asax",
ասլի,,"(of vine) rooted, taken root, noble, pure, true-born",
ասփուր,,"safflower, Carthamus tinctorius, Synonym: ղրտում (łrtum),",
ատակ,,Alternative form of յատակ (yatak),
արգատ,,superfluous branches cut off from a vine and used for,
արճիճ,,"lead (metal), 1289, Mxitʿar Ayriwanecʿi, Nor Patmutʿiwn",
արշալոյս,,dawn,
արշալուս,,Alternative form of արշալոյս (aršaloys),
արտորալ,,"(intransitive) to hurry, to make haste, 13th century,",
արտուտ,,lark,
աւագ,,greater; elder; chief; main; noble,
աւշակ,,"gum ammoniac, ammoniacum, 6th–12th? centuries, Baṙkʿ",
-աւոր,,forming adjectives,
ափիոն,,opium,
ափսոս,,alas!,
բաբան,,catapult,
բազուկ,,"arm, forearm (of humans and animals), (figuratively)",
բալ,,"sweet cherry (fruit), sour cherry (fruit)",
բալախ,,"common glasswort (Salicornia europaea), 1478 – 1492,",
բակլայ,,"broad bean, Vicia faba",
բամբակ,,cotton,
բաջառել,,"to tell myths, fables",
բասար,,"sense, reason, wisdom, 16th century, Grigoris Ałtʿamarcʿi,",
բարբուզան,,"leafy goosefoot, Blitum virgatum[4], 1614 – 1622, Asar",
բարտի,,poplar,
բեղ,,moustache,
բզրկատուն,,"fleawort, psyllium, Plantago psyllium (plant and seeds),",
բիճ,,"bastard, illegitimate child, 1252 – 1253, Smbat Sparapet,",
բլբուլ,,nightingale,
բլբուլ,,"(figuratively) mealy-mouthed, smooth-tongued; eloquent",
բղուղ,,jar,
բղջուն,,having a swelling,
բոզ,,"whore, prostitute",
բոզաւագ,,"whoremaster, pimp, procurer, 12–13th century, Vardan",
բոկեղ,,"a kind of round soft bread[4], 14th century, Grigor",
բռինչ,,"hackberry, the fruit of the nettle tree (Celtis spp.),",
բռնչի,,"nettle tree (Celtis spp.), Synonym: տաղօնաղաճի (tałōnałači),",
գազար,,"carrot (Daucus carota), Synonym: ստեպղին (stepłin)",
գերմաստի,,"wayfaring-tree, Viburnum lantana, 6th–12th? centuries,",
դարշիշան,,"Calicotome spp., 1478 – 1492, Amirdovlatʿ Amasiacʿi,",
դեղին,,yellow,
դուռայ,,"a kind of coat, dress",
եասախ,,Alternative form of ասախ (asax),
եասաղ,,Alternative form of ասախ (asax),
եղրեւանի,,common lilac (Syringa vulgaris)[3] (shrub),
-ենի,,forming names of trees and shrubs,
երէց,,"presbyter, priest",
երիցուկ,,Alternative form of իրիցուկ (iricʿuk),
երնջնակ,,"field eryngo, Eryngium campestre, 1478 – 1492, Amirdovlatʿ",
զաղառ,,"hound, hunting dog",
զաղար,,Alternative form of զաղառ (załaṙ),
զանկ,,"bell, 13th century, Vahram Rabuni ",
զարտագուն,,a kind of yellow flower,
զկեռ,,"medlar (fruit and tree), 14th century, Grigor Tatʿewacʿi,",
զմիւռնեա,,"moray eel, 12–13th century, Mxitʿar Goš, Aṙakkʿ [Fables]",
զրեհ,,chain mail,
զրիշկ,,"common barberry, Berberis vulgaris, Synonyms: կոծոխուր",
էրիկ,,"Alternative form of այրիկ (ayrik)
էրիկ տալ ― ērik tal ― to give in marriage (to a man)",
թագւոր,,"king, bridegroom (because he carries a crown during",
թաթպան,,glove [14th century],
թան,,tan (a kind of drink),
թառ,,"roosting perch, a bar from which fruits (e.g. grapes)",
թառափ,,"a kind of sturgeon, finished 1731, Stefanus Roszka,",
թառել,,"to perch, to roost, to go to roost",
թարթել,,to blink,
թարթիչ,,eyelash,
թարխուն,,tarragon (Artemisia dracunculus),
թեպուր,,feather,
