L2_orth,L2_ipa,L2_gloss,L2_etym
ইন্দিয়া,/ind̪i(e̯)ɑ/,"India (Indian subcontinent) [17th c.], Synonym: হিন্দুস্তান",
উম,/um(ɒ)/,"hatching (egg), Synonym: তা (tā)",
ওম,/om(ɒ)/,"warmth, heat, Synonym: তাও (tāo)",
খুবি,,"beautifully, a. 17th c. C.E.,  সৈয়দ আলাওল [Syed Alaol],",
খুবি,,beauty,
গহির,/ɡɒ(ɦ)iɾ(ɒ)/,"deep, Synonym: গহিরা (gahirā)",
গহিরা,/ɡɒ(ɦ)iɾɑ/,"deep, Synonym: গহির (gahira)",
গহীন,,"deep, unfathomable, c. 17th c.,  Dvija Kanai,  Mahua:তুমি",
ঘর,/ɡʱɒɾ(ɒ)/,"a house, c. 18th c.,  Rāmeśvar,  Śivasaṅkīrttana:ঠেকাঠেকি",
জোলফ,,"locks of hair, 1813,  জয়নারায়ণ ঘোষাল [Jaynarayan",
তে,,"he, they",
দালাল,,"broker, agent, a. 16–18th c. C.E., সতীশ চন্দ্র রায়",
দুকান,,"shop, 1743,  Manoel da Assumpçam,  Crepar Xastrer Orth,",
দেল,,"heart, mind",
বদরা,/bɒd̪ɾɑ/,"perverse, unpleasant, insuitable, 1743,  Manoel da",
বসিন্দা,,"resident, 1743,  Manoel da Assumpçam,  Crepar Xastrer",
বোতাম,,button,
ভড়,,Alternative form of ভড়ি (bhaṛi),
ভড়ি,,"the portion of the body from the loins downward, the",
মুকেরি,/mukeɾi/,one who lets out bullocks,
মুলুক,,"jurisdiction, territory",
মুল্তানী,,a man from Multan,
মেকুর,/mekuɾɒ/,a cat,
মোকাম,,"residence, dwelling",
শুন,/ʃunɒ/,empty; void,
শূণ,/ʃuɳɒ/,alternative form of শুন (śuna),
শূন,,alternative spelling of শুন (śuna),
সূন,,alternative spelling of শুন (śuna),
হাবেসি,/ɦɑbeʃi/,an Abyssinian,
হিন্দুস্তান,,"Hindustan (northern region of India), Synonym: ইন্দিয়া",
