L2_orth,L2_ipa,L2_gloss,L2_etym
अं,[ə̃ː],mango,
अंगः,[ə̃ːɡəː],wall,
अंग्रेजी,[ə̃ːɡɾed͡ʑiː],English (language),
अउल,[əulə],malaria,
अजा,[əd͡ʑa],paternal grandfather,
अजि,[əd͡ʑi],paternal grandmother,
अपा,[əpa],brick,
अबु,[əbu],father,
अम्पि,[əmpi],spleen,
अम्बः,[əmbəː],gooseberry,
अर्थपूर्ण,[əɾtʰəpuːɾnə],"meaningful, expressive",
अलःमा,[ələːma],castor oil plant,
अल्याख,[əljakʰə],(mathematics) infinity,
अहङ्कार,[əhəŋkaɾə],"pride, haughtiness, egotism, ahamkara",
आइतबाः,[aitəbaː],Sunday,
आखः,[akʰəː],"alphabet, letter (of the alphabet)",
आन्ध्रप्रदेश,[andʱɾə pɾədes],Andhra Pradesh,
आफ्वः,[apʰwɔː],blue lotus,
आम्पां,[ampãː],anus,
आलु,[alu],plastic,
आलुपहः,[alupəhəː],(physics) plasticity,
इखुं,[ikʰũː],swallow,
इमा,[ima],eagle,
इमू,[imuː],ant,
इसि,[isi],raspberry,
इस्लाम,[islam],Islam,
इहिपा,[ihipa],marriage,
ईं,[ĩː],sickle,
ईलचं,[iːlət͡ɕə̃ː],clock,
उंथ,[ũːtʰə],camel,
एला,[ela],cardamom,
ओहायो,[ohajo],Ohio,
कँय्,[kɛ̃ː],bronze,
कःनि,[kəːni],maize,
कताँमरी,[kətãməɾiː],doll,
कथु,[kətʰu],neck,
कपा,[kəpa],forehead,
कल,[kələ],"machine, device",
कलाः,[kəlaː],wife,
कल्किझंगः,[kəlkid͡ʑʱə̃ːɡəː],drongo,
कवं,[kəwɔ̃ː],skeleton,
कस्ति,[kəsti],honey,
कस्तिहा,[kəstiha],honeybee,
कापः,[kapəː],textile,
काय,[kajə],son,
कासा,[kasa],"sport, game",
कि,[ki],grain,
किं,[kĩː],fastener,
किचः,[kit͡ɕəː],shadow,
किपू,[kipuː],Kirtipur,
किसि,[kisi],elephant,
की,[kiː],insect,
कुँ,[kũ],smoke,
कुँइँ,[kũĩ],"knife, Synonym: चुसि (cusi)",
कुचाखापा,[kut͡ɕakʰapa],Dutch door,
कुलांझंगः,[kulãːd͡ʑʱə̃ːɡəː],cuckoo,
क्वः,[kwɔː],crow,
क्षितिज,[t͡ɕʰitid͡ʑ],horizon,
खा,[kʰa],glass,
खा,[kʰa],chicken,
खा,[kʰa],chicken,
खाता,[kʰata],bed,
ख्युं,[kʰjũː],darkness,
गा,[ɡa],trench,
गालि,[ɡali],fan (electrical or handheld),
ग्याये,[ɡjaje],to fear,
ग्वालि,[ɡwali],heel,
घः,[ɡʱəː],"(Khvapa) injury, wound",
घःचा,[ɡʱəːt͡ɕa],wheel,
घाँय्,[ɡʱæ̃ː],grass,
घाः,[ɡʱaː],"injury, wound",
घौ,[ɡʱəu],hour,
ङ,[ŋə],(Dolakhae) fish,
चा,[t͡ɕa],night,
चाकुहि,[t͡ɕakuhi],sweet potato,
चासु,[t͡ɕasu],itch,
चासु,[t͡ɕasu],to be itchy,
चासु,[t͡ɕasu],itchy,
चाहिलिगु,[t͡ɕahiliɡu],travel,
चि,[t͡ɕi],salt,
