L2_orth,L2_ipa,L2_gloss,L2_etym
ก่อ,,"Channa micropeltes, a type of fish",
ก่อ,,used at the end of yes-no questions,
ก่อ,,used at the end of yes-no questions,
กะแอน,,Alternative form of ᨠᩋᩯ᩠ᨶ,
กือ,,Alternative form of ᨠᩨ.,
กื๋อ,,Alternative form of ᨠᩨ.,
จอ,,a type of Northern Thai soup.,
จอ,,to cook into such soup.,
เจ้า,,"used by females to express affirmation, assent, agreement, acceptance, or acknowledgement.",
เจ้า,,"a first person pronoun, employed by females.",
เจ้า,,"a particle used at the end of a sentence, employed by females.",
ตาล,,palmyra palm,
ตุ้ย,,fat,
บาป,,Alternative form of ᨷᩤ᩠ᨷ,
แปง,,Alternative form of ᨻᩯ᩠ᨦ,
แปง,,Alternative form of ᨻᩯ᩠ᨦ,
พลู,,betel,
แพง,,to be possessive,
แพง,,beloved; cherished,
ฟ้อน,,to perform the dance,
ภาษา,,language,
ละแอน,,Alternative form of ᩉᩖᩋᩯ᩠ᨶ,
สาวก,,disciple,
หละแอน,,Alternative form of ᩉᩖᩋᩯ᩠ᨶ,
เหตุ,,"cause, reason",
แห่แหน,,to walk in a procession,
อิด,/ʔǐt/,Alternative form of ᩋᩥ᩠ᨯ,
ฮัก,,Alternative form of ᩁᩢ᩠ᨠ.,
ฮัก,,Alternative form of ᩁᩢ᩠ᨠ.,
ฮับ,,Alternative form of ᩁᩢ᩠ᨷ.,
ᨠ᩠ᩅᩣ᩠ᨦ,,deer,
ᨠᩋᩯ᩠ᨶ,,fingerroot (Boesenbergia rotunda).,
ᨠᩡᩋᩯ᩠ᨶ,,Alternative form of ᨠᩋᩯ᩠ᨶ,
ᨠᩣᨼᩯ,,coffee.,
ᨠᩨ,,(one) hundred million.,
ᨠᩱ᩵,,chicken,
ᨡᩮᩢ᩶ᩣᨧᩲ,,understand,
ᨡᩱ᩵,,egg,
ᨢ᩠ᩅᨯ,,bottle,
ᨤ᩠ᩅᩣ᩠ᨿ,,water buffalo.,
ᨤᩢ᩠ᨶᨤᩣ᩠ᨠ,,toad,
ᨤᩫ᩠ᨶ,,"human, person, people",
ᨥᩁᩣᩅᩤᩈ,,layperson,
ᨦᩪ,,snake,
ᨧᩮᩢ᩶ᩣ,/t͡ɕa᷇w/,you,
ᨧᩲ,,heart,
ᨩ᩶ᩣ᩠ᨦ,,elephant,
ᨩᩬᨦ,/tɕɔŋ/,bed.,
ᨩᩲ᩶,,to use,
ᨬᩥ᩠ᨦ,,woman.,
ᨯᩣ᩠ᩅ,,star.,
ᨯᩥ᩠ᨶ,,"earth, dirt",
ᨯᩦ,,good,
ᨯᩮᩥᩬᩁ,,Misspelling of ᨯᩮᩬᩥᩁ (“moon”).,
ᨯᩮᩬᩥᩁ,,"moon., month.",
ᨲᩣ᩠ᩃ,,palmyra,
ᨲᩪ,,"we, us (exclusive)",
ᨲᩮᩢ᩵ᩣ,,turtle; tortoise.,
ᨳᩴ᩶ᩣ,,Misspelling of ᨳ᩶ᩣᩴ.,
ᨳ᩶ᩣᩴ,,cave.,
