L2_orth,L2_ipa,L2_gloss,L2_etym
2A0,/ˈtuː.ɑː.nʉl/,"A standard paper size, defined by ISO 216., dimensions:",
a,,"The first letter of the Norwegian Bokmål alphabet,",
a,,"the letter a, the first letter of the Norwegian alphabet,",
a,,"atto-, prefix for 10-18 in the International System",
a,,"an are, a unit of area one hundredth of a hectare;",
a,,Alternative spelling of à,
a,,"(used in Latin expressions, before a consonant) from,",
a,,"(used in Italian expressions, before a consonant) from,",
a,,"(dialectal, used enclitically after a conjunction or",
a,,"expression of surprise or horror, Lua error: not enough",
a,,"expression of anger or sorrow, especially with a personal",
a,,"atto-, prefix for 10-18 in the International System",
a,,"an are, a unit of area one hundredth of a hectare;",
a,,Alternative spelling of à,
a,,"(used in Latin expressions, before a consonant) from,",
a,,"(used in Italian expressions, before a consonant) from,",
a,,"(dialectal, used enclitically after a conjunction or",
a,,"expression of surprise or horror, Lua error: not enough",
a,,"expression of anger or sorrow, especially with a personal",
a,,"an are, a unit of area one hundredth of a hectare;",
a,,Alternative spelling of à,
a,,"(used in Latin expressions, before a consonant) from,",
a,,"(used in Italian expressions, before a consonant) from,",
a,,"(dialectal, used enclitically after a conjunction or",
a,,"expression of surprise or horror, Lua error: not enough",
a,,"expression of anger or sorrow, especially with a personal",
a,,Alternative spelling of à,
a,,"(used in Latin expressions, before a consonant) from,",
a,,"(used in Italian expressions, before a consonant) from,",
a,,"(dialectal, used enclitically after a conjunction or",
a,,"expression of surprise or horror, Lua error: not enough",
a,,"expression of anger or sorrow, especially with a personal",
a,,"(used in Latin expressions, before a consonant) from,",
a,,"(used in Italian expressions, before a consonant) from,",
a,,"(dialectal, used enclitically after a conjunction or",
a,,"expression of surprise or horror, Lua error: not enough",
a,,"expression of anger or sorrow, especially with a personal",
a,,"(used in Italian expressions, before a consonant) from,",
a,,"(dialectal, used enclitically after a conjunction or",
a,,"expression of surprise or horror, Lua error: not enough",
a,,"expression of anger or sorrow, especially with a personal",
a,,"(dialectal, used enclitically after a conjunction or",
a,,"expression of surprise or horror, Lua error: not enough",
a,,"expression of anger or sorrow, especially with a personal",
a,,"expression of surprise or horror, Lua error: not enough",
a,,"expression of anger or sorrow, especially with a personal",
a,,"expression of anger or sorrow, especially with a personal",
A,/ɑː/,"The first letter of the Norwegian Bokmål alphabet,",
A,/ɑː/,"the letter A, (horology) symbol for avance, (physics)",
a-,/ɑː/,"indicating the first or best in something, a-lag, a-team,",
a-,/ɑː/,"a- (not, without, opposite of), apolitisk ― apolitical,",
a-,/ɑː/,"short form of atom-, a-bombe, atom bomb (a-bomb)",
a-,/ɑː/,"a- (not, without, opposite of), apolitisk ― apolitical,",
a-,/ɑː/,"short form of atom-, a-bombe, atom bomb (a-bomb)",
a-,/ɑː/,"short form of atom-, a-bombe, atom bomb (a-bomb)",
A-,/ɑː/,"indicating the first or best in something, A-lagA-team,",
a-bombe,/ˈɑːbʊmbə/,"(military, weaponry) an atom bomb (A-bomb), 1975, ",
A-dur,,(music) A major,
a-dur,,Alternative letter-case form of A-dur,
a-egg,/ˈɑː.ɛɡ/,(cooking) an egg of the highest quality,
A-egg,/ˈɑː.ɛɡ/,Alternative spelling of a-egg,
a-endelse,/ˈɑː.ɛndəlsə/,(grammar) an a-ending; the letter a used as a suffix,
a-ending,/ˈɑː.ɛnːɪŋ/,(grammar) an a-ending; the letter a used as a suffix,
A-format,/ˈɑːfɔrmɑːt/,standard paper format series based on the basic format,
a-klinikk,/ˈɑːklɪnɪk/,a place of treatment for people with severe alcohol,
A-klinikk,/ˈɑːklɪnɪk/,a place of treatment for people with severe alcohol,
a-moll,/ɑː.mɔl/,"(music) A minor (the minor key with A as its tonic,",
A0,/ˈɑː.nʉl/,"A standard paper size, defined by ISO 216., dimensions:",
A1,/ˈɑːeːn/,"A1 (a standard paper size, defined by ISO 216)",
A10,/ˈɑːtiː/,"A standard paper size, defined by ISO 216., dimensions:",
A2,/ˈɑːtuː/,"A standard paper size, defined by ISO 216., dimensions:",
A3,/ˈɑːtreː/,"A standard paper size, defined by ISO 216., dimensions:",
A3-ark,/ˈɑːtɾeːark/,"A piece of paper in the standard A3 format, 2000, ",
A3-format,/ˈɑːtreːfɔrmɑːt/,"A piece of paper in the standard A3 format, jeg skal",
A3-papir,/ˈɑːtreːpapiːr/,"A piece of paper in the standard A3 format, det ligger",
A4,/ˈɑːfiːrə/,"(Should we delete(+) this sense?)(uncountable, often",
A4,/ˈɑːfiːrə/,"(colloquial) being the typical, what one would expect,",
A4-ark,/ɑːfiːrəark/,"A piece of paper in the standard A4 format, det ligger",
A4-format,/ˈɑːfiːrəfɔrmɑːt/,"a piece of paper in the standard A4 format, 1998, ",
A4-liv,/ˈɑːfiːrəliːʋ/,a person's life that's lived exactly as society would,
A4-menneske,/ˈɑːfiːrəmɛnːəskə/,"a person who lives a perfect, average life, and who",
A4-papir,/ˈɑːfiːrəpapiːr/,"A piece of paper in the standard A4 format, det ligger",
A5,/ˈɑːfɛm/,"A standard paper size, defined by ISO 216., dimensions:",
A5-ark,/ˈɑːfɛmark/,"A piece of paper in the standard A5 format, det ligger",
A5-format,/ˈɑːfɛmfɔɾmɑːt/,"A piece of paper in the standard A5 format, 2000, ",
A5-papir,/ˈɑː.fɛm.papiːr/,"A piece of paper in the standard A5 format, det ligger",
A6,/ˈɑːsɛks/,"A standard paper size, defined by ISO 216., dimensions:",
A7,/ˈɑːsyːʋ/,"A standard paper size, defined by ISO 216., dimensions:",
A8,/ˈɑːɔtːə/,"A standard paper size, defined by ISO 216., dimensions:",
A9,/ˈɑː.niː/,"A standard paper size, defined by ISO 216., dimensions:",
aa,,Obsolete spelling of å,
ab,/ɑːb/,(economics) from; (i.e. delivered) for the seller's,
ab,/ɑːb/,Only used in ab ovo (“ab ovo”),
ab,/ɑːb/,"(colloquial) Abbreviation of avbetaling (“installment”).,",
ab,/ɑːb/,Only used in ab ovo (“ab ovo”),
ab,/ɑːb/,"(colloquial) Abbreviation of avbetaling (“installment”).,",
ab,/ɑːb/,"(colloquial) Abbreviation of avbetaling (“installment”).,",
ab-kjøp,/ˈɑːb.çøːp/,"hire purchase, an installment plan, 1974,  Kari Bakke,",
ab-kontrakt,/ɑːb.kʊnˈtrakt/,"contract for a hire purchase or an installment plan,",
abaca,/aˈbɑːka/,"(botany) Musa textilis, a species of banana tree native",abaca
abakus,/ˈɑːbakʉs/,(mathematics) abacus (an instrument used for performing,
abandon,/abaŋˈdɔŋ/,"(law) the right to, under certain circumstances, waive",
abandonere,/abandɔˈneːrə/,"(literary) to abandon, to leave something or someone",
abandonering,/abandɔˈneːrɪŋ/,the act of abandoning,
abandonfrist,/abaŋˈdɔŋfrɪst/,(law) a deadline for declaring abandonment (the relinquishment,
abandonrett,/abaŋˈdɔŋrɛt/,(law) the right to demand the sum insured in exchange,
abasi,/abaˈsiː/,(medicine) abasia (an inability to walk due to a defect,
abasi-astasi,/abaˈsiː.astaˈsiː/,(medicine) astasia-abasia (the inability either to,
abasist,/abaˈsɪst/,(rare) an abacist (one who uses an abacus in casting,
abattoir,/abatɔˈɑːr/,(concerning France) an abattoir (a public slaughterhouse,
abaya,/aˈbaja/,"(Islam) an abaya, muslim women's piece of clothing",
abba,/ˈabːa/,"(Christianity, Judaism) Abba or Father (when speaking",
abbed,/ˈabːəd/,(Christianity) an abbot (superior or head of an abbey,ábóti
abbedi,/abəˈdiː/,"(Christianity) an abbey (monastery headed by an abbot),",
abbedisse,/abeˈdɪsːə/,"(Christianity) an abbess (female superior of a nunnery),",
abbedissestue,/abeˈdɪsːə.stʉːə/,"the room belonging to an abbess in a nunnery, 1920,",
abbedlig,/ˈabːədlɪ/,"of or pertaining to an abbot, his function or dignity,",abbed
