L2_orth,L2_ipa,L2_gloss,L2_etym
अग्नि,,fire,
अठ,,eight,
अढाई,,two and a half,
अपराधी,,"sinner, c. 1420, Kabīr 221.0:माधौ मै ऐसा अपराधी, तेरी",
अरध,,half,
अरु,,and,
अलह,,"(Islam) Allah, c. 1420, Kabīr, Kabīr Vāṇī 280.5:पूरब",
आजीज,,"beloved, friend, relative",
इक,,Alternative form of एक (eka),
इब,,"now, at this time, c. 1450 – 1520, Ravidas , भणैं रैदास",
उदास,,"worried, anxious, indifferent",
एक,,"one, c. 1500, Kabīr 77.1, एक जोति तैं सब उतपंना, कौंण",
औरत,,"woman, c. 1420, Kabīr, Kabīr Vāṇī 280.6:जेती औरत मरदां",
कतेब,,book,
कतेब,,(Islam) Qur'an,
कपूर,,camphor,
काढना,,"to draw, unsheathe, to pay off, to repay",
काबा,,(Islam) Kaaba,
कारंण,,cause,
ख,,The second consonant of the Devanagari script.,
गहर,,dark,
चारि,,four,
जंजीर,,chain,
जोति,,"light, c. 1420, Kabīr 77.1, एक जोति तैं सब उतपंना,",
तीनि,,three,
तुम्ह,,your,
तूं,,you,
दलाल,,broker,
दिल,,heart,
देना,,"to give, Kabira 126.3:कहै कबीर जा मस्तकि भाग, ना जांणौं",
दोजग,,"hell, Synonym: नरक (naraka)",
पंच,,five,
पाक,,"pure, clean",
पिया,,"lover, beloved, Kabīr :घूँघट के पट खोल रे,तोहे पिया",
पियाला,,cup,
पुरिष,,"husband, man",
पैदा,,"born, created",
प्रेम,,"love, devotion",
फिकरि,,"anxiety, worry",
बरस,,year,
बाजीगर,,"juggler, magician, trickster",
बेगांनां,,alien,
मसीति,,mosque,
मींयां,,a respectful term of address to an elderly Muslim man,
मुलक,,"country, Synonym: देस (desa)",
मुसलमांन,,a Muslim,
मैं,,"I, c. 1500,  Kabir,  Assorted Poetry, pad 76, line",
यहु,,"this; he, she, it (near demonstrative pronoun)",
रमदांनां,,(Islam) Ramadan,
रोजा,,"(Islam) the Ramadan fast, sawm",
लसकर,,camp,
विश्वास,,"belief, confidence",
सात,,seven.,
हम,,we,
हलाल,,(Islam) prescribed way of killing a sacrificial animal,
हूं,,I,
होना,,"to be, Kabīr 76.0:मैं सबनन मैं अर मैं न हूँ सब।maiṃ",
