L2_orth,L2_ipa,L2_gloss,L2_etym
а,,"but, and",
господарь,,"householder, master",
доци,,daughter,
жиꙁнобоуде,,A male given name.,
игнато,,"A male given name, equivalent to English Ignatius.",
-иць,,"Suffix appended to words to create a masculine noun,",
ко,,"(with dative) to, towards",
кѣле,,"whole, intact, c. 1025-1050, Novgorod birch-bark letters,",
локото,,genitive plural of локоть (lokotĭ),
намъ,,"dative of мꙑ (my, “we”)",
намъ,,"interest (paid in exchange for a loan), Synonym: лихва",
намъ,,"interest (paid in exchange for a loan), Synonym: лихва",
нашьгостъ,,A male given name.,
новъгородьске,,Novgorodian,
онѳиме,,"A male given name, equivalent to English Anthemius.",
отьць,,father,
побити,,to beat,
погоубити,,to kill,
поклонъ,,greetings,
потѧти,,to kill,
рабе,,"servant, slave
c. 1045, Iosif, graffito in St. Sophia cathedral:
ⰳ҃ⰺ[ⱂⱁⰿⱁⰸⰺ] / ⱃⰰⰱ[ⱆ] / ⰺⱁⱄⰺ[ⱇⱆ]g҃i[pomozi] / rab[u] / iosi[fu]Lord help / his servant / Iosif",
смьрде,,"a free peasant, smerd",
сторовъ,,"healthy, c. 1120–1140, Novgorod birch-bark letters,",
сьбро,,"silver, c. 1200–1220, Novgorod birch-bark letters,",
оу,,(with genitive) Indicates the actor in a clause with,
хлѣбе,,bread,
хѣрь,,grey cloth,
ѧ,,I,
ѧꙁо,,I,
ѿ,,"(with genitive) from, c. 1200-1220, Novgorod birch-bark",
ⰲⱁⱑⱅⰰ,,A male given name.,
ⰳⱃⰺⰳⱁⱃⰺⱗ,,"A male given name, equivalent to English Gregory.",
ⰴⱁⰱⱃⱏ,,good,
ⰴⱁⰱⱃⱏ,,A male given name.,
ⰴⱑⰴⱑⱅⰰ,,A male given name.,
ⰸⰰⰲⰹⰴⱏ,,A male given name.,
ⰽⱃⱁⱅⱏⰽⱏ,,meek,
ⰽⱆⱃⰻⰾⱏ,,"A male given name, equivalent to English Cyril.",
ⱀⰰⱎⱐⰳⱁⰻ,,A male given name.,
ⱃⰰⰱⰵ,,"servant, slave, c. 1045, Iosif, graffito in St. Sophia",
ⱄⱅⱃⱏⰻ,,paternal uncle,
ⱄⱅⱃⱏⰻ,,A male given name.,
ꙁадьницѧ,,inheritance,
ꙁамъке,,lock,
ꙁвѣре,,"beast, c. 1265, Novgorod birch-bark letters, document",
