L2_orth,L2_ipa,L2_gloss,L2_etym
ab,,"with, circa 1000,  unknown,  Lo Poèma de Boecis:Non",
abadia,,abbey,
acordamen,,accord; agreement,
adormir,,"(reflexive, s'adormir) to fall asleep",
aiga,,Alternative form of aigua,
aigron,,heron (animal),
aigua,,water,
ailas,,alas!,
aissi,,thus; so,
aize,,ease (lack of anxiety),
albergar,,"to host; to lodge (provide a place to stay), 12th century,",auberge
alberguar,,to house; to shelter (provide accommodation),
alegransa,,joy; elation,
amador,,lover (one who loves),
amar,/amar/,"to love, c. 1110, Guilhèm de Peitieus, ‘Canso’:, Ma",
ambedui,,both,
amic,,"friend, c. 1145,  Bernard de Ventadour,  Be m'an perdut",
amistat,,friendship,
amor,,"love, c. 1160, Raimbaut d'Aurenga, vers:, Assatz sai",
amoros,,characterized by love,
an,,year,
anc,,(with ne) never,
Anfos,,"A male given name, equivalent to English Alphonse",
angoissos,,worried; anxious,
antexrist,,(Christianity) the Antichrist,
antic,,"ancient; very old, 12th century, Bernard de Ventadour,",
anunciar,,to announce,
aparelhar,,to prepare,
apelar,,to call (signal to someone orally),
apostol,,apostle,
apres,,"after (later, at a later time)",
aquest,,this (this thing; the one in question),
arbre,,"tree, c. 1145,  Bernard de Ventadour,  Lancan vei per",
argent,,silver,
arma,,weapon,
arnes,,suit of armor,
arquier,,archer (one who fires arrows from a bow),
asegurar,,to reassure; to embolden; to encourage,
asorar,,"to adore, c. 1110, Guilhèm de Peitieus, ‘Canso’:, Que",
assatz,,much; a lot,
-atge,,suffix used to form masculine nouns,-aticum
aucir,,to kill; to murder,
aucire,,Alternative form of aucir,
audir,,to hear,
aunir,,"to shame, humiliate",
aur,,gold (metal),
auranja,,orange (fruit),Französisches Etymologisches Wörterbuch
aurelha,,ear,
ausire,,Alternative form of aucir,
autre,/ˈawtɾe/,other,
autrier,,(with definite article) the other day (in the recent past),
auzel,/awˈzɛl/,"bird (flying animal), c. 1130, Jaufre Rudel, canso:,",
auzelh,/awzɛʎ/,Alternative form of auzel,
aver,,"to have; to possess, circa 1185,  Guerau de Cabrera,",
babau,,"foolish, idiotic, stupid",
baizar,,to kiss,
baptisme,,baptism,
batalha,,battle,
bel,,beautiful,
beltat,,"beauty, 1180s,  Bertran de Born,  Rassa, tant creis",
ben,,well,
Bernart,,"A male given name, equivalent to English Bernard",
beure,/ˈbewɾe/,to drink,
beutat,,beauty,
blanc,,white,
blasmar,,"to blame, 12th century, Bernard de Ventadour, Lo tems",
bocha,,mouth (anatomy),
bon,,"good (not evil), good (not of poor quality)",
bontat,,goodness (quality of that which is good),
bosc,,"wood; woods, 12th century, Jaufré Rudel, Lanquan lo",
boschatge,,woods; wood; wooded area,
bou,/bɔw/,ox,
bratz,,arm (anatomy),
breu,/bɾɛw/,short,
bueu,/bwɛw/,Alternative form of bou,
calendier,,"calendar (system describing time), calendar (object)",
caler,,"(reflexive, se caler) to care about; to be concerned",
camarlenc,,chamberlain (officer in charge of managing a household),
cambra,,"room, in particular a bedroom",
camiza,,shirt,
camjar,/kamdʒar/,to change,
can,,"when, circa 1200,  Peire Vidal,  Ab l'alen tir vas",
can,,(interrogative) when,
canczon,,song,
capella,,(Christianity) chapel,
cardon,,thistle,
carn,,flesh,
cascun,,every; each,
castel,,castle (large fortified medieval building),
catre,,four,
caval,,horse,
cavec,,"owl
c. 1130, Marcabru, pastorela:
Don, lo cavecs vos ahura [...].
Sire, the owl portends your fate.",
cazer,,to fall,
cel,,Heaven,
celestial,,celestial,
certan,,sure; certain,
chaitiu,,"miserable, wretched person",
chan,,song,
chanso,,song,
chansoneta,,small song,
chantador,,singer; one who sings,
chantar,,to sing,
charn,,"flesh, 12th century, Bernard de Ventadour, Lo tems",
chascun,,each one; every one,
chavaler,,knight,
chazer,,"to fall, circa 1145,  Bernard de Ventadour,  Lancan",
citation,,citation,
ciutad,,city,
clardat,,light; brilliance,
clausa,,(poetry) couplet; rhyming couplet,
clerc,,"a clergyman, usually in Christianity",
cobla,,couplet (in poetry),cōpula
cobrir,,"to cover, 12th century, Bernard de Ventadour, Bel m’es",
colhir,/kuˈʎiɾ/,to receive,
color,,"color, colour",
colp,,blow; strike; hit,
com,,like; as,
com,,"how (in what fashion), 12th century, Bernard de Ventadour,",
comandamen,,command; order,
comandament,,order; command,
començament,,beginning; start,
començar,,Alternative form of comensar,
comensamen,,Alternative form of començament,
comensar,,to start; to begin,
cominal,,common; public (belonging to all/to the public),
comte,,count (nobleman),
concluire,,"to convict (someone of a crime, etc.), to conclude;",
confrairia,,brotherhood (association of male members),
conoiser,/kuˈnujseɾ/,"to know, to recognise",
conoyser,,to know,
conselh,,piece of advice,
contener,,"to contain, (reflexive, se contener) to behave",
cor,,"heart (organ which pumps blood), heart (metaphorically,",
corant,,running; in the process of running,
corona,,crown,
cors,,body,
cortes,,chivalrous; knightly,
cortezia,,honor; valor; nobleness,
cortina,,curtain,
covenent,,covenant,
creatura,,"creature (chiefly a non-human animal or being), c.",
creire,,to believe,
crestian,,Christian (adherent of Christianity),
crestian,,"Christian (adhering to or relating to Christianity),",
cridar,,to shout,
croç,,"cross (X shape)
La Nobla Leyçon, line 312
Lo cors remas aqui pendu sus en la croç
His body remained here, hanging on the cross",
cui,,"who; whom
circa 1145,  Bernard de Ventadour,  Lo rossinhols s'esbaudeya:Mas no sai de que ni de cui,But I don't know of what or of whom,",
cuidar,/ˈkyjdaɾ/,"to believe, to think",
d',,elided form of de,
daga,,dagger (weapon),
damnatge,,"damage; harm, etc.",
de,,"of, from",
defendre,,to defend,
deleitos,,delightful,
demandar,,to ask for; to request,
demostrar,,to demonstrate; to show,
deport,,"enjoyment; fun
12th century, Bernard de Ventadour, Ges de chantar no.m pren talans
Que d'aqui mou deportz e chans",
desir,,"desire (act, process of desiring)",
Deus,,God,
dez-,,dis-; de-,
dezesperar,,"(reflexive, se dezesperar) to lose hope; to feel hopeless",
dezirar,,to desire,
dezonor,,dishonor (lack or loss of honor),
dia,,day (period of 24 hours),
Dieu,,God,
dins,,in; inside of,
dir,,to say,
dire,,to say,
doblar,,(transitive) to double (make twice as much or twice,
doctrina,,doctrine,
dolen,,sad,
doler,,to hurt; to cause pain,
dolor,,pain,
domna,/dɔmna/,"woman, lady (female adult human being), circa 1000,",
Domnedeus,,God; Lord God,
dompna,,Alternative form of domna,
donar,,to give,
donçela,,young woman,
doptansa,,doubt,
dormir,,to sleep,
dos,,two (2),
dous,/duws/,"soft (not hard), (by extension) soft, tender, sweet",
dousamen,,softly; tenderly,
dousor,,softness,
dreit,,just; right; moral,
duc,,duke (nobleman),
e,,and,
egal,,the same; equal,
ela,/ela/,"she, c. 1130, Marcabru, pastorela:, «Don, dis ela,",
empreizonar,,to imprison,
en,,"of it; of them
12th century, Bernard de Ventadour, Can vei la lauzeta mover
Ailas! Tan cuidava saberD'amor, e tan petit en sai,
Alas! I thought I knew so muchabout love, and I know so little [of it]!",
enap,,hanap (goblet),
endurar,,"to endure, to fast (deliberately go without food)",
enemic,,enemy,
enfern,,hell,
ensegador,,teacher (one who teaches),
entierament,,entirely; wholly; totally,
entre,,between,
erba,,grass,
erguil,,pride,
eschazer,,to fall,
escien,,knowledge,
escriptura,,"scripture, (Christianity) The Scripture (the Christian",
escriure,,to write,
escudier,,shield-bearer,
escumengar,,to excommunicate,
escut,,shield,
esmalt,,enamel,
espaignol,,Spanish,
espaignol,,Spanish,
Espanha,,Iberia; modern day Spain and Portugal,
espaza,,sword,
esper,,hope,
esperansa,,hope,
esperit,,"spirit (apparition), soul (intangible essence of a",
espina,,thorn,
espingar,,to watch,
espital,/es.piˈtal/,Alternative form of hospital,
esser,,"to be, La Nobla Leyçon, line 352, Que crestian devon",
estazó,,"residence, house",
estiu,/eˈstiw/,summer,
estoria,,"history (that which has already happened), 1208-19,",
eu,/ɛw/,I (first-person singular subject pronoun),
eysemple,,example,
fachura,,face,
falcon,,falcon (bird),
fam,/fam/,"hunger, c. 1110, Guilhèm de Peitieus, ‘Canso’:, Quar",
fantin,,child,
far,/far/,"to do, c. 1130, Jaufre Rudel, canso:, Dieus que fetz",
fe,,faith,
fellon,,evildoer; bad person,
felo,,"cruel; evil, etc.",
fenir,,"to finish, Aissi fenira ma chansothis is how I will",
fiansa,,faith,
figa,,fig (fruit),
filh,,son (male child),
fin,,end (final part),
flama,,flame (visible part of fire),
flaut,,flute (musical instrument),
flor,/fluɾ/,flower,
foc,,"fireplace, fire",
fol,,mad; insane; crazy,
folh,,leaf,
folha,,leaf,
folia,,madness,
forn,,"oven (device for baking, cooking, etc.)",
fornel,,oven,
forsa,,force (physical effort),
fraire,,brother,
Fransa,,France,
frayre,,brother,
fresc,,"fresh, 12th century, Bernard de Ventadour, Tant ai",friscus
fron,,forehead,
fustet,,"smoke tree, Cotinus coggygria",
gabador,,boaster; braggart,
gabar,,"to mock, to joke, to threaten",
gai,,"happy; joyous, circa 1145,  Bernard de Ventadour, ",
gaire,,"(chiefly with ""ne"") hardly; almost not at all",
gardar,,to protect,
Garin,,"A male given name, equivalent to English Warren?",
gauch,/ɡawtʃ/,joy,
gaug,,Alternative form of gauch,
gelos,,jealous,
gen,,"attractive; pleasing; nice; fair; pleasant
12th century, Bernard de Ventadour(Wikisource)
Lo gens tems de pascor
The pleasant time of Easter",
genolh,,knee,
gleisa,,Alternative form of gleiza,
gleiza,,(Christianity) church,
glorios,,glorious,
gota,,"drop (small amount of a liquid), circa 1145,  Bernard",
gran,,big; large,
Grec,,Greek (someone from Greece),
guerrier,,warrior,
guisa,/ɡiza/,"way, manner, c. 1110, Guilhèm de Peitieus, ‘Canso’:,",wise
guiza,,Alternative form of guisa,
home,,Alternative form of ome,
hospital,/us.piˈtal/,"hospital, 12th c.,  Lo codi [The Code], translation",
humilment,,humbly (in a humble manner),
ie,,Alternative form of eu,
ieu,/jɛw/,Alternative form of eu (I),
infix,,"stuck, broken",
ivern,,winter,
Jaufre,/dʒawˈfɾe/,"A male given name, equivalent to English Geoffrey",
Jhesu,,Jesus (religious figure),
joc,,game,
joglar,,jongleur,
joi,,"joy; elation, etc.",
jòi,,Alternative form of joi,
joia,,joy,
joios,,"joyous; joyful, etc.",
jorn,,"day, c. 1170, Bernart de Ventadorn, canso:, Lo tems",
joya,,Alternative form of joia,
jujament,,judgment,
jurar,,to promise; to swear,
Jusio,,Jew,
justicia,,to justice,
la,,the; feminine singular definite article,
laisar,,to leave (to allow something to remain),
lanquan,,"when, 12th century, Jaufré Rudel(Wikisource), Lanquan",
lansa,,lance (medieval weapon),
larc,,"generous, large; big, wide (when used to differentiate",
las,,the; feminine plural definite article,
lauzenger,,"flatterer, deceiver",
laüt,,lute,
leial,,loyal (faithful; committed),
leis,,"emphatic oblique of ela: her
c. 1110, Guilhèm de Peitieus, canso:
Quar senes lieys non puesc viure [...].
For without her I cannot live.
c. 1160, Raimbaut d'Aurenga, vers:
Qu'ilh val tant e m'es tan coraus, / Que ja de lieis no·m venra maus.
For she is worth so much and is such a part of my heart that no ill will ever come to me from her.",
lengaje,,"language, La nobla leyçon, line 125, Adonca era un",
lengua,,language,
ley,,law,
leyçon,,lesson,
li,,the (masculine nominative singular and plural definite,
libre,,book,
lignaje,,Alternative form of linhatge,
linhatge,,lineage; heritage,
lo,,the; masculine singular definite article,
loc,/lɔk/,place,
lonc,,long,
lonh,,far away; faraway,
lonjamen,,long; for a long time,
luzir,,(usually of the sun) to shine,
maestre,,master; Master; magister (honorific title),
maial,,"pig, swine",
mais,/majs/,"more, c. 1170, Bernart de Ventadorn, canso:, Val us",
maizo,,house,
mal,,"bad (negative), bad (evil)",
malvais,,bad (not good),
malvatz,,bad (not good),
man,,hand (anatomy),
mandar,,"to send, to order; to command",
manjar,,to eat,
mant,,much; a lot (of),
mantelh,,coat; overcoat; long gown,
marit,,husband,
melhor,,best,
melhs,/mɛʎs/,better,
membransa,,memory (specific recollection),
membrar,,"(reflexive, se membrar) to recall; to remember",
-men,,"Used to form adverbs, most of the time equivalent to",
mentir,,to lie (say something untrue),
menut,,small,
meravelha,,marvel (something astounding or amazing),
merce,,mercy; clemency,
mes,,month,
meser,,"mister, sir (a title or form of address for a man)",
messatge,,message (written communication),
messatger,,messenger (one who delivers a message),
miels,/mjɛls/,Alternative form of melhs,
mo,,my (possessive; belong to 'me'),
molher,,wife,
mon,,my (belonging to me),
mon,,"world, circa 1145,  Bernard de Ventadour,  Anc no gardei",
