L2_orth,L2_ipa,L2_gloss,L2_etym
பெண்டிர்,,women,
𑀅𑀝𑀺,,foot,
𑀅𑀡𑀺,,to adorn,
𑀅𑀡𑀺,,adornment,
𑀅𑀫𑀺𑀭𑁆𑀢𑀫𑁆,,amrita,
𑀅𑀫𑀼𑀢𑀫𑁆,,amrita,
𑀅𑀭𑀼,,rare,
𑀅𑀭𑀼𑀫𑁃,,difficulty,
𑀅𑀷𑁆𑀷𑁃,,mother,
𑀆𑀡𑁆𑀫𑁃,,courage,
𑀆𑀶𑀼,,path,
𑀇𑀘𑁆𑀘𑁃,,wish,
𑀇𑀭𑀼,,big,
𑀇𑀮𑀓𑁆𑀓𑀡𑀫𑁆,,grammar,
𑀇𑀮𑀓𑁆𑀓𑀺𑀬𑀫𑁆,,poetry,
𑀇𑀮𑁆,,house,
𑀇𑀵𑁃,,jewel,
𑀉𑀝𑁃𑀫𑁃,,"possession, ownership",
𑀉𑀭𑁄𑀫𑀫𑁆,,hair,
𑀉𑀮𑀓𑀫𑁆,,world,
𑀏𑀫𑀫𑁆,,protection,
𑀓𑀝𑀼,,fast,
𑀓𑀡𑁆,,eye,
𑀓𑀡𑁆𑀡𑀻𑀭𑁆,,tear,
𑀓𑀫𑀮𑀫𑁆,,lotus,
𑀓𑀯𑀺,,poem,
𑀓𑀸𑀫𑀭𑁆,,desirable,
𑀓𑀺𑀴𑀺,,parrot,
𑀓𑀼𑀝𑁃,,"umbrella, parasol",
𑀓𑀼𑀯𑀴𑁃,,blue lotus,
𑀓𑁄𑀝𑀼,,tusk,
𑀓𑁄𑀯𑀮𑁆,,cowherd,
𑀘𑀓𑁆𑀓𑀭𑀫𑁆,,discus,
𑀘𑀗𑁆𑀓𑀫𑁆,,"union, congregation",
𑀘𑀗𑁆𑀓𑀫𑁆,,conch,
𑀘𑀗𑁆𑀓𑀫𑁆,,conch,
𑀘𑀺𑀮𑀫𑁆𑀧𑀼,,anklet,
𑀘𑀼𑀝𑀭𑁆,,to glow,
𑀘𑀼𑀝𑀭𑁆,,a glow,
𑀘𑀽𑀢𑁆𑀢𑀺𑀭𑀫𑁆,,aphorism,
𑀘𑁂𑀬𑁆𑀓𑁃,,"action, deed",
𑀘𑁂𑀬𑁆𑀢𑀺,,action,
𑀘𑁂𑀬𑁆𑀧𑀼,,the act of doing,
𑀘𑁂𑀬𑁆𑀬𑀼𑀴𑁆,,"poetry, a metrical text",
𑀘𑁂𑀬𑁆𑀯𑀼,,the act of doing,
𑀘𑁂𑀷𑁃,,army,
𑀘𑁄𑁆𑀮𑁆,,word,
𑀜𑀸𑀦𑀫𑁆,,knowledge,
𑀢𑀡𑁆𑀝𑀼,,stick,
𑀢𑀷𑀫𑁆,,wealth,
𑀢𑀸𑀬𑁆,,mother,
𑀢𑀺𑀯𑁆𑀯𑀺𑀬𑀫𑁆,,divine,
𑀢𑀺𑀶𑀫𑁆,,firmness,
𑀢𑁄𑀵𑀺,,friend,
𑀦𑀓𑀭𑁆,,mansion,
𑀦𑀢𑀺,,river,
𑀦𑀮𑀫𑁆,,goodness,
𑀦𑀮𑀷𑁆,,virginity,
𑀦𑀸𑀝𑀷𑁆,,"land, region, country",
𑀦𑀸𑀫𑀫𑁆,,"name, Synonym: 𑀧𑁂𑁆𑀬𑀭𑁆 (peyar)",
𑀦𑀸𑀴𑁆,,day,
𑀦𑀺𑀮𑀯𑀼,,moonlight,
𑀦𑀺𑀮𑀸,,moonlight,
𑀦𑀻𑀭𑁆,,water,
𑀦𑀼𑀢𑀮𑁆,,forehead,
𑀦𑀽𑀮𑁆,,thread,
𑀦𑁂𑀜𑁆𑀘𑀫𑁆,,heart,
𑀦𑁂𑀜𑁆𑀘𑀼,,heart,
𑀦𑁂𑀝𑀼,,long,
𑀦𑁂𑁆𑀜𑁆𑀘𑀫𑁆,,heart,
𑀧𑀢𑁆𑀢𑀺,,bhakti,
𑀧𑀮𑀺,,offering,
𑀧𑀷𑁆𑀶𑀺,,"hog, pig",
𑀧𑀸𑀫𑁆𑀧𑀼,,snake,
𑀧𑀼𑀡𑀭𑁆𑀘𑁆𑀘𑀺,,"union, joining",
𑀧𑀼𑀢𑀼,,new,
𑀧𑀼𑀮𑀺,,tiger,
𑀧𑀼𑀮𑁃𑀘𑁆𑀘𑀺,,washerwoman,
𑀧𑁂𑀭𑀼,,big,
𑀧𑁂𑀭𑀼𑀫𑁃,,greatness,
𑀧𑁂𑀶𑀼,,to obtain,
𑀧𑁂𑁆𑀬𑀭𑁆,,name,
𑀧𑁃𑀬𑁆𑀬𑀼𑀴𑁆,,sorrow,
𑀫𑀓𑀴𑁆,,daughter,
𑀫𑀜𑁆𑀜𑁃,,peacock,
𑀫𑀡𑁆,,"earth, soil, ground",
𑀫𑀢𑀼,,honey,
𑀫𑀭𑀫𑁆,,tree,
𑀫𑀸,,"big, dark",
𑀫𑀸,,horse,
𑀫𑀸,,horse,
𑀫𑀸𑀮𑁃,,"garland, mala",
𑀫𑀸𑀮𑁃,,evening,
𑀫𑀸𑀮𑁃,,evening,
𑀫𑀻𑀷𑁆,,fish,
𑀫𑀼𑀮𑁆𑀮𑁃,,"Arabian jasmine, mogra",
𑀬𑀸𑀷𑁃,,elephant,
𑀯𑀭𑀸𑀓𑀫𑁆,,hog,
𑀯𑀭𑀼𑀝𑀫𑁆,,year,
𑀯𑀭𑁃,,mountain,
𑀯𑀸𑀵𑁆𑀓𑁆𑀓𑁃,,livelihood,
𑀯𑀺𑀭𑀼𑀢𑁆𑀢𑀫𑁆,,circle,
𑀯𑁂𑁆𑀫𑁆,,"hot
𑀯𑁂𑁆𑀦𑁆𑀦𑀻𑀭𑁆 ― vennīr ― hot water",
