L2_orth,L2_ipa,L2_gloss,L2_etym
аврапъ,,hair,
аиггъ,,mouth,
алгибполунъ,,healthy,
велопгосъ,,red,
венеръ-кугендихъ,,(intransitive) to whistle,
воггонь-вого,,forehead,
воггонь-вопъ,,beard,
вого,,face,
вого-анды,,head,
волдикъ,,(intransitive) to laugh,
вотомтинеициеземъ,,cleverly,
геинерръ,,tongue,
еблимъ,,wife,
еземъ,,father,
еинимъ,,brother,
ельдиль,,"human being, person",
емобисъ,,black,
емомъ,,mother,
илдилалелбу,,foolishly,
илдилиннипцъ,,angry,
инныпци,,badly,
калбагонъ,,(intransitive) to talk,
кальмо,,girl,
кизея,,(intransitive) to lie (rest in a horizontal position),
кугиндикъ,,(intransitive) to scream,
Кха,,God,
ланго,,water,
ланголь-ланголь,,(intransitive) to drink water,
логондакъ,,(intransitive) to dance,
ляренъ,,(intransitive) to walk,
мелуръ,,breast,
меня,,I,
миръ,,we,
ніонголь,,nose,
нельдойгохъ,,(intransitive) to work,
непао,,blood,
онгацекъ,,(intransitive) to run,
пантакъ,,(transitive) to feed,
пигизе,,(intransitive) to die,
пигиптъ,,warmth,
порно,,"hand, arm",
тамна,,bone,
тательоикъ,,they,
тати,,he,
теинеизехъ,,body,
тепнеллихъ,,soul,
типъ,,"ye, you (plural)",
тихоизерель,,boy,
тхо,,eye,
тчемоуль,,high,
тчилипеи,,"cold, frost",
тчинептчи,,well (in a good manner),
убоньпа,,meat,
хабнимоль,,old,
хабоомъ,,husband,
хаимо,,daughter,
хамна,,"foot, leg",
ханыиззя,,back (rear of the body),
чикамилдель,,sorrow,
чикельгасъ,,low,
чинодми,,ear,
юналди,,sun,
юнндакъ,,(intransitive) to sing,
яззибилъ,,white,
язироволь,,young,
язиромъ,,son,
яллокъ,,(intransitive) to cry,
