L2_orth,L2_ipa,L2_gloss,L2_etym
a,,"a, the",
a,,linking particle,
a,,linking particle,
ak,,I (non-emphatic),
bab,,"above, top",
babil,/baˈbil/,woman,
bad,/bað/,stone; rock,
bai,,house (abode),
bail,,cloth,
bangch,,to bite,
bas,,ember,
basio,,place,
bau,/baw/,"smell, odor, scent",
bau,/baw/,"(stative) sore, irritated",
beab,,"mouse, rat",
beached,/ˈbɛaʔəð/,tin,
becheleleu,/bəʔɛlɛˈlɛw/,white,
becheleleu,/bəʔɛlɛˈlɛw/,(stative) to be white,
beches,/beʔes/,new,
bedengel,/bɛðəˈŋɛl/,"body, corpse",
bedikl,,"snare, trap",
bedul,,head; leader,
bekatel,,"to be unwrapped, unravelled",
bekebau,,"(stative, of cooked fish, a cooking pot, etc) to smell",
bekekatuu,,(stative) to smell like a cat,
bekengikel,,(stative) to smell of fish,
bekerkard,/bəkɛrˈkarəðᵊ/,red,
bekerkard,/bəkɛrˈkarəðᵊ/,(stative) to be red,
Belau,,Palau,
bellachel,,"festering, purulent",
benzio,,toilet,
beralm,/bəˈralmᵊ/,watery (e.g. not salty enough),
berebur,,type of lizard; gecko,
berel,,biscuit,
berikel,,tower for conveyor belt,
beroroech,/bəroˈroɛʔ/,"(stative, reduplicated form of roech) be reddish at sunset or sunrise",
berorou,/bəroˈrow/,"yellowish, orange (color of the twilight)",
berorou,/bəroˈrow/,(stative) to be yellow-orange,
besebes,,"cord, rope",
besos,,"oar, paddle",
bibrurek,/biˈprurəkʰ/,yellow,
bibrurek,/biˈprurəkʰ/,"(stative) to be yellow, orange",
biib,/biːb/,"crimson-crowned fruit dove, Ptilinopus porphyraceus",
bilis,,dog,
bingsbedul,,headache,
bombatel,,chain,
bong,,drainage ditch surrounding taro patch,
boteto,,potato,potato
brechorech,,bubble,
brer,,raft (usually made of bamboo),
bsibsungos,,(medicine) wart,
btaches,,Alexandrian laurel tree,
btuch,/ptuʔ/,"star, starfish",
buadel,,main horizontal beam at rooftop,
bub,,fish trap,
bubuu,,spider,
buch,,spouse,
budech,,yellow-cheeked tuskfish,
budues,,copra,
buich,,cowrie shell,
buikruu,,day before the full moon,
buil,,"month, moon",
buls,,moonfish,
bung,/buŋ/,flower,
bung,/buŋ/,minute,
bung,/buŋ/,minute,
