L2_orth,L2_ipa,L2_gloss,L2_etym
axux,,garlic,
chau,,tortilla,
chichí,,dog,
chiki,,home,
chiqꞌi,,"house, hut",
chúchut,/ʃuːʃut/,water,
chꞌichiní,,sun,
cuyu,,armadillo,
huix,,you (singular),
huixín,,you (plural),
huá̱cax,,"livestock, cattle",
kalhtu̱choko,,river,
katit,,"reed, bamboo",
kawayu,,horse,
kayín,,"turtle, tortoise",
kela,,atole,
ke̱la,,atole,
kukáta,,avocado,
kála̱t,,wasp,
kátxkaka,,pitchfork,
kꞌatzꞌasꞌa,,"dung, manure",
kꞌáhui̱t,,"nixtamal, hominy",
kꞌálhua̱t,,egg,
kꞌá̱ti̱t,,reed,
lakastapu,,eye,
lakchíhuit,,"shoulder cape, quexquemetl",
lakpa̱xkꞌa,,potsherds,
lhcꞌacꞌa,,ash,
lhákꞌa̱t,,clothing,
liakslujui̱n,,fishhook,
li̱cꞌucꞌa̱n,,tumpline,
li̱hua,,meat,
li̱pa̱chꞌi̱n,,tumpline,
li̱stacni,,"soul, spirit",
li̱xpatan,,"tejolote, mortar for grinding chilis",
li̱xtokon,,needle,
li̱xꞌanatni,/liːʃa̰ˈnatni/,"vanilla plantation, Synonym: cꞌa̱xꞌanatni, 1974,  Xama̱nixná,",
lu̱hua,,snake,
lúcut,,bone,
macxpá̱n,,"arm, forearm",
maklhtzꞌán,,elbow,
manta,,sweet potato,
maxkua,,mano (grinding tool used with a metate),
ma̱pachi̱n,,raccoon,
mistu̱n,,cat,
mula̱ta,,a non-indigenous woman,
mu̱xni,,monkey,
mátzat,,salt,
nacú,,heart,
nipxꞌi,,pumpkin,
paklha,/ˈpaqɬa/,"(intransitive) to flower, bloom, 1974,  Xama̱nixná,",
paklhcha,,tomato,
papꞌá,,"moon, month",
pa̱lhcꞌa,,"comal, griddle",
pa̱lokoyu,,cage,
pa̱tzaps,,wall,
pichꞌa̱hua,,eagle,
pilísa̱lh,,blanket,
pin,,chili. chili pepper.,
pum,,copal,
pu̱kꞌahua̱n,,"nejayote, water left over after nixtamalization",
pu̱kꞌá̱ti̱t,,"reed thicket, a bed of reeds",
pu̱lhkoyun,,oven,
pu̱xka,,river,
pá̱tux,,duck,
púxu̱m,,drizzle,
pꞌasma,,corncob,
pꞌin,,"chili, pepper",
pꞌucsnúnquꞌihui,,cedar,
pꞌu̱yu,,chicken,
pꞌáklha̱t,,canoe,
scꞌu̱lu,,piñon pine,
spupúkgo,,blue,
spún,,bird,
sꞌi̱mákꞌa̱t,,tongue,
tamakaxtokni,,"wedding, marriage",
tamakni̱n,,murder,
tapa̱huaxni,,"a canal, ditch",
tasíu,,mecate,
tijia,,"way, pad.",
tutsú,,down,
táxkat,,bee,
túcay,,spider,
xcuti,,white-nosed coati (Nasua narica),
xá̱huat,,milpa,
