L2_orth,L2_ipa,L2_gloss,L2_etym
𐫀𐫘𐫗𐫃,,stone,
𐫁𐫃𐫛𐫇𐫍𐫡,,"(literally) son of god, (religion) angel, divinity,",
𐫁𐫏𐫇𐫡,,(Manichaean) ten thousand,
𐫃𐫇𐫘𐫀𐫗,,"gusan, 4th or 5th century, A Manichaean fragment, cwʾgwn",
𐫍𐫀𐫇𐫘𐫀𐫡,,"similar, like, the like",
𐫍𐫀𐫖𐫍𐫏𐫡𐫉,,"attendant, bodyguard",
𐫙𐫏𐫡,,"thing, matter",
𐫙𐫘𐫛𐫀𐫅,,army,
𐫙𐫢𐫗𐫇𐫍𐫡,,"(Manichaean) grace; gratitude, ʿšnwhr pdgyrw- ― to",
𐫛𐫀𐫅,,foot,
𐫛𐫅𐫐𐫡,,"image, statue",
𐫟𐫀𐫡𐫤𐫀𐫃,,crown of thorns,
𐭀,,"Aleph, the first letter of Parthian script.",
𐭀𐭇𐭌𐭓𐭊𐭓,,"accountant, amargar (title)",
𐭀𐭊,,if,
𐭀𐭎𐭅𐭓𐭎𐭕𐭍,,"Asuristan, Asorestan",
𐭀𐭓𐭉𐭁𐭓𐭆𐭍,,A male given name,
𐭀𐭓𐭊𐭐𐭕𐭉,,"argbed, hargbed",
𐭀𐭓𐭔𐭊,,"A male given name, Arshak",
𐭀𐭓𐭕𐭇𐭔𐭕𐭓,,A male given name Ardashir,
𐭁𐭂𐭃𐭕,,A male given name,
𐭅𐭓𐭅𐭃,,"A male given name, Orodes",
𐭅𐭓𐭉𐭇𐭓𐭌,,"A male given name, Wahram, Bahram, Paikuli inscription,",
𐭅𐭓𐭊𐭍,,Hyrcania,
𐭆𐭍𐭄,,this,
𐭆𐭍𐭄,,this,
𐭊𐭉𐭎𐭓,,"Caesar (title), ŠKZ inscription, Parthian version,",
𐭌𐭆𐭃𐭉𐭆𐭍,,Mazdean,
𐭌𐭉𐭔𐭍,,"Meshan, Mesene, Characene",
𐭌𐭍,,from,
𐭌𐭕𐭓𐭃𐭕,,"A male given name, Mihrdat, Mithridates, Mithradat,",
𐭍𐭓𐭉𐭎𐭇𐭅,,"A male given name, Narseh, Narses, Narseus",
𐭎𐭅𐭓𐭉𐭍,,Suren,
𐭎𐭐𐭍𐭃𐭕,,A male given name,
𐭐𐭊𐭅𐭓,,"A male given name, Pakur",
𐭐𐭓𐭕𐭅,,Parthia,
𐭐𐭕𐭊𐭓,,"Inscriptional Parthian spelling of 𐫛𐫅𐫐𐫡‎ (pdkr /padkar/): image, statue",
𐭓𐭎𐭕𐭊,,A male given name. Rastak.,
𐭔𐭇𐭉𐭐𐭅𐭇𐭓,,"A male given name, Shapur",
𐭕𐭉𐭓𐭉𐭃𐭕,,"A male given name, Tiridat, Tirdad",
