L2_orth,L2_ipa,L2_gloss,L2_etym
ba'-a'ip-a'pi',,To comb.,
ba'agi,,a lot stacked,
ba'agi,,"to pile, stack",
baa'bi,,"Ill, not well.",
baa'tahai,,To unwind.,
bag-aha'pi,,To wander to and fro.,
boopai,,throat,
gáatahaí,,can (cylindrical container),
gáía,,crooked,
ho'iihi'i,,"Single, one.",
hoi,,toneless rendering of hói,
hoigi',,"Dirty, unclean.",
hoí,,relatively large quantity,
hói,,relatively small quantity,
kaa'bi,,fully stretched,
kaa'bi,,to pull,
kaaxai,,macaw,
kaoáíbogi,/kàò̯áí̯ʙòˈɡì/,evil spirit,
pi,,water[3],
pibaóí,,otter,
pigáía,,Scissors.,
taahoasi,,sand,
xaagá,,"To be., 1986,  Handbook of Amazonian Languages, Volume",
xapaigáía,,Any language that is not the Pirahã language.,
xapaitíisí,,the Pirahã language,
xapaí,,head,
xapaí,,"first
1986,  Handbook of Amazonian Languages, Volume 1, page 305:",
xitóhoi,,testicles,
xopóogií,,inga (fruit),
xísiisí,,fat,
