L2_orth,L2_ipa,L2_gloss,L2_etym
ab,,father,
ad,,I (first-person subjective singular),
adɨŋ,,I (first-person subjective plural),
afam,,hot,
agǵaŋ,,six,
aj,,tongue,
ak,,to lie down,
am,,mother,
aniŋ,,legs,
biŋ,,earth,
buč,,fire,
cía-ŋ,,four,
desɨgań,,shout,
desɨgin,,shout,
dóŋa,,three,
eg,,God,
elxan,,door,
etnɨn,,we (first-person subjective plural),
etɨkup,,sharply,
eč,,sky,
eń,,now,
fɨnem,,small,
hinbásiaŋ,,eight,
hixem,,sun,
hokoj,,eat,
híneaŋ,,two,
jasoru,,ship,
kinčidin,,winter,
lɨcɨ,,devil,
tuj,,moon,
túrčari,,strawberry,
u,,you (second-person plural subjective),
ul,,water,
ur-áit,,rain,
xajáŋ,,ten,
xej-laŋ,,five,
xotɨk,,to sleep,
xúta,,one,
xúta-hamósa-xajáŋ,,nine,
ádɨŋ,,we (first-person subjective plural),
ággiaŋ,,six,
ála,,field,
élxan,,door,
óńaŋ,,seven,
úe,,you (second-person plural subjective),
útamsa,,hundred,
útamssa,,hundred,
